COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"CHE,LIV,MUN,WBA",6.2,7.3,6,5.6,6.1,6.8,6.6,6.7,5.5,6.3,63.1,2.103333333,0.554677083,1.166670798
"ARS,CRY,FUL,NEW",6.9,6,7,7,7.1,5.4,6.5,5.8,6.3,5.9,63.9,2.13,0.600832755,1.279773769
"AVL,BHA,CHE,LEI",6.7,5.2,6.4,5.7,5.2,5.9,6.6,6.2,5.2,6.8,59.9,1.996666667,0.641958808,1.281777753
"LIV,MUN,NEW,TOT",6.2,5.3,6.1,6.8,6.6,7.2,6.2,6.7,7.4,6.3,64.8,2.16,0.601479657,1.299196059
"LIV,MUN,SOU,WBA",5.8,6.3,7.1,5.7,6.1,5.2,6.2,6.8,7.2,6.3,62.7,2.09,0.629020402,1.314652641
"CRY,MUN,NEW,WOL",7.3,6.4,6.7,5.8,5,6.2,5.8,6.7,5.7,5.9,61.5,2.05,0.651920241,1.336436493
"CRY,MUN,SOU,WBA",7,6.3,6.1,6.9,5.2,5.3,6.4,5.1,6.7,5.9,60.9,2.03,0.701506316,1.424057821
"CRY,MUN,NEW,SOU",6.9,5.3,6.1,5.9,6.9,6.8,6.9,5.1,6.7,5.9,62.5,2.083333333,0.688395881,1.434158085
"CRY,LEI,MUN,WOL",5.6,6.7,6.7,6.3,4.5,6.2,5.6,6.7,5.7,5.2,59.2,1.973333333,0.73303024,1.446513008
"AVL,BUR,LEI,SOU",7.7,6.3,6.4,5.3,6.3,6.4,6.2,6.3,5.9,7.4,64.2,2.14,0.684430014,1.464680231
"BHA,CHE,FUL,LEI",6.2,5.7,6.4,5.7,4.7,5.4,5.1,6.2,5.7,7.4,58.5,1.95,0.753141569,1.468626059
"CRY,LEI,MUN,SOU",5.2,5.6,6.1,6.4,4.5,6.8,6.7,5.1,6.7,5.2,58.3,1.943333333,0.816564619,1.586857244
"CHE,FUL,LEE,LEI",6.2,4.6,4.6,6.9,5.8,6.3,5.1,5.6,6.8,6.1,58,1.933333333,0.824621125,1.594267509
"AVL,CHE,LEI,WBA",6.2,5.8,6.5,6.3,5.8,7,5.6,7.4,7.5,5.3,63.4,2.113333333,0.757481206,1.600810282
"ARS,LEE,SHU,WOL",6.2,5.1,6.1,5.7,5.6,6.1,7.9,6.2,6.9,6.6,62.4,2.08,0.772010363,1.605781554
"BHA,EVE,LIV,TOT",6.8,5.9,5.8,5.7,6.2,4.6,6.2,7,6.3,7.4,61.9,2.063333333,0.782375301,1.614301037
"BUR,LIV,NEW,TOT",6.2,8,6.8,5.7,6.2,6.7,6.2,6.3,7.5,7.4,67,2.233333333,0.725718035,1.620770279
"ARS,FUL,SHU,SOU",5.8,6.3,5.2,5.8,6.9,5.9,7,5.8,6.4,7.9,63,2.1,0.784573486,1.647604321
"ARS,FUL,NEW,SHU",7.4,5.3,6.4,6.9,6.5,7.6,7.1,7.4,6.4,5.8,66.8,2.226666667,0.743564986,1.65567137
"ARS,CHE,FUL,WBA",6.3,7,6.5,5.2,6.5,6,4.8,5.7,5.7,7.5,61.2,2.04,0.813497251,1.659534393
"ARS,MCI,SHU,TOT",6.3,7.3,5.6,6.7,6.2,7.7,7.3,6.8,7.8,6.1,67.8,2.26,0.734544454,1.660070467
"LIV,MUN,TOT,WBA",6.3,6.3,6.1,7.8,6.1,5.7,5.7,6.8,7.9,6.3,65,2.166666667,0.778888096,1.687590875
"MUN,WBA,WHU,WOL",6.4,6.9,7.9,6.8,5.6,6.8,5.3,6.4,5.3,6,63.4,2.113333333,0.816768701,1.726104522
"CHE,LEE,LIV,WBA",6.2,7.3,6,5.6,6.8,5.1,6.6,5.7,7.7,5.6,62.6,2.086666667,0.82758014,1.726883893
"CHE,CRY,EVE,FUL",7.4,7.1,4.3,5.9,5.9,5.4,5.3,5.7,5.3,5.9,58.2,1.94,0.894178704,1.734706687
"ARS,CRY,FUL,MCI",7,7.9,6.3,6.8,6.3,4.7,6.3,5.8,6.3,6.2,63.6,2.12,0.822192192,1.743047446
"BHA,CHE,EVE,LEI",6.7,4.7,6.4,4.7,5.2,7.4,6.1,6.2,5.2,5.3,57.9,1.93,0.904863403,1.746386367
"CHE,CRY,FUL,NEW",7.3,7.6,4.7,6.4,5.9,6,5.3,5.7,6.2,5.9,61,2.033333333,0.858939915,1.746511161
"ARS,MUN,TOT,WBA",6.4,5.8,6.9,7.4,6.3,7.4,5.9,5.1,6.9,7.5,65.6,2.186666667,0.80027773,1.749940635
"CRY,LIV,MUN,NEW",6.8,6.3,6.6,6.8,5.5,6.2,7.8,6.7,6.1,4.7,63.5,2.116666667,0.831664997,1.760357576
"FUL,LEI,MUN,SOU",5.8,4.6,5.7,6.4,5.1,6.4,4.7,6.7,6.3,7.4,59.1,1.97,0.904863403,1.782580904
"MUN,SOU,WBA,WHU",6,6.3,7.3,6.9,7.4,7.4,6.4,4.7,6.3,6,64.7,2.156666667,0.832733117,1.795927756
"BHA,EVE,LEI,SOU",6.3,4.7,7.5,4.8,6.8,5.8,5.7,6.3,6.9,5.9,60.7,2.023333333,0.88825672,1.797239429
"ARS,FUL,LIV,MUN",5.8,5.3,6.2,6.2,6.1,5.3,6.8,6.7,4.7,7.8,60.9,2.03,0.887505869,1.801636913
"AVL,CRY,LEI,SOU",5.2,6.3,5.8,7.5,6.3,4.8,6.2,5.8,7.4,5.2,60.5,2.016666667,0.894737702,1.804387699
"BUR,EVE,LIV,TOT",6.8,7.5,5.4,5.2,6.2,6.7,6.2,7,5.3,7.4,63.7,2.123333333,0.852512626,1.810168476
"BHA,EVE,WHU,WOL",6.9,6.5,7.6,4.7,6.8,5.2,6.3,6.4,5.4,6.5,62.3,2.076666667,0.876926451,1.821083929
"ARS,LIV,MUN,WBA",5.8,5.8,8.4,6.2,6.1,6.3,7.3,6.8,5.6,6.3,64.6,2.153333333,0.846167832,1.822081398
"ARS,CRY,EVE,FUL",7,5.5,4.9,6.5,7.9,5.4,6.5,5.8,5.4,5.9,60.8,2.026666667,0.899135387,1.822247718
"CRY,EVE,LEE,WOL",7.9,5.9,5.2,6.4,6.2,4.5,5.8,6.2,6.4,5.2,59.7,1.99,0.917787194,1.826396516
"AVL,CHE,FUL,LEI",6.2,5.3,4.3,6.9,5.8,6,5.1,7.3,5.3,6.8,59,1.966666667,0.930949336,1.830867028
