COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"AVL,CHE,LEI",3.1,3.3,2.8,3.3,3.8,5,4.1,4.3,3.3,3.8,2.8,3.6,3.8,4,4.5,55.5,5.55,0.623354978,3.459620128
"CRY,MUN,WOL",4.3,4.9,3.7,3.8,3.2,2.7,3.8,3.7,3.2,4.4,4.4,4.3,4.8,3.6,4.9,59.7,5.97,0.662462937,3.954903734
"MUN,SOU,WBA",4.5,3.3,4.2,3.9,3.8,3.9,3.4,3.7,4.3,4.5,2.9,3.4,5.3,2.8,4.9,58.8,5.88,0.7093256355,4.170834737
"EVE,WBA,WHU",4.6,3.5,4.6,4.5,5.6,5,3.5,4.1,3.5,3,3.5,4,4.6,4.6,3.5,62.1,6.21,0.7179335425,4.458367299
"BUR,FUL,LEI",4.4,3.8,4,4.4,2.7,4,2.8,4.9,2.9,4.4,3.7,4.8,3.3,5,4.4,59.5,5.95,0.7575021609,4.507137858
"LIV,MUN,WBA",4.4,3.3,4.7,4.8,3.8,3.3,4.3,5.4,3.7,3.3,3.9,3.3,4.7,2.6,4.3,59.8,5.98,0.754857287,4.514046577
"AVL,LEI,SOU",2.7,3.3,3.9,3.4,4.9,3.4,3.7,4.4,5,3.8,3.3,2.7,3.8,5,2.4,55.7,5.57,0.8262364472,4.602137011
"CHE,FUL,LEI",3.1,3.8,2.8,3.3,3.3,4.5,2.8,4.3,3.8,3.8,3.1,3.6,3.3,4.5,6,56,5.6,0.8355209382,4.678917254
"ARS,CRY,FUL",3.9,4.5,3.4,5,3.4,2.4,4.5,2.8,3.9,4.4,4.9,4.9,4,4.4,4.4,60.8,6.08,0.7698484699,4.680678697
"LEI,MUN,SOU",2.7,2.6,4.2,3.4,3.1,5.4,3.7,3.7,4.3,3.8,3.7,2.7,3.6,4.8,4.9,56.6,5.66,0.8344944292,4.723238469
"CRY,MUN,SOU",3.9,3.8,3.7,3.9,3.2,3.3,4.9,2.8,3.2,4.4,3.3,4.4,4.8,5.8,3.3,58.7,5.87,0.812286602,4.768122354
"CHE,FUL,SHU",4.8,3.8,2.6,4.3,2.8,5,3.3,4.3,3.8,4.3,4.3,5.3,5,3.8,4.3,61.7,6.17,0.7836422896,4.835072927
"FUL,SHU,SOU",4.4,3.8,2.8,4.4,2.8,2.9,2.9,4.4,4.5,4.9,4.9,4.4,5,3.8,3.2,59.1,5.91,0.8227132811,4.862235491
