COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"CRY,EVE,NEW",5.5,2.5,3.4,3.5,5.1,4.4,4,4.4,3.9,2.9,3.4,4,5,4.1,3.9,60,6,0.8124038405,4.874423043
"ARS,LEE,WBA",4.5,3.3,5.5,4.4,5,3.8,4.5,2.7,4.9,3.8,4.5,3.9,3.8,3.9,5.4,63.9,6.39,0.7669978581,4.901116313
"CHE,LEE,LIV",3.1,4.8,3.1,2.6,4.8,3.1,5.1,2.6,4.7,4.1,4.2,3.6,4.2,3.8,2.6,56.4,5.64,0.8748877479,4.934366898
"LIV,MUN,SOU",2.7,3.8,4.2,2.7,4.1,3.2,4.7,3.7,3.7,4.8,4.8,2.7,4.7,2.6,2.2,54.6,5.46,0.9061693314,4.947684549
"AVL,SHU,SOU",4.4,3.3,2.8,4.4,4.4,3.4,4.4,5,4,4.3,3.4,4.4,5.5,3.3,2.4,59.4,5.94,0.8373427358,4.97381585
"ARS,AVL,WBA",4.5,4,5.2,4.4,5.6,3.5,4,4.5,3.4,4.5,2.5,3.9,4.5,3,4.6,62.1,6.21,0.8060485629,5.005561575
"BUR,NEW,SOU",4.4,4.5,4.9,2.8,5.1,4.9,3.9,3.3,4.4,5.1,3.8,2.4,3.9,4,3.3,60.7,6.07,0.8288259051,5.030973244
"AVL,CHE,WBA",4.9,4,2.8,3.8,4.5,3.5,3.8,4.4,3.3,4.5,2.3,4.3,5.5,3,4.5,59.1,5.91,0.8517209469,5.033670796
"FUL,LEI,SOU",2.7,3.8,3.9,3.4,3.3,2.9,2.8,4.4,5.5,4.4,3.7,2.7,3.3,5.5,3.9,56.2,5.62,0.9014802642,5.066319085
"BUR,CRY,NEW",5.5,5,4.4,3.9,2.8,4.4,5.5,3.3,3.3,2.9,3.3,4,3.9,4,3.8,60,6,0.8451542547,5.070925528
"CHE,LEE,WBA",4.9,3.3,3.1,3.8,4.5,3.8,3.8,2.6,4.8,3.8,2.3,4.3,4.8,4,5.3,59.1,5.91,0.8608965426,5.087898567
"FUL,SOU,WBA",4.5,4.5,3.9,3.9,4,2.9,2.5,4.4,5.5,5.1,2.9,3.4,5,3.5,3.9,59.9,5.99,0.8631062397,5.170006376
"BHA,SHU,SOU",4.4,3.7,3.7,3.3,2.2,2.8,5.4,3.3,4.4,4.9,4.4,4.4,4.9,3.2,3.2,58.2,5.82,0.8913873617,5.187874445
"LIV,MUN,TOT",3.2,3.8,3.2,4.8,4.1,3.7,4.2,3.7,3.7,4.8,5.9,2.7,4.7,2.6,4.3,59.4,5.94,0.8757037986,5.201680564
"CHE,LIV,MUN",3.1,4.8,3.1,2.6,4.1,4.8,5.1,3.6,2.6,4.8,4.2,3.6,4.7,2.6,4.3,58,5.8,0.8989411761,5.213858821
"LEE,LIV,WBA",4.4,3.3,4.7,4.8,4.3,3.1,4.3,4.4,5.9,3.3,3.9,3.3,4.2,2.8,2.6,59.3,5.93,0.8838767421,5.241389081
"CRY,FUL,NEW",5.5,3.5,3.4,5.6,3.4,2.4,3,4.4,4.4,2.9,3.4,4,3.5,3,4.4,56.8,5.68,0.9241727317,5.249301116
"AVL,BHA,LEI",4.9,3.3,5.1,4.9,2.7,2.4,4.3,4.9,3.4,3.8,3.3,4.8,3.2,2.9,4,57.9,5.79,0.9085309964,5.260394469
"CHE,FUL,NEW",4.8,3.5,2.8,2.8,4.5,4.6,3,4.3,3.8,4.5,3.3,3.3,3.5,3,6,57.7,5.77,0.9117225977,5.260639389
"AVL,LEI,WOL",3.1,3.3,4.5,3.3,3.1,2.8,2.6,6.5,4,3.8,3.3,2.6,3.8,3.8,4,54.5,5.45,0.9655987533,5.262513206
"AVL,CRY,WOL",4.3,5.6,3.4,4.9,3.2,2.7,3.3,4.9,3.9,4.4,2.9,4.3,5,3.8,2.9,59.5,5.95,0.8925618559,5.310743043
"BUR,FUL,NEW",6.1,3.5,4,3.9,3.4,4,3,4.9,2.9,5.1,3.9,4.5,3.4,3,4.4,60,6,0.8880154439,5.328092663
"BHA,CHE,LEI",3.1,3.7,4.9,3.2,2.7,4.4,4.1,3.2,3.7,3.8,3.1,3.6,3.2,3.9,6.5,57.1,5.71,0.9369148968,5.349784061
"ARS,FUL,WBA",4.5,4.5,5.2,4.4,4,3,2.5,4.4,3.9,4.5,4.5,3.9,4,3.5,6.1,62.9,6.29,0.8506020277,5.350286754
"CHE,FUL,LIV",3.1,6,2.8,2.6,4.3,2.3,3.3,4.3,3.8,4.8,4.2,3.6,4.4,3.3,3.3,56.1,5.61,0.9552860454,5.359154715
"CRY,LIV,MUN",3.8,4.8,3.7,4.8,3.2,2.7,5.8,3.7,3.2,3.2,4.3,4.3,4.7,2.6,2.7,57.5,5.75,0.9355416053,5.37936423
"LEE,WBA,WOL",4.9,3.3,4.8,3.8,3.8,3.1,2.3,4.4,5.5,3.8,5,3.3,4.8,3.8,4.8,61.4,6.14,0.8803137969,5.405126713
"AVL,WHU,WOL",3.3,5.1,4.5,4.4,5.4,2.8,3.3,4.5,3.5,4.5,5.2,3.3,3,3.8,2.5,59.1,5.91,0.9225740388,5.45241257
"BUR,EVE,LIV",4.9,4.5,4,3.3,3.7,4.3,4.8,5.6,2.4,3.3,4.4,4.8,4.8,4.3,2.7,61.8,6.18,0.8857603675,5.473999071
"BHA,EVE,LEI",4.9,2.8,5.1,3.9,2.7,3.9,3.8,4.9,3.4,2.3,4.3,4.8,3.2,4.5,5,59.5,5.95,0.9209208642,5.479479142
"ARS,AVL,LEI",2.7,3.3,6.5,3.9,4.9,4.5,4.3,4.4,3.4,3.8,3.3,3.2,3.8,3.9,4.5,60.4,6.04,0.9090549776,5.490692065
"BUR,SOU,WBA",4.5,5.5,4.9,2.8,3.4,3.9,3.4,3.3,4.4,5.1,2.9,3.4,5.4,4.5,3.3,60.7,6.07,0.9093692215,5.519871174
"BUR,NEW,TOT",4.9,4.5,3.9,3.9,3.9,5.4,3.4,3.3,4.6,5.6,3.9,2.4,3.9,4,5.4,63,6.3,0.8766820567,5.523096957
"BUR,LIV,NEW",4.3,5,5.4,3.7,3.7,4.3,4.8,4.9,3.8,3.3,3.9,2.3,3.9,2.3,2.7,58.3,5.83,0.948582903,5.530238324
"ARS,MCI,SHU",4.4,4.3,4.2,3.2,3.7,5.3,5.9,5.4,4.4,3.1,3.8,4.9,3.3,4.2,3.1,63.2,6.32,0.8765734153,5.539943985
"LEI,LIV,MUN",2.6,2.6,4.7,4.3,3.1,4.8,4.6,5.3,3.7,2.6,4.7,2.6,3.6,2.6,4.3,56.1,5.61,0.9890832696,5.548757143
"MUN,SHU,SOU",4.4,2.6,3.1,3.9,2.6,5.4,4.9,3.7,3.3,4.3,4.9,4.4,5.3,3.1,3.2,59.1,5.91,0.9409721417,5.561145357
"ARS,FUL,MCI",4.5,4.5,4.4,3.2,4.9,3.3,2.8,4.4,3.9,4.8,4.3,5.9,2.3,4.4,3.8,61.4,6.14,0.9066946774,5.567105319
"BHA,CHE,LIV",3.1,5.9,4.2,2.6,3.7,2.2,5.1,3.2,3.7,4.8,3.8,3.6,4.3,2.7,3.8,56.7,5.67,0.9864800338,5.593341792
"CRY,EVE,LIV",3.8,5,3.4,3.3,3.7,2.7,4.8,5.1,3.9,2.9,3.9,4.3,5.9,4.4,2.7,59.8,5.98,0.9372197994,5.6045744
"BUR,LEI,LIV",2.6,5.3,5.4,3.7,2.7,4.3,4.6,4.9,3.8,2.6,3.7,2.6,3.7,4.3,2.7,56.9,5.69,0.9974729976,5.675621356
"CHE,LEI,LIV",2.6,5.8,4.2,2.6,3.6,4.8,4.1,4.3,4.7,2.6,3.1,2.6,4.7,3.8,4.3,57.8,5.78,0.9862386459,5.700459373
"FUL,LEI,LIV",2.6,3.8,4.4,4.3,3.3,2.3,2.8,6,4.9,2.6,4.7,2.6,3.3,3.3,3.3,54.2,5.42,1.052796729,5.706158271
"CRY,FUL,LIV",3.8,6,3.4,5.4,3.4,2.3,3.8,4.4,4.4,3.2,4.3,4.3,4.4,3.3,2.7,59.1,5.91,0.9664367543,5.711641218
"BHA,EVE,SOU",5,2.9,3.9,2.4,5.5,2.8,3.9,3.3,3.4,5.1,4.4,4.9,4.9,4.5,3.4,60.3,6.03,0.9608032354,5.793643509
"CHE,FUL,WHU",3.3,5.6,2.8,4.4,4.5,5,3.3,2.3,3.8,4.5,5,4.3,2.5,4.5,4,59.8,5.98,0.9694377359,5.797237661
"ARS,FUL,SHU",4.4,3.8,2.8,4.9,2.8,4,5.1,4.4,3.9,4.3,6.5,4.9,4,3.8,4.3,63.9,6.39,0.9077444574,5.800487083
"LIV,MUN,NEW",4.3,2.3,4.7,3.8,4.1,4.8,4.8,5.3,3.7,3.3,4.9,2.3,3.8,2.3,4.3,58.7,5.87,0.988409015,5.801960918
"ARS,FUL,LIV",2.7,4.5,4.4,3.2,4.3,2.3,3.8,4.4,3.9,4.8,6.4,3.2,4,3.3,3.3,58.5,5.85,0.9928314488,5.808063975
"FUL,NEW,SOU",4.4,3.5,3.9,2.9,5.7,2.9,2.9,4.4,5.5,5.1,3.9,2.4,3.5,3,3.9,57.9,5.79,1.003422714,5.809817514
"AVL,SOU,WBA",4.5,4,3.9,3.9,5.6,3.4,3.4,4.5,5,4.5,2.5,3.4,5.5,3,2.4,59.5,5.95,0.9802817865,5.83267663
"BUR,FUL,LIV",4.4,5.5,4,3.7,3.4,2.3,3.8,4.9,2.9,5.4,4.8,4.8,3.4,3.3,2.7,59.3,5.93,0.98406349,5.835496496
"CHE,FUL,LEE",4.9,2.8,2.8,4.4,4.5,2.8,3.3,2.6,3.8,5.3,5.3,4.8,2.8,4.5,4.3,58.9,5.89,0.9910071837,5.837032312
"MCI,SHU,SOU",4.4,4.8,3.7,2.7,3.7,4.2,3.7,5.4,5.9,3.1,2.7,4.4,4.3,4.6,2.7,60.3,6.03,0.9696833062,5.847190336
"CHE,LEE,TOT",3.7,3.8,2.7,4.9,5,4.2,3.7,2.6,4.8,5.3,4.3,3.7,4.8,5.5,5.3,64.3,6.43,0.9093692215,5.847244094
"BHA,CRY,WOL",4.3,6,4.9,3.2,2.8,2.2,4.3,3.3,4.3,4.9,3.9,4.3,4.4,3.7,4.9,61.4,6.14,0.9535397712,5.854734195
"BHA,LEI,SOU",2.7,3.7,6,3.3,2.7,2.8,3.7,3.3,5.4,4.4,3.7,2.7,3.2,4.9,4.4,56.9,5.69,1.029886725,5.860055466
"CHE,CRY,NEW",4.3,5.6,3.2,2.8,3.9,5,4.3,2.7,4.2,2.9,2.7,3.3,5,3.5,5.4,58.8,5.88,1.002283108,5.893424675
"BHA,EVE,TOT",5.5,2.9,2.9,3.9,3.9,3.3,3.4,3.3,3.4,5.6,5,4.9,5,4.4,5,62.4,6.24,0.9462708764,5.904730268
"BHA,FUL,LIV",4.4,3.9,4.4,4.2,3.4,1.9,3.8,4.9,3.9,5.4,5.4,4.8,2.9,2.7,3.3,59.3,5.93,0.9970432479,5.91246646
"BUR,LIV,WBA",4.4,6,5.4,3.7,3.4,3.3,4.3,5,3.8,3.3,2.9,3.3,4.8,2.8,2.7,59.1,5.91,1.003422714,5.930228239
"EVE,FUL,LEI",4.4,2.8,3,4,3.3,4,2.8,6,3.5,2.3,4.3,5,3.3,5.1,4.5,58.3,5.83,1.018308588,5.93673907
"BHA,EVE,LIV",4.9,2.9,4.4,3.3,3.7,2.2,4.8,5.6,3.4,3.3,5,4.8,4.3,2.7,2.8,58.1,5.81,1.023625676,5.947265175
"CRY,MCI,NEW",5.5,4.9,4.8,3.8,4.3,3.7,3.8,4.4,5.8,2.9,2.2,4,2.8,3.8,3.2,59.9,5.99,0.9974729976,5.974863256
"BHA,CHE,LEE",5.4,2.7,3.1,3.2,3.9,2.7,5.3,2.6,3.7,5.3,3.8,4.8,2.7,3.9,4.8,57.9,5.79,1.03357908,5.984422872
"ARS,CRY,NEW",3.9,4,5.5,3.4,5.1,4.4,5.5,2.8,4.3,2.9,3.4,2.9,4.5,3.4,5.5,61.5,6.15,0.9732126474,5.985257782
"CHE,EVE,FUL",4.9,3,2.8,2.3,4.5,4,3,4.3,3.3,4.5,3.8,6,5,4.5,4.5,60.4,6.04,0.9910071837,5.985683389
"LEE,SHU,SOU",4.4,2.6,3.1,4.4,3.8,3.7,4.9,2.7,5.5,3.6,4.9,3.9,4.8,5.8,3.2,61.3,6.13,0.9767779881,5.987649067
"BHA,CHE,WHU",3.3,5.5,4.4,3.2,3.9,4.9,5.8,2.3,3.7,4.5,3.8,4.3,2.4,3.9,4.5,60.4,6.04,0.9917276892,5.990035243
"AVL,BUR,LEI",6.3,3.3,4,4.4,2.7,4.5,4.3,4.9,2.4,3.8,3.3,4.8,3.7,4.5,2.9,59.8,5.98,1.002045527,5.992232251
"CHE,FUL,WBA",4.9,4.5,2.8,3.8,4,3,2.5,4.3,3.8,4.5,2.3,4.3,5,3.5,6,59.2,5.92,1.012681495,5.995074448
"MUN,WHU,WOL",3.3,4.4,4.8,3.8,3.6,4.8,3.8,3.3,2.8,4.5,6.7,3.3,2.8,3.6,4.5,60,6,0.999285459,5.995712754
"CRY,LEI,MUN",3.8,2.6,3.7,5.5,2.7,4.9,4.8,3.7,3.2,2.2,3.2,4.3,3.6,4.8,5.4,58.4,5.84,1.027108748,5.99831509
"FUL,LIV,WBA",4.4,4.5,4.4,4.8,4,2.3,2.5,6.1,4.9,3.3,3.9,3.3,4.4,2.8,3.3,58.9,5.89,1.020130711,6.008569885
"BHA,CHE,EVE",5.4,2.9,2.8,2.3,3.9,3.9,4.3,3.2,3.3,4.5,3.8,5.8,4.9,3.9,5,59.9,5.99,1.003185403,6.009080563
"BUR,NEW,WOL",4.8,5,5.5,2.7,3.2,4.3,2.8,4.9,3.4,5,3.9,2.3,3.9,3.3,4.9,59.9,5.99,1.004608429,6.017604489
"FUL,LIV,NEW",4.3,3.5,4.4,3.8,4.3,2.3,3,6,4.9,3.3,4.9,2.3,3.5,2.3,3.3,56.1,5.61,1.073578795,6.022777039
"BHA,CHE,NEW",4.8,3.4,4.9,2.8,3.9,4.5,4.3,3.2,3.7,4.5,3.3,3.3,3.4,2.4,6.5,58.9,5.89,1.022927638,6.025043787
"ARS,MCI,TOT",3.3,5.5,4.3,3.2,5.4,4.7,3.2,2.8,5.3,4.8,3.8,3.3,3.3,5.2,4.8,62.9,6.29,0.9587690521,6.030657338
"BUR,LEE,LIV",6.3,4.3,4.3,3.7,3.7,3.1,5.8,3.2,3.8,4.1,4.8,3.8,3.2,4.3,2.6,61,6.1,0.9889869757,6.032820552
"CHE,LIV,NEW",3.1,5.5,4.2,2.6,4.8,4.9,4.3,4.3,4.7,3.3,3.3,2.3,4.9,2.3,4.3,58.8,5.88,1.026227488,6.034217629
"BUR,SHU,WOL",4.8,5.3,3.8,2.7,2.2,4.3,4.4,5.4,3.4,4.8,4.9,4.3,5.4,4.1,3.7,63.5,6.35,0.9506889732,6.03687498
"CRY,EVE,LEI",3.8,2.8,3.4,4,2.7,4.4,3.8,4.4,3.9,2.2,3.2,4.3,4.8,6.6,3.9,58.2,5.82,1.037304198,6.037110435
"BUR,SHU,SOU",4.4,4.8,3.7,2.8,2.2,4.9,5.5,3.3,3.4,4.9,3.8,4.4,5.4,4.8,3.2,61.5,6.15,0.9848857802,6.057047548
"LEE,LEI,LIV",2.6,2.6,4.7,4.3,3.6,3.1,4.6,4.3,5.9,2.6,4.7,2.6,3.1,4.8,2.6,56.1,5.61,1.080211619,6.059987185
"MUN,NEW,SOU",4.4,2.3,4.2,2.9,5.5,5.4,3.9,3.7,4.3,4.5,3.9,2.4,3.8,2.3,4.9,58.4,5.84,1.038176056,6.062948169
"EVE,LIV,WHU",2.8,4.6,4.4,3.3,5.9,4.3,4.8,4.7,3.5,3,5.4,3.3,3.9,4.4,2.3,60.6,6.06,1.000571265,6.063461868
"CHE,LEE,SHU",4.8,2.6,2.6,4.3,3.3,5.8,5.3,2.6,4.3,3.6,4.3,4.8,4.8,4.3,3.6,61,6.1,0.9940297974,6.063581764
"AVL,CHE,NEW",4.8,3,2.8,2.8,6.1,5.1,4.3,4.3,3.3,4.5,2.8,3.3,4,2.5,4.5,58.1,5.81,1.043665701,6.063697722
"BHA,LEI,SHU",4.3,3.6,4.9,4.9,2.1,4.4,5.3,4.9,4.4,2.1,4.3,4.3,3.2,3.2,4.8,60.7,6.07,0.9991901483,6.0650842
"FUL,LIV,SOU",2.7,5,3.9,2.7,4.3,2.3,2.9,4.4,4.9,5.4,4.8,2.7,4.4,3.3,2.2,55.9,5.59,1.089211161,6.088690388
"AVL,CHE,CRY",4.3,5.6,2.8,4.9,3.9,2.9,4.8,2.7,3.3,4.4,2.7,5.3,5,4,2.9,59.5,5.95,1.023765226,6.091403095
"CHE,LEE,LEI",3.1,2.6,3.1,3.3,3.8,5.3,4.1,2.6,4.8,3.1,3.1,3.6,3.1,6,5.3,56.9,5.69,1.07069181,6.0922364
"ARS,AVL,CRY",3.9,4,3.4,5.5,5,2.9,6,2.8,3.4,4.4,2.9,4.9,4.5,3.9,2.9,60.4,6.04,1.009573224,6.097822275
"BHA,SOU,WBA",4.5,4.4,6,3.3,3.4,2.8,3.4,3.3,5.4,5.1,2.9,3.4,4.9,2.9,4.4,60.1,6.01,1.016623731,6.109908621
"AVL,CHE,TOT",3.7,4.5,2.7,4.9,5,3.9,3.7,2.7,3.3,6,2.8,3.7,5.5,4,4.5,60.9,6.09,1.003422714,6.110844328
"CRY,NEW,WOL",4.3,5.6,4.9,2.8,3.2,2.7,2.8,4.4,4.9,2.9,3.4,2.3,5,3.3,4.9,57.4,5.74,1.067350971,6.126594573
"FUL,WBA,WHU",4.6,4.5,4.6,6.6,4,3,2.5,4,4,3,4.7,4,2.5,3.5,4,59.5,5.95,1.033486932,6.149247244
"AVL,CRY,LEI",3.8,3.3,3.4,6.6,2.7,2.9,4.3,4.4,3.9,2.2,2.9,4.3,3.8,5,2.9,56.4,5.64,1.093356562,6.166531009
"CRY,MUN,NEW",5.5,2.3,3.7,5,3.2,4.9,5,3.7,3.2,2.9,3.4,4,3.8,2.3,5.4,58.3,5.83,1.058210529,6.169367384
"AVL,FUL,LEI",4.4,3.3,3,6.1,3.3,2.5,2.8,6,3.5,3.8,3.3,4.9,3.3,3.5,3.5,57.2,5.72,1.078932453,6.171493631
"CHE,CRY,FUL",4.3,6.1,2.8,4.4,3.4,2.4,3.3,2.7,3.8,4.4,2.7,5.3,4.5,4.5,4.4,59,5.9,1.047900395,6.182612331
"ARS,CRY,MUN",3.9,3.3,3.7,4.4,3.2,4.4,6.5,2.8,2.7,4.4,4.4,4.9,4.3,3.7,5.4,62,6.2,0.9976162064,6.18522048
"CHE,LEE,NEW",4.8,2.3,3.1,2.8,5.5,5.4,4.3,2.6,4.8,3.8,3.3,3.3,3.3,3.5,5.3,58.1,5.81,1.065341439,6.189633759
"AVL,LEI,LIV",2.6,3.3,4.4,4.3,3.6,2.8,4.3,6.6,4.4,2.6,3.3,2.6,3.8,2.8,1.8,53.2,5.32,1.163655979,6.19064981
"AVL,CRY,SOU",3.9,4.5,3.4,5,5,2.9,4.4,2.8,3.9,4.4,2.9,4.4,5,6,2.4,60.9,6.09,1.016857906,6.192664645
"BHA,LEE,LEI",4.9,2.6,5.4,4.9,2.7,2.7,4.8,3.2,4.9,3.1,4.3,3.8,2.7,4.9,4.8,59.7,5.97,1.037992568,6.196815632
"BHA,LIV,TOT",3.2,4.9,4.3,4.2,3.7,2.2,4.2,3.3,4.8,5.9,5.4,2.7,4.3,2.7,3.8,59.6,5.96,1.040238068,6.199818885
"CRY,LEE,WOL",4.3,4.9,3.7,4.9,3.2,2.7,3.8,2.7,4.9,3.7,5.4,3.8,4.3,6.3,3.7,62.3,6.23,0.995609409,6.202646618
"ARS,SHU,WBA",4.4,4.3,5,4.4,2.8,5,5.6,4.5,4.4,2.8,4,3.9,6,3.3,5.4,65.8,6.58,0.9440540743,6.211875809
"BHA,LIV,WBA",4.4,4.4,6.5,4.2,3.4,2.2,4.3,5,4.8,3.3,3.5,3.3,4.3,2.7,3.8,60.1,6.01,1.034730239,6.218728734
"BHA,BUR,LEI",4.9,3.7,6.1,4.3,2.7,3.9,5.3,3.8,2.8,5.3,3.7,4.8,3.2,4.4,4.9,63.8,6.38,0.976046447,6.227176332
"MCI,SHU,TOT",4.9,4.8,2.7,5.3,3.3,4.7,3.2,5.4,5.9,3.1,3.8,4.4,4.3,4.6,3.1,63.5,6.35,0.9810101694,6.229414575
"AVL,CRY,NEW",5.5,3,3.4,6.1,5,2.9,4.5,4.4,3.9,2.9,2.9,4,4,2.5,2.9,57.9,5.79,1.076900314,6.235252817
"BHA,FUL,LEI",4.4,3.7,5.1,4.9,2.7,1.9,2.8,4.9,3.9,4.4,4.3,4.8,2.9,3.4,5.5,59.6,5.96,1.046399723,6.236542351
"CRY,LIV,NEW",3.8,5.5,4.8,3.8,3.7,2.7,4.8,4.4,5.3,2.9,3.4,2.3,4.9,2.3,2.7,57.3,5.73,1.089036271,6.240177834
"MUN,WBA,WHU",4.6,3.3,4.9,6,3.8,5.5,4.5,3.3,2.8,3,4,4,2.8,2.8,5,60.3,6.03,1.035236343,6.242475148
"CRY,FUL,LEI",3.8,3.8,3.4,6.1,2.7,2.4,2.8,4.4,4.4,2.2,3.2,4.3,3.3,5.5,4.4,56.7,5.67,1.102075963,6.248770711
"ARS,CRY,TOT",3.3,5.5,3.3,5.5,3.9,3.8,4.9,2.8,4.3,4.4,4.4,3.3,5.5,5.4,5.4,65.7,6.57,0.9518403227,6.25359092
"CHE,CRY,MUN",4.3,4.9,3.1,3.8,3.2,4.9,5.3,2.7,2.6,4.4,2.7,5.3,4.8,3.8,5.4,61.2,6.12,1.022042772,6.254901767
"ARS,AVL,WOL",3.2,4,4.5,2.2,5.4,2.8,3.3,4.9,3.4,6,5,3.2,4.5,3.8,4,60.2,6.02,1.039138838,6.255615802
"AVL,CHE,FUL",4.9,3.5,2.8,4.4,4.5,2.5,3.3,4.3,3.3,6,2.8,5.9,3.5,3.5,3.5,58.7,5.87,1.066279692,6.25906179
"ARS,LIV,MUN",2.7,3.3,4.7,3.2,4.1,4.3,5.8,3.7,2.7,4.8,5.9,3.2,4.3,2.6,4.3,59.6,5.96,1.050487415,6.260904995
"BHA,CRY,SOU",3.9,4.9,4.3,3.3,2.8,2.3,5.4,2.8,4.3,5,3.3,4.4,4.4,5.9,3.3,60.3,6.03,1.03936794,6.267388677
"BHA,CRY,LEI",3.8,3.7,5.5,4.9,2.7,2.3,5.3,3.3,4.3,2.2,3.2,4.3,3.2,4.9,4.9,58.5,5.85,1.073046398,6.277321426
"EVE,LEE,LIV",4.9,1.8,3.3,3.3,5.3,3.1,4.8,5,4.4,3.3,5.4,3.8,4.2,4.4,2.6,59.6,5.96,1.054559262,6.285173204
"BHA,EVE,WHU",5.1,2.9,4.6,3.9,5,3.9,5.5,2.9,3.4,3,5,5.5,2.4,4.5,3.5,61.1,6.11,1.029886725,6.292607891
"BHA,CHE,SHU",4.8,3.7,2.6,3.2,2.2,4.9,5.8,3.2,3.7,4.3,3.8,5.3,4.9,3.2,4.8,60.4,6.04,1.043665701,6.303740833
"BUR,LEI,WOL",3.1,5.3,5.5,2.7,2.7,4.3,2.6,4.9,3.4,4.3,3.7,2.6,3.7,5.3,4.9,59,5.9,1.06949031,6.309992831
"CHE,EVE,LIV",3.1,5,2.8,2.3,4.8,4.3,4.3,5,3.3,3.3,3.8,3.6,6.4,3.8,2.8,58.6,5.86,1.077342409,6.313226518
"AVL,CHE,LIV",3.1,5.5,2.8,2.6,4.8,2.8,4.8,4.9,3.3,4.8,2.8,3.6,4.9,2.8,1.8,55.3,5.53,1.144469101,6.32891413
"ARS,AVL,SHU",4.4,3.3,2.8,4.9,4.4,4.5,6.6,5,3.4,4.3,4.5,4.9,4.5,3.3,2.8,63.6,6.36,0.9962787906,6.336333108
"AVL,CHE,SHU",4.8,3.3,2.6,4.3,3.3,5.5,4.8,4.9,3.3,4.3,2.8,5.3,5.5,3.3,2.8,60.8,6.08,1.042570084,6.338826113
"BUR,LEI,SOU",2.7,4.8,4.9,2.8,2.7,4.9,3.7,3.3,4.4,4.4,3.7,2.7,3.7,6.5,3.3,58.5,5.85,1.083644644,6.339321167
"ARS,CRY,MCI",3.9,5.9,4.8,3.2,4.3,3.7,5.3,2.8,4.3,3.2,2.2,4.9,3.3,5.2,3.2,60.2,6.02,1.054152786,6.345999769
"CHE,MCI,WBA",4.9,5.9,4.2,2.6,4.5,4.3,3.3,4.4,5.2,3.3,1.8,4.3,4.3,4,4.8,61.8,6.18,1.027618606,6.350682987
"LEE,SOU,WBA",4.5,3.3,4.2,3.9,5,3.7,3.4,2.7,6.5,3.8,2.9,3.4,4.8,5.5,3.2,60.8,6.08,1.044623423,6.35131041
"MUN,SOU,TOT",3.3,3.8,3.2,3.9,4.3,4.3,3.3,2.8,4.3,6.6,4.9,2.8,5.3,4.3,4.9,62,6.2,1.025159686,6.355990051
