COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"FUL,LEI,MUN,SOU",2.7,2.6,3.3,3.4,3.1,2.9,2.8,3.7,2.8,3.8,3.7,2.7,3.3,3.3,3.9,48,1.6,0.439155033,0.702648053
"AVL,CHE,FUL,LEI",3.1,3.3,2.8,3.3,3.3,2.5,2.8,4.3,3.3,3.8,2.8,3.6,3.3,3.5,3.5,49.2,1.64,0.45071372,0.7391705
"AVL,BHA,LEI,SOU",2.7,3.3,3.9,3.3,2.7,2.4,3.7,3.3,3.4,3.8,3.3,2.7,3.2,2.9,2.4,47,1.566666667,0.480575052,0.752900915
"AVL,BHA,CHE,LEI",3.1,3.3,2.8,3.2,2.7,2.4,4.1,3.2,3.3,3.8,2.8,3.6,3.2,2.9,4,48.4,1.613333333,0.484718868,0.782013107
"ARS,AVL,FUL,LEI",2.7,3.3,3,3.9,3.3,2.5,2.8,4.4,3.4,3.8,3.3,3.2,3.3,3.5,3.5,49.9,1.663333333,0.481762637,0.801331852
"AVL,LEI,MUN,SOU",2.7,2.3,3.3,3.4,3.1,3.4,3.7,3.7,2.3,3.8,3.3,2.7,3.6,2.8,2.4,46.5,1.55,0.527798663,0.818087928
"AVL,CHE,LEE,LEI",3.1,2.3,2.8,3.3,3.8,3.3,4.1,2.6,3.3,3.1,2.8,3.6,3.1,4,2.8,48,1.6,0.512695956,0.820313529
"AVL,FUL,LEI,SOU",2.7,3.3,3,3.4,3.3,2.5,2.8,4.4,3.5,3.8,3.3,2.7,3.3,3.5,2.4,47.9,1.596666667,0.527076393,0.841565307
"ARS,CRY,FUL,NEW",3.9,3.5,3.4,3.4,3.4,2.4,3,2.8,3.9,2.9,3.4,2.9,3.5,3,4.4,49.8,1.66,0.507374193,0.84224116
"MUN,SOU,WBA,WHU",2.9,3.3,4.2,3.9,3.8,3.9,3.4,2.4,2.8,3,2.9,3.4,2.8,2.8,2.9,48.4,1.613333333,0.524359019,0.845965884
"CRY,FUL,NEW,SOU",3.9,3.5,3.4,2.9,3.4,2.4,2.9,2.8,4.4,2.9,3.3,2.4,3.5,3,3.3,48,1.6,0.531843156,0.85094905
"AVL,CHE,CRY,LEI",3.1,3.3,2.8,3.3,2.7,2.9,4.1,2.7,3.3,2.2,2.7,3.6,3.8,4,2.9,47.4,1.58,0.539576554,0.852530955
"AVL,LEE,LEI,WOL",3.1,2.3,3.3,3.3,3.1,2.8,2.6,4.3,4,3.1,3.3,2.6,3.1,3.8,2.8,47.5,1.583333333,0.542041995,0.858233158
"CRY,MUN,NEW,SOU",3.9,2.3,3.7,2.9,3.2,3.3,3.9,2.8,3.2,2.9,3.3,2.4,3.8,2.3,3.3,47.2,1.573333333,0.546242576,0.859421654
"CHE,FUL,LEI,LIV",2.6,3.8,2.8,2.6,3.3,2.3,2.8,4.3,3.8,2.6,3.1,2.6,3.3,3.3,3.3,46.5,1.55,0.560611911,0.868948461
"ARS,AVL,CRY,LEI",2.7,3.3,3.4,3.9,2.7,2.9,4.3,2.8,3.4,2.2,2.9,3.2,3.8,3.9,2.9,48.3,1.61,0.570964097,0.919252196
"LIV,MCI,MUN,TOT",3.2,3.8,3.2,3.6,4.1,3.6,3.2,3.7,3.7,3.6,3.7,2.7,2.6,2.6,2.1,49.4,1.646666667,0.563745975,0.928301705
"ARS,AVL,LEI,TOT",2.7,3.3,2.9,3.9,3.8,3.9,3.2,2.8,3.4,3.8,3.3,2.7,3.8,3.9,4.5,51.9,1.73,0.536922447,0.928875834
"AVL,CHE,LEI,TOT",3.1,3.3,2.7,3.3,3.8,3.9,3.2,2.7,3.3,3.8,2.8,2.7,3.8,4,4.5,50.9,1.696666667,0.553516894,0.939133664
"LEI,LIV,MUN,SOU",2.6,2.6,4.2,2.7,3.1,3.2,3.7,3.7,3.7,2.6,3.7,2.6,3.6,2.6,2.2,46.8,1.56,0.604979338,0.943767768
"CHE,FUL,LEE,LEI",3.1,2.6,2.8,3.3,3.3,2.8,2.8,2.6,3.8,3.1,3.1,3.6,2.8,4.5,4.3,48.5,1.616666667,0.58635273,0.947936913
"BUR,FUL,NEW,WHU",4.5,3.5,4,3.9,3.4,4,3,2.9,2.9,3,3.9,3,2.5,3,3.4,50.9,1.696666667,0.559931969,0.950017907
"CHE,CRY,FUL,NEW",4.3,3.5,2.8,2.8,3.4,2.4,3,2.7,3.8,2.9,2.7,3.3,3.5,3,4.4,48.5,1.616666667,0.588784058,0.95186756
"BUR,LEE,LIV,WBA",4.4,3.3,4.3,3.7,3.4,3.1,4.3,3.2,3.8,3.3,2.9,3.3,3.2,2.8,2.6,51.6,1.72,0.553946877,0.952788629
"AVL,CRY,LEI,WOL",3.1,3.3,3.4,3.3,2.7,2.7,2.6,4.4,3.9,2.2,2.9,2.6,3.8,3.8,2.9,47.6,1.586666667,0.604112888,0.958525782
"CRY,MUN,SOU,WBA",3.9,3.3,3.7,3.9,3.2,3.3,3.4,2.8,3.2,2.9,2.4,3.4,4.8,2.8,3.3,50.3,1.676666667,0.573045332,0.960806006
"AVL,LEI,WHU,WOL",2.8,3.3,4.5,3.3,3.1,2.8,2.6,4,3.5,2.3,3.3,2.6,2.8,3.8,2.5,47.2,1.573333333,0.613964479,0.96597078
"ARS,AVL,LEE,LEI",2.7,2.3,3.3,3.9,4.3,3.3,4.3,2.7,3.4,3.1,3.3,3.2,3.1,3.9,2.8,49.6,1.653333333,0.584889082,0.967016615
"BHA,EVE,LEI,SOU",2.7,2.8,3.9,2.4,2.7,2.8,3.7,3.3,3.4,2.3,3.7,2.7,3.2,4.5,3.4,47.5,1.583333333,0.613731755,0.971741945
"BHA,LEI,MUN,SOU",2.7,2.6,4.2,3.3,2.7,2.8,3.7,3.3,2.7,3.8,3.7,2.7,3.2,2.7,4.4,48.5,1.616666667,0.601980857,0.973202386
