COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"LEI,TOT",1.3,1.8,1.4,2.5,1.3,2.4,1.4,1.4,4.5,0.8,1.8,1.3,1.8,3,3.5,30.2,3.02,1.000618856,3.021868946
"SOU,TOT",1.4,3,1.4,0.9,2.5,1.9,1.4,1.4,3.5,3.6,1.9,1.4,3.5,3,1.4,32.2,3.22,0.9402633876,3.027648108
"BHA,MUN",3.6,0.8,1.8,2.4,1.4,0.9,3,1.9,0.8,3,2.5,3.5,1.4,1.3,3,31.3,3.13,0.9804275064,3.068738095
"AVL,EVE",3.6,1,1.5,1.5,3.6,1.5,2,3.6,1.5,1.5,1.5,3.6,2,1.5,1,30.9,3.09,0.9977116675,3.082929053
"CRY,LEE",2.5,0.8,1.8,4.1,1.4,1.4,3,1.3,2.4,1.4,1.4,2.5,1.3,4,1.8,31.1,3.11,0.9974729976,3.102141023
"LIV,WOL",1.3,4,2.9,0.8,1.8,1.3,0.8,3.5,2.5,1.8,2.9,1.3,2.9,1.3,0.8,29.9,2.99,1.045033606,3.124650483
"LIV,MCI",1.3,3.4,2.9,1.8,2.3,1.3,1.8,4.5,2.9,1.8,0.8,1.3,0.8,1.3,0.8,29,2.9,1.077475002,3.124677507
"CHE,WOL",1.8,4.5,1.3,0.8,1.8,1.3,0.8,1.3,1.8,3,1.3,1.3,3.5,2.3,3,29.8,2.98,1.07029146,3.189468551
"EVE,MCI",3.6,1,1.5,1.5,2.9,2.3,1.8,3.7,1.5,1.5,0.8,3.7,0.8,2.8,1.3,30.7,3.07,1.043939425,3.204894036
"BUR,LEE",5,0.8,1.8,1.9,1.4,1.8,3,1.3,0.9,2.3,1.9,2.5,1.3,3,1.8,30.7,3.07,1.050079362,3.223743642
"ARS,LEI",1.3,1.8,5,1.4,1.3,3,1.8,1.4,1.9,0.8,1.8,1.3,1.8,2.4,3.5,30.5,3.05,1.075484387,3.28022738
"AVL,BUR",5,1.5,1.5,1.9,1.4,1.5,2.5,1.9,0.9,3,1.5,3.5,1.9,1.5,1,30.5,3.05,1.08012345,3.294376522
"LEI,WBA",1.3,1.8,3.7,2.5,1.3,2,1.5,3,4.2,0.8,1,1.3,1.8,1.5,3.5,31.2,3.12,1.056409012,3.295996117
"LEI,NEW",1.3,1.5,3.6,2,1.3,3.5,1.8,3,3.7,0.8,1.8,1,1.8,1,3.5,31.6,3.16,1.054559262,3.332407269
"LEE,MCI",5,0.8,1.8,1.8,2.9,1.8,1.8,1.3,3,1.8,0.8,2.5,0.8,2.8,1.3,30.2,3.02,1.108323487,3.347136931
"CRY,WHU",1.5,3.6,1.9,3.6,1.4,1.4,3.5,1,2,1.4,1.4,2,1,4.2,1.5,31.4,3.14,1.070024477,3.359876857
"LEE,WHU",1.5,0.8,1.8,3.6,3,1.8,3,1,2,1.5,3.7,2,1,4,1.5,32.2,3.22,1.048718038,3.376872083
"FUL,MUN",3.1,0.8,1.5,3,1.8,1,1,2.3,0.8,3,3,4.5,1.5,1.3,2.5,31.1,3.11,1.089866746,3.38948558
"MCI,MUN",5,0.8,1.8,1.8,1.8,2.3,1.8,2.3,0.8,1.8,0.8,4,0.8,1.3,1.3,28.4,2.84,1.193713693,3.390146888
"ARS,WHU",1.4,2.5,3.1,1.4,3.6,3,4.1,1,1.9,1.5,3.5,1.9,1,2.4,1.5,33.8,3.38,1.004181733,3.394134257
"FUL,WOL",1.8,2,1.5,0.8,1.8,1,0.8,3,2,3.5,5,1.3,1.5,2,2.5,30.5,3.05,1.115902368,3.403502223
"LEE,MUN",5,0.8,1.8,3,1.8,1.8,3,1.3,0.8,2.3,3,2.5,1.3,1.3,1.8,31.5,3.15,1.092179996,3.440366986
"BHA,BUR",3.6,1.9,2.5,1.9,1.4,0.9,3.5,1.9,0.9,4.5,1.9,3.5,1.4,1.4,1.9,33.1,3.31,1.084610968,3.590062305
"AVL,MUN",5,0.8,1.5,3,1.8,1.5,2.5,2.3,0.8,3,1.5,3.6,1.8,1.3,1,31.4,3.14,1.164024218,3.655036046
"AVL,MCI",5,1.5,1.5,1.8,2.9,1.5,1.8,3.6,1.5,1.8,0.8,3.6,0.8,1.5,1,30.6,3.06,1.199880946,3.671635696
"BUR,MUN",5,0.8,1.8,1.9,1.4,3,3,1.9,0.8,3,1.9,3.5,1.8,1.3,1.9,33,3.3,1.118033989,3.689512163
"BUR,MCI",5,3.4,2.5,1.8,1.4,2.3,1.8,1.9,0.9,1.8,0.8,3.5,0.8,2.8,1.3,32,3.2,1.164760347,3.727233111
"SHU,WHU",1.5,1.8,1.3,3.5,0.8,4.5,4.5,1,2,1.3,3,2,1,1.8,1.5,31.5,3.15,1.213024555,3.821027349
"AVL,LEE",5,0.8,1.5,4.5,3,1.5,2.5,1.3,1.5,2.3,1.5,2.5,1.3,1.5,1,31.7,3.17,1.233963803,3.911665255
"NEW,WBA",3,1.5,3.6,2,2,2,1.5,3,3.7,1.5,1,1,2,1,5,33.8,3.38,1.172218085,3.962097126
"TOT,WBA",1.9,2.5,1.4,3,2,2,1.4,1.4,4.2,1.5,1,1.4,5,1.5,3.5,33.7,3.37,1.17647577,3.964723346
