COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"BUR,MUN,SOU,WBA",9.5,6.3,6.7,5.8,5.2,6.9,6.4,5.6,5.2,8.1,4.8,6.9,7.2,5.8,6.8,97.2,2.16,1.213142319,2.620387409
"CRY,EVE,WBA,WHU",7.1,7.1,6.5,8.1,7,6.4,7,5.5,5.9,4.4,4.9,7,7.6,8.8,5.4,98.7,2.193333333,1.194750422,2.620485926
"AVL,BHA,SOU,WBA",8.1,5.9,7.5,6.3,7,4.3,5.9,6.4,6.9,8.1,4.4,6.9,6.9,4.4,5.4,94.4,2.097777778,1.249266451,2.6206834
"ARS,BUR,CRY,NEW",6.9,7.5,8,5.3,6.5,7.4,9.1,4.7,5.2,5.9,5.3,5.9,6.4,6.4,7.4,97.9,2.175555556,1.205029144,2.621607849
"BUR,CHE,LEE,LIV",8.1,8.3,5.6,4.5,6.2,6.1,8.1,4.5,5.6,7.1,6.1,6.1,6.1,6.8,4.5,93.7,2.082222222,1.259175845,2.621883927
"CHE,LEE,LIV,TOT",5,7.8,4.5,6.7,7.3,5.5,6.5,4,7.7,7.1,7.2,5,7.7,6.8,6.1,94.9,2.108888889,1.243535666,2.622478549
"MCI,MUN,WHU,WOL",8.3,7.8,7.7,5.6,6.5,7.1,5.6,6.8,5.3,6.3,7.5,7.3,3.6,6.4,5.8,97.6,2.168888889,1.209171302,2.622558202
"AVL,CHE,FUL,LIV",6.2,7.5,4.3,6.2,6.8,3.8,5.8,7.9,5.3,7.8,5.7,7.2,6.4,4.8,4.3,90,2,1.31203223,2.624064459
"AVL,BHA,CHE,WHU",6.9,7,5.9,6.8,7.5,6.4,8.3,4.2,5.2,7.5,5.3,7.8,4.4,5.4,5.5,94.1,2.091111111,1.255540104,2.625473862
"LIV,MCI,MUN,SOU",7.7,7.2,7.1,4.5,7,5.5,6.5,8.2,7.1,6.6,5.6,6.7,5.5,5.4,3.5,94.1,2.091111111,1.256108882,2.62666324
"CRY,EVE,LEE,LIV",7.4,5.8,5.2,7.4,6.7,4.5,7.8,6.4,6.8,4.7,6.8,6.8,7.2,8.4,4.5,96.4,2.142222222,1.226765006,2.628003258
"BHA,CHE,CRY,LEI",5.6,7.8,6.8,5.7,4.1,5.8,7.6,4.6,6.1,5.2,4.5,6.6,6.2,7.4,8.4,92.4,2.053333333,1.279955356,2.628174998
"ARS,BHA,EVE,LIV",6.3,5.4,8,4.7,8.2,5.2,8.3,7,5.3,6.3,7.9,6.7,6.8,5.1,5.8,97,2.155555556,1.219289411,2.628246063
"BUR,EVE,NEW,WOL",8.4,6,7,4.2,6.9,7.3,4.8,8.4,4.9,6.5,6.4,5.8,7.4,6.3,6.9,97.2,2.16,1.217843527,2.630542019
"ARS,BUR,LIV,WBA",5.8,8.5,9.1,5.1,5.7,6.3,7.9,6.4,5.7,6.3,5.8,5.2,7.3,5.2,6.3,96.6,2.146666667,1.225794203,2.631371556
