COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"AVL,CHE,FUL,LEI,WHU",4.6,5.3,4.3,6.9,5.8,6,5.1,5.3,5.3,5.3,4.6,5.6,4.3,6,5,79.4,1.764444444,0.706567828,1.246699678
"ARS,AVL,BUR,FUL,LEI",5.8,5.3,5.5,5.8,4.7,5.5,5.3,6.3,4.3,6.8,5.2,6.7,5.2,5.9,5.4,83.7,1.86,0.674219125,1.254047573
"ARS,BHA,MCI,SHU,TOT",6.3,6.2,5.6,5.6,4.7,5.6,6.7,4.7,6.3,6.1,6.3,6.3,4.7,5.6,6.1,86.8,1.928888889,0.65122595,1.256142499
"AVL,BHA,CHE,LEI,LIV",4.4,5.2,5.7,5,5,3.7,6.6,6.2,5.2,5.6,4.6,4.9,5.2,4.2,4.8,76.3,1.695555556,0.744375737,1.262130417
"FUL,MUN,SOU,WBA,WHU",6,5.3,5.7,6.9,5.8,4.9,4.4,4.7,4.8,6,5.9,5.4,4.3,4.8,5.4,80.3,1.784444444,0.713008382,1.272323846
"MCI,MUN,SHU,SOU,TOT",6.3,5.6,4.5,5.7,5.1,6.6,5.1,5.1,6.7,6.1,5.7,5.8,6.1,5.9,4.5,84.8,1.884444444,0.68019605,1.281791668
"AVL,CRY,LEI,MUN,WOL",5.6,4.1,5.2,6.3,4.5,4.2,5.1,6.7,4.7,5.2,4.7,5.6,5.6,5.1,5.9,78.5,1.744444444,0.738402394,1.288101954
"ARS,AVL,LEI,SHU,SOU",4.1,5.1,5.2,4.8,5.7,6.4,6.2,5.8,5.9,5.1,5.2,4.6,6.3,5.7,4.2,80.3,1.784444444,0.726898172,1.297109405
"BUR,CHE,FUL,LEI,LIV",4.4,7.3,5.3,4.5,4.7,5.3,5.1,6.2,4.7,5.6,5,4.9,5.2,5.8,5.2,79.2,1.76,0.737950831,1.298793462
"BHA,CHE,EVE,WBA,WHU",6.4,5.4,5.9,4.7,5.9,5.9,5.8,4.2,5.2,4.5,4.8,6.3,5.9,5.4,6.5,82.8,1.84,0.712340208,1.310705982
"CHE,FUL,LEI,LIV,MUN",4.4,4.6,4.6,5.1,5.1,5.8,5.1,6.6,4.6,5.6,6,4.9,5.1,4.6,6.8,78.9,1.753333333,0.748140552,1.311739768
"CRY,FUL,LIV,MUN,SOU",5.2,5.8,5.2,5.7,5.2,3.7,5.7,5.1,5.2,6.2,6.2,5.7,6.2,4.6,4.1,79.8,1.773333333,0.742774721,1.317187171
"ARS,AVL,LEE,WBA,WOL",6.3,4.8,6.3,5.2,6.8,4.6,4.8,5.8,5.9,6.8,6,5.2,5.8,5.3,5.8,85.4,1.897777778,0.696385225,1.321584404
"ARS,AVL,LEI,LIV,TOT",4,5.8,5.8,5.7,6.1,5.2,5.7,5.8,6.3,5.6,6.2,4,6.3,5.2,5.3,83,1.844444444,0.716805081,1.322107149
"AVL,BHA,EVE,LEI,SOU",6.3,4.3,5.4,4.8,6.3,4.3,5.7,6.3,4.9,5.3,5.2,6.2,5.2,6,4.4,80.6,1.791111111,0.738208901,1.322214164
"ARS,AVL,BHA,EVE,LEI",6.3,4.3,6.6,5.3,6.3,5.4,6.3,6.3,4.9,5.3,5.8,6.7,5.2,5.3,6,86,1.911111111,0.694536502,1.327336426
"CHE,LEE,LIV,MUN,WBA",6.2,4.1,4.9,5.6,6.1,5.1,6.6,4.9,5.5,5.6,5.2,5.6,6,4.1,6.1,81.6,1.813333333,0.733679572,1.330405624
"AVL,BHA,CRY,LEI,WOL",5.6,5.2,6.4,5.7,4.1,3.6,5.1,6.3,5.8,5.2,4.7,5.6,5.2,5.2,5.9,79.6,1.768888889,0.752582854,1.331235449
"AVL,BHA,CRY,LEI,SOU",5.2,5.2,5.8,5.8,4.1,3.8,6.2,4.7,5.8,5.2,4.7,5.7,5.2,6.4,4.3,78.1,1.735555556,0.767618457,1.332244477
"ARS,CRY,MCI,MUN,TOT",5.8,6.3,5.1,6.2,5.7,6.1,6.2,4.2,5.1,6.2,5.2,6.3,5.1,6.5,6.7,86.7,1.926666667,0.695084784,1.339196684
"BUR,FUL,LEI,SHU,SOU",5.7,5.6,5.2,5.3,3.5,5.9,4.7,6.3,5.4,5.7,5.6,5.7,5.2,6.8,5.1,81.7,1.815555556,0.737628116,1.339204825
"ARS,AVL,CRY,LEI,WOL",4.5,5.8,6.4,4.7,4.5,4.2,5.1,5.8,5.8,5.2,4.7,4.5,6.3,6.2,5.9,79.6,1.768888889,0.757313548,1.33960352
"ARS,FUL,MCI,SHU,SOU",5.8,6.3,5.2,4.1,5.7,5.2,4.7,5.8,6.4,6.1,5.7,6.3,4.8,6.2,4.5,82.8,1.84,0.730166322,1.343506032
"CHE,EVE,FUL,WBA,WHU",6.4,5.5,4.3,5.3,6.5,6,4.5,5.3,5.3,4.5,4.8,6.3,6,6,6,82.7,1.837777778,0.731794923,1.344876448
"BUR,CHE,FUL,LIV,NEW",6.1,7,5.3,4.5,5.7,5.3,5.3,6.2,4.7,6.3,5.2,4.6,5.4,4.3,5.2,81.1,1.802222222,0.74877678,1.349462153
"BUR,LEE,LIV,TOT,WBA",6.3,6.3,5.7,6.7,5.7,5.1,5.7,4.6,6.8,5.6,5.8,4.7,6.1,5.8,4.5,85.4,1.897777778,0.713609203,1.354271688
"AVL,BHA,LEI,SHU,SOU",5.7,5.1,5.2,5.8,3.5,4.3,6.2,6.3,5.9,5.1,5.2,5.7,5.2,4.7,4.2,78.1,1.735555556,0.780537056,1.354665423
"AVL,LEI,MUN,SOU,WBA",5.8,4.1,5.7,6.4,5.1,5.4,5.2,6.7,5.8,5.3,4.3,4.7,5.6,4.3,5.9,80.3,1.784444444,0.760513611,1.357094288
"AVL,CHE,LEI,WHU,WOL",4.6,6.9,5.8,4.1,5.6,6.3,4.9,5.3,5.3,5.3,4.6,4.6,4.8,6.3,5.5,79.9,1.775555556,0.767618457,1.362949216
"BHA,CHE,FUL,LEI,LIV",4.4,5.7,5.7,5,4.7,3.2,5.1,6.2,5.7,5.6,5.6,4.9,4.7,4.7,6.3,77.5,1.722222222,0.792524598,1.364903474
"BUR,CRY,FUL,NEW,SOU",6.9,6.5,5.8,4.8,4.8,4.3,4.9,4.7,5.3,6.5,5.2,5.4,5.4,6,5.2,81.7,1.815555556,0.752013171,1.365321691
"AVL,CHE,FUL,LEI,LIV",4.4,5.3,4.3,5.1,5.6,3.8,5.1,7.3,5.3,5.6,4.6,4.9,5.3,4.8,4.3,75.7,1.682222222,0.813165478,1.367925038
"AVL,CHE,LEE,LEI,LIV",4.4,4.1,4.6,5.1,6.1,4.6,6.6,5.6,6.2,4.9,4.6,4.9,5.1,5.3,3.6,75.7,1.682222222,0.814043406,1.369401907
"BHA,CHE,FUL,LEI,WHU",4.6,5.7,5.9,5.7,4.7,5.4,5.1,4.2,5.7,5.3,5.6,5.6,3.9,5.9,7,80.3,1.784444444,0.76984847,1.373751825
"ARS,CRY,MCI,MUN,WOL",5.7,6.7,6.6,4,5,5,5.6,5.1,5.1,6.2,5.2,6.2,5.1,6,6.2,83.7,1.86,0.738918128,1.374387718
"ARS,LIV,MCI,MUN,TOT",4.6,6.3,6.1,5,6.6,6,6,5.1,5.6,6.6,6.7,4.6,5.1,5,5.6,84.9,1.886666667,0.728795484,1.374994146
"AVL,BUR,LEI,LIV,TOT",4.5,6.3,5.4,6.2,5,5.2,5.7,6.3,5.3,5.6,5.2,4,5.7,5.8,3.7,79.9,1.775555556,0.777786848,1.381003759
"BHA,EVE,TOT,WBA,WHU",6.5,5.4,6,6.9,5.9,5.3,4.9,4.3,5.4,4.5,6,5.4,6,5.9,6.5,84.9,1.886666667,0.732705359,1.382370777
"AVL,BHA,EVE,LEI,TOT",6.8,4.3,4.4,6.4,5.2,4.8,5.2,6.3,4.9,5.3,5.8,6.2,5.2,5.9,6,82.7,1.837777778,0.752962403,1.383777572
"AVL,CHE,CRY,LEI,NEW",5.6,4.8,4.7,5.3,5.2,6.4,6.1,5.7,5.7,3.7,4.2,4.6,5.8,5,6.4,79.2,1.76,0.787582195,1.386144664
"BUR,CHE,LEE,LIV,NEW",6.1,5.8,5.6,4.5,6.2,6.1,7.1,4.5,5.6,5.6,5.2,4.6,5.2,4.8,4.5,81.4,1.808888889,0.76947725,1.391898848
"BUR,LEI,MUN,SOU,WBA",5.8,5.1,6.7,5.3,4.5,6.9,5.2,5.6,5.2,5.3,4.7,4.7,5.5,5.8,6.8,83.1,1.846666667,0.753847275,1.392104635
"CRY,EVE,MUN,WHU,WOL",5.8,5.4,5.2,5.3,5,5.7,5.8,4.7,4.3,4.4,6.9,6.3,5.8,6.7,5.4,82.7,1.837777778,0.757690727,1.392467181
"ARS,AVL,CHE,FUL,LEI",4.5,5.3,4.3,4.7,5.8,5.5,5.1,5.7,5.2,6.8,4.6,5.5,5.3,5.9,7,81.2,1.804444444,0.771701892,1.392493191
"BUR,FUL,LEI,NEW,SOU",5.7,5.3,6.4,4.8,4.7,5.9,4.7,6.3,6.4,5.9,5.6,3.7,5.2,6,5.8,82.4,1.831111111,0.761076931,1.393616425
"AVL,LEI,MUN,SOU,TOT",4.6,4.1,4.7,6.4,5.6,5.8,5.1,5.1,5.8,6.8,5.2,4.1,5.6,5.8,5.9,80.6,1.791111111,0.778704663,1.394746574
"CRY,LIV,MCI,MUN,TOT",5.7,7.2,5.1,6.6,5.5,5,6,5.1,6.1,5,5.1,5.7,5.5,5.4,4,83,1.844444444,0.756558625,1.395430352
"BHA,CRY,LEI,MUN,SOU",5.2,4.5,6.1,5.8,4.1,4.2,6.7,4.7,5.1,5.2,5.1,5.7,5,6.2,6.3,79.9,1.775555556,0.786008603,1.395601942
"AVL,SHU,SOU,WHU,WOL",4.7,6.3,5.2,5.2,6.2,4.7,5.2,5.9,6,5.8,6.4,4.7,6.5,5.6,3.9,82.3,1.828888889,0.765195275,1.399457137
"BUR,CRY,LEI,MUN,WOL",5.6,6.1,6.2,5.2,4.1,5.7,5.6,5.6,4.1,5.2,5.1,5.6,5.5,6.6,6.8,83,1.844444444,0.759385717,1.400644766
"BUR,FUL,LEI,SOU,WBA",5.8,6.3,6.4,5.3,4.7,4.9,4.3,6.3,6.4,5.9,4.7,4.7,5.2,6.5,5.8,83.2,1.848888889,0.758632856,1.402627857
"AVL,BUR,CHE,LEI,WBA",6.2,5.8,5.3,5.2,4.7,6.5,5.6,6.2,4.2,5.3,3.8,5.6,5.7,5.5,6.4,82,1.822222222,0.770590374,1.404186903
"BUR,FUL,LEE,LEI,LIV",5.7,4.6,5.8,6.2,4.7,4.1,5.6,6.2,5.8,4.9,6.6,5.1,4.6,6.3,4.5,80.7,1.793333333,0.783034391,1.404241674
"AVL,BUR,CRY,NEW,SOU",6.9,6,5.8,4.8,6.4,4.8,6.4,4.7,4.8,5.9,4.8,5.4,5.9,5.5,4.3,82.4,1.831111111,0.76947725,1.408998342
"ARS,AVL,CHE,LEI,LIV",4,5.8,5.7,4,6.1,5.8,6.6,5.7,5.2,5.6,4.6,4.5,6.3,5.2,5.3,80.4,1.786666667,0.789031957,1.409737096
"ARS,FUL,SHU,SOU,WBA",5.8,6.3,5.2,5.3,4.8,4.9,4.4,5.8,6.4,5.8,5.9,5.3,7.5,5.3,5.7,84.4,1.875555556,0.753531369,1.413289945
"ARS,AVL,FUL,LEI,SOU",4.1,5.3,5.4,4.8,6.9,4.4,4.7,5.8,5.4,6.8,5.2,4.6,5.3,5.9,4.9,79.5,1.766666667,0.8,1.413333333
"ARS,CHE,FUL,LEI,LIV",4,6.3,5.7,4,5.6,5.3,5.1,5.7,5.7,5.6,6,4.5,5.8,5.7,6.8,81.8,1.817777778,0.77998779,1.417844471
"BUR,CRY,LEE,NEW,WOL",7.3,5.8,6.2,4.7,4.6,4.5,5.8,4.6,5.8,5.2,5.3,4.8,5.2,6.3,5.6,81.7,1.815555556,0.782730264,1.42109028
"AVL,CHE,LEI,LIV,TOT",4.4,6.3,4.2,5.1,6.1,5.2,5.5,5.7,6.2,5.6,4.6,4,6.7,5.3,5.3,80.2,1.782222222,0.798092965,1.422379018
"FUL,LEI,LIV,MUN,SOU",4,4.6,5.7,5.2,5.1,4.2,4.7,6.7,5.7,5.6,6.6,4,5.1,4.6,4.7,76.5,1.7,0.838365757,1.425221787
"ARS,FUL,NEW,SHU,SOU",5.8,5.3,5.2,4.3,6.5,5.9,4.9,5.8,6.4,5.8,6.9,4.3,6,4.8,5.7,83.6,1.857777778,0.768548415,1.427792167
"BHA,CHE,LEE,LEI,LIV",4.4,4.5,6,5,5,4,6.9,4.5,6.6,4.9,5.6,4.9,4.5,5.2,5.6,77.6,1.724444444,0.828481112,1.42866965
"BHA,EVE,FUL,LEI,SOU",5.8,4.7,5.4,4.8,4.7,3.8,4.7,6.3,5.4,5.9,6.2,6.2,4.7,6.5,5.9,81,1.8,0.794624799,1.430324638
"CRY,MCI,MUN,NEW,SOU",6.9,5.3,6.1,4.7,6.1,5.6,5.7,5.1,6.6,4.7,4.1,5.4,4.6,5.1,4.6,80.6,1.791111111,0.798629779,1.430434671
"FUL,LEI,MCI,MUN,SOU",5.8,4.6,5.7,5.2,5.1,5.2,4.6,6.7,6.2,5.6,4.5,6.7,4.1,6.1,5.2,81.3,1.806666667,0.792103889,1.431067693
"AVL,LEI,MUN,WHU,WOL",4.6,4.1,6.3,6.3,4.9,6.3,5.1,6.3,4.3,5.3,6.3,4.6,4.6,5.1,5.5,79.6,1.768888889,0.810173409,1.433106741
"BUR,CHE,LEE,LIV,WBA",6.2,6.8,5.6,4.5,5.7,5.1,6.6,4.5,5.6,5.6,4.2,5.6,6.1,5.3,4.5,81.9,1.82,0.788126168,1.434389626
"CRY,MCI,MUN,TOT,WOL",6.2,7.2,5.1,5.6,5,5,4,5.1,5.7,6.2,5.2,5.7,5.6,6.4,6.2,84.2,1.871111111,0.767059941,1.435254378
"AVL,CHE,LEE,LEI,WBA",6.2,4.1,4.6,6.3,5.8,5.3,5.6,5.6,6.3,4.6,3.8,5.6,5.1,5.5,6.3,80.7,1.793333333,0.801070712,1.43658681
"BUR,FUL,NEW,SHU,SOU",7.4,5.3,5.2,4.8,4.2,5.9,4.9,6.3,5.4,6.4,5.8,5.4,5.4,4.8,5.1,82.3,1.828888889,0.786372019,1.438187048
"AVL,BHA,CHE,CRY,LEI",5.6,5.2,4.7,5.7,4.1,3.8,6.6,4.6,5.2,5.2,4.2,6.6,5.2,5.4,5.9,78,1.733333333,0.829802042,1.438323539
"BHA,CHE,LEE,LIV,WBA",6.2,5.2,6,5,5.7,4,6.6,4.5,6.6,5.6,4.8,5.6,5.6,4.2,5.6,81.2,1.804444444,0.797197472,1.43849855
"ARS,FUL,LEI,SHU,SOU",4.1,5.6,5.2,4.8,4.1,5.9,4.7,5.8,6.4,5.1,6.7,4.6,5.8,6.2,5.7,80.7,1.793333333,0.802852059,1.439781359
"ARS,AVL,CRY,FUL,LEI",5.2,5.3,4.9,7.5,4.7,3.9,5.3,5.8,5.4,5.2,4.7,6.2,5.3,5.9,5.4,80.7,1.793333333,0.803741252,1.441375978
"AVL,LEI,MUN,SOU,WOL",4.5,4.1,5.7,4.2,4.9,4.7,4.5,6.7,4.8,6.8,5.2,4,5.6,5.1,5.4,76.2,1.693333333,0.852894232,1.444234233
"FUL,LIV,MUN,SOU,WBA",5.8,5.3,5.7,5.7,5.8,4.2,4.4,6.7,5.7,6.3,5.8,4.7,6.2,4.1,4.7,81.1,1.802222222,0.802199358,1.445741509
"BHA,BUR,LEI,SHU,SOU",5.7,5.5,6.2,5.2,3.5,5.8,7.2,5.2,5.3,5.7,5.6,5.7,5.1,6.2,5.1,83,1.844444444,0.784371146,1.446729003
"AVL,BUR,LEI,SHU,SOU",5.7,5.1,5.2,5.3,3.5,6.4,6.2,6.3,4.9,5.1,5.2,5.7,5.7,6.3,4.2,80.8,1.795555556,0.806107638,1.447411048
"ARS,AVL,MCI,SHU,TOT",6.3,5.8,4.2,6.7,6.2,6.2,5.7,6.4,5.9,6.1,5.3,6.3,5.3,5.7,4.1,86.2,1.915555556,0.756747426,1.449591736
"BUR,LIV,MUN,TOT,WBA",6.3,6.3,5.7,6.7,5.2,5.7,5.7,5.6,4.6,6.3,5.8,4.7,6.6,4.1,6.2,85.5,1.9,0.764385841,1.452333098
"CRY,MUN,NEW,WHU,WOL",5.8,5.9,6.7,5.8,5,6.2,5.8,4.7,5.2,4.4,6.4,4.3,4.8,4.6,6.4,82,1.822222222,0.797018253,1.452344372
"ARS,BUR,FUL,LIV,WBA",5.8,7,6.9,5.1,5.4,4.3,5.3,6.3,4.8,6.3,5.8,5.2,5.9,4.8,5.2,84.1,1.868888889,0.777786848,1.453597198
"AVL,MUN,WBA,WHU,WOL",6.4,4.8,6.3,6.8,5.6,4.8,4.8,6.4,4.3,6,5.5,5.3,4.8,4.3,5.5,81.6,1.813333333,0.803385693,1.456806056
"AVL,BUR,LEI,NEW,SOU",5.7,4.8,6.4,4.8,6.3,6.4,5.7,6.3,5.9,5.3,5.2,3.7,5.7,5.5,4.3,82,1.822222222,0.799702326,1.457235349
"CRY,LEE,LIV,MUN,WOL",5.6,5.6,5.5,5.6,5,4,6.6,5,5.7,5.5,7.3,5.1,6,4.9,4.5,81.9,1.82,0.802496106,1.460542913
"AVL,CHE,CRY,FUL,LEI",5.6,5.3,4.3,6.9,4.7,3.9,5.1,5.7,5.3,5.2,4.2,6.6,5.3,6,5.4,79.5,1.766666667,0.82721564,1.461414297
"BHA,EVE,SOU,WBA,WHU",6,5.4,7,4.8,7,4.8,5.4,4.3,5.4,4.5,5.4,5.4,5.9,6,4.9,82.2,1.826666667,0.801070712,1.463289167
"CHE,LIV,MCI,MUN,TOT",5,7.2,4.5,4.4,6.6,6,5.5,5,5.5,6.6,5,5,5.5,5.1,5.6,82.5,1.833333333,0.799106644,1.465028847
"BUR,CHE,LEE,LEI,LIV",4.4,6.1,5.6,4.5,5,6.1,6.9,4.5,5.6,4.9,5,4.9,5,6.8,4.5,79.8,1.773333333,0.827388318,1.467235284
"ARS,BUR,LEE,TOT,WBA",6.4,5.8,5.7,6.3,5.9,6.2,5.9,4.1,5.8,6.8,5.9,5.3,5.7,6.9,7.2,89.9,1.997777778,0.735300392,1.468966783
"ARS,BUR,LEE,LIV,WBA",5.8,5.8,7.2,5.1,5.7,5.1,7.3,4.6,5.7,5.6,5.8,5.2,5.7,5.2,4.5,84.3,1.873333333,0.784856675,1.470298171
"AVL,CHE,SHU,WHU,WOL",5.1,6.9,4.1,5.1,5.1,6.8,5.6,5.8,5.3,5.8,5.8,5.6,6.5,5.6,4.3,83.4,1.853333333,0.79354539,1.470704122
"BHA,CHE,FUL,NEW,WHU",6.3,5.4,5.9,5.2,5.9,5.5,5.3,4.2,5.7,6,5.8,5.3,3.9,4.4,7,81.8,1.817777778,0.81052599,1.473356133
"ARS,BUR,FUL,LEI,LIV",4,6.3,6.9,5.1,4.7,5.3,5.6,6.3,4.8,5.6,6.6,4.5,5.2,5.7,5.2,81.8,1.817777778,0.812286602,1.476556534
"BUR,LEI,LIV,MUN,TOT",4.5,5.6,5.7,6.2,4.5,6.7,6,5.6,4.6,5.6,6.6,4,5.5,5.6,6.2,82.9,1.842222222,0.802199358,1.477829483
"MUN,SOU,WBA,WHU,WOL",4.7,6.3,7.2,4.7,5.6,5.2,4.2,4.7,5.3,6,5.9,4.7,6.3,5.1,5.9,81.8,1.817777778,0.813165478,1.478154136
"CRY,EVE,NEW,WHU,WOL",5.8,6.1,6.4,4.3,6.8,5.7,4.8,5.4,5.9,4.4,5.9,4.3,6,6.4,5.4,83.6,1.857777778,0.796838993,1.480349774
"ARS,MCI,MUN,SHU,SOU",5.8,5.1,5.5,4.1,5.5,7.2,6.7,5.1,5.2,6.1,5.7,6.3,5.1,5.5,4.5,83.4,1.853333333,0.798927853,1.480679621
"ARS,BUR,EVE,FUL,LIV",5.8,5.5,5.5,4.7,5.7,5.3,5.8,6.3,4.3,6.3,7.3,6.7,5.9,5.7,4.7,85.5,1.9,0.781024968,1.483947438
"EVE,FUL,SOU,WBA,WHU",6,5.5,5.4,5.4,7.6,4.9,4.4,5.4,5.5,4.5,5.4,5.4,6,6.6,4.9,82.9,1.842222222,0.805753123,1.484376309
"BHA,LIV,MUN,SOU,WBA",5.8,5.2,7.1,5.1,5.2,4.1,6.2,5.6,5.6,6.3,5.4,4.7,6.1,4,5.2,81.6,1.813333333,0.819233091,1.485542671
"BUR,CRY,EVE,LIV,NEW",6.8,6,5.9,5.2,5.1,5.7,6.8,6.3,4.8,4.4,5.3,5.3,6.8,5.3,4.6,84.3,1.873333333,0.793905356,1.487249367
"CHE,EVE,FUL,LEI,LIV",4.4,4.8,4.3,4.1,5.6,5.3,4.8,7.3,5.3,4.1,5.6,4.9,6.2,5.8,5.3,77.8,1.728888889,0.861781101,1.489923771
"AVL,BUR,CRY,LEI,WOL",5.6,6.8,5.9,5.2,4.1,4.2,5.1,6.3,4.8,5.2,4.7,5.6,5.7,6.8,4.8,80.8,1.795555556,0.830547725,1.491294582
"ARS,AVL,LEE,LEI,WOL",4.5,4.1,6.3,4.7,6.1,4.6,5.1,5.7,5.9,6.1,6.8,4.5,5.1,6.2,5.8,81.5,1.811111111,0.823465384,1.491387306
"BUR,CRY,MUN,NEW,SOU",6.9,5.3,6.1,4.8,4.6,6.3,6.9,4.7,4.1,5.9,5.2,5.4,5.7,5.3,5.2,82.4,1.831111111,0.814569708,1.491567643
"AVL,CHE,LEI,LIV,MUN",4.4,4.1,4.6,5.1,5.4,6.3,6.6,6.6,4.1,5.6,4.6,4.9,5.6,4.1,5.3,77.3,1.717777778,0.868386572,1.491695156
"ARS,AVL,CHE,CRY,LEI",4.5,5.8,4.7,4.7,5.2,5.9,6.6,4.1,5.2,5.2,4.2,5.5,6.3,6.4,6.4,80.7,1.793333333,0.832552015,1.49304328
"ARS,CRY,FUL,LIV,NEW",5.2,6,6.3,5.2,5.7,3.7,5.8,5.8,6.3,4.7,6.3,4.2,6,4.3,5.2,80.7,1.793333333,0.832552015,1.49304328
"BHA,LEI,MCI,MUN,SOU",6.3,4.5,7.1,5.1,4.5,5.1,5.5,5.6,6.1,5.6,4.5,6.2,4,5.5,5.7,81.3,1.806666667,0.827388318,1.494814894
"CRY,MUN,WBA,WHU,WOL",5.8,6.9,6.7,6.8,5,4.7,5.3,4.7,5.2,4.4,5.4,5.3,5.8,5.1,6.4,83.5,1.855555556,0.8059304,1.495448631
"BHA,EVE,LEI,MUN,SOU",6.3,3.6,5.7,4.8,4.5,5.8,5.7,5.6,4.2,5.3,6.2,6.2,5,5.8,6.4,81.1,1.802222222,0.830203647,1.496211461
"AVL,BHA,CHE,LEI,TOT",5,5.2,4.2,5.7,5.2,4.8,5.5,4.6,5.2,6.8,4.6,5,5.2,5.4,7.5,79.9,1.775555556,0.843010478,1.496811938
"AVL,BUR,LEI,NEW,TOT",6.2,4.8,5.4,6.4,5.2,6.9,5.2,6.3,6.1,5.3,5.2,3.7,5.7,5.5,6.4,84.3,1.873333333,0.799285395,1.497327974
"ARS,AVL,CHE,FUL,SHU",6.2,5.3,4.1,5.7,5.3,5.5,5.8,5.7,5.2,7.3,5.8,7.2,6,5.3,5.3,85.7,1.904444444,0.786372019,1.497601823
"AVL,CHE,FUL,LEE,LEI",6.2,4.1,4.3,6.9,5.8,4.3,5.1,5.6,5.3,6.1,4.6,6.1,4.6,6,5.3,80.3,1.784444444,0.840804603,1.500369103
"ARS,CRY,EVE,FUL,NEW",6.9,4.5,4.9,4.9,7.1,5.4,5,5.8,5.4,4.4,5.9,5.9,6,5.4,6.4,83.9,1.864444444,0.804866153,1.500628227
"ARS,CRY,FUL,MUN,SOU",5.3,5.3,5.2,5.3,5.2,4.3,5.9,4.2,4.7,7.4,6.3,6.3,5.8,5.7,5.8,82.7,1.837777778,0.816671526,1.500860782
"ARS,CRY,FUL,MCI,NEW",6.9,6,6.3,5.2,6.3,4.7,4.8,5.8,6.3,4.7,4.2,5.9,4.3,5.4,5.7,82.5,1.833333333,0.820278698,1.50384428
"ARS,BUR,FUL,LIV,NEW",5.7,6,6.9,5.1,5.7,5.3,5.8,6.3,4.8,6.3,6.8,4.2,5.4,4.3,5.2,83.8,1.862222222,0.808761546,1.506093723
"AVL,BHA,CHE,LEE,LEI",6.7,4.1,4.6,5.7,5.2,4.2,6.6,4.5,5.2,6.1,4.6,6.1,4.5,5.4,5.8,79.3,1.762222222,0.85679358,1.509860686
"AVL,CRY,MUN,SOU,WOL",5.7,5.3,5.2,4.7,5,4.2,5.2,5.1,4.7,7.4,4.8,5.7,6.8,5.1,4.3,79.2,1.76,0.859567998,1.512839676
"BHA,FUL,LEI,SHU,SOU",5.7,5.5,5.2,5.8,3.5,3.8,4.7,6.3,6.4,5.7,6.2,5.7,4.7,5.2,5.7,80.1,1.78,0.851720947,1.516063286
