COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"AVL,BHA,CHE,LEI,SOU",4.5,5.2,5.2,4.1,5.2,4.3,6,4.6,5.2,6.8,4.6,5,5.2,5.4,5.4,76.7,1.704444444,0.678092563,1.155771102
"AVL,BHA,CHE,LEI,WHU",4.6,5.2,5.9,5.7,5.2,5.9,6.6,4.2,5.2,5.3,4.6,5.6,4.2,5.4,5.5,79.1,1.757777778,0.661671764,1.163071924
"CHE,FUL,LEE,LEI,LIV",4.4,4.6,4.6,5.1,5.6,4.1,5.1,5.6,6.7,4.9,6,4.9,4.6,5.8,5.1,77.1,1.713333333,0.689513286,1.181366097
"AVL,CHE,LEE,LEI,WOL",4.9,4.1,4.6,4.1,5.6,4.6,4.9,5.6,5.8,6.1,4.6,4.9,5.1,6.3,5.8,77,1.711111111,0.695564177,1.190187591
"CRY,FUL,LEI,MUN,SOU",5.2,4.6,5.2,6.4,4.5,4.3,4.7,5.1,5.2,5.2,5.1,5.7,5.1,6.8,5.8,78.9,1.753333333,0.681175455,1.19432763
"ARS,BUR,CRY,FUL,NEW",6.9,6,5.9,5.3,4.8,5.4,6.5,4.7,4.8,5.9,5.3,5.9,5.4,5.4,6.3,84.5,1.877777778,0.643280284,1.207937422
"AVL,BUR,LEI,SOU,WBA",5.8,5.8,6.4,5.3,4.7,5.4,5.2,6.3,5.9,5.3,4.3,4.7,5.7,6,4.3,81.1,1.802222222,0.670252262,1.207943522
"BHA,CHE,EVE,LEI,LIV",4.4,4.7,5.7,4.1,5,5.2,6.1,6.2,5.2,4.1,5.6,4.9,6.1,5.2,5.8,78.3,1.74,0.698160849,1.214799878
"CRY,FUL,MUN,NEW,SOU",6.9,4.3,5.2,5.9,5.2,4.3,4.9,5.1,5.2,5.9,5.3,5.4,5.3,4.3,5.8,79,1.755555556,0.694536502,1.219297414
"CHE,FUL,LEE,LIV,WBA",6.2,5.3,4.6,5.6,6.3,4.1,4.8,5.6,6.7,5.6,5.2,5.6,5.7,4.8,5.1,81.2,1.804444444,0.685426527,1.236814089
"AVL,CHE,FUL,LEI,SOU",4.5,5.3,4.3,4.2,5.8,4.4,4.7,5.7,5.3,6.8,4.6,5,5.3,6,4.9,76.8,1.706666667,0.728207192,1.242806941
"AVL,CRY,LEI,MUN,SOU",5.2,4.1,5.2,6.4,4.5,4.8,6.2,5.1,4.7,5.2,4.7,5.7,5.6,6.3,4.3,78,1.733333333,0.719126454,1.246485854
