COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM
"CHE,FUL,SHU,SOU",3.2,3.8,2.6,1.7,2.8,2.9,2.9,2.7,3.8,4.3,30.7
"CHE,CRY,EVE,WOL",3.6,5.1,2.8,1.6,3.2,2.7,2.8,2.7,3.3,2.9,30.7
"CRY,EVE,SHU,SOU",3.9,2.8,2.8,2.4,2.2,3.3,3.9,2.8,3.9,2.7,30.7
"EVE,LEI,SOU,WOL",2.7,2.8,3.9,1.7,3.1,3.2,2.6,4.4,4,2.3,30.7
"EVE,SHU,SOU,WOL",3.2,2.8,2.8,1.7,2.6,3.2,2.7,4.9,4,2.8,30.7
"AVL,CHE,LEI,WOL",3.1,3.3,2.8,1.6,3.1,2.8,2.6,4.3,3.3,3.8,30.7
"CHE,EVE,LEI,SOU",2.7,2.8,2.8,1.7,3.8,4.9,3.7,2.7,3.3,2.3,30.7
"CHE,FUL,SHU,WOL",3.6,3.8,2.6,1.6,2.6,2.3,1.8,4.3,3.8,4.3,30.7
"CRY,EVE,FUL,WOL",4.3,3,3,2.3,3.2,2.3,1.8,4.4,3.5,2.9,30.7
"BUR,LEE,LEI,WOL",3.1,2.6,4.3,2.7,2.7,3.1,2.6,3.2,3.4,3.1,30.8
"BHA,EVE,LEI,WOL",3.1,2.8,4.5,2.3,2.7,2.2,2.6,4.9,3.4,2.3,30.8
"BHA,EVE,SHU,SOU",4.4,2.8,2.8,2.4,2.2,2.8,3.9,3.3,3.4,2.8,30.8
"EVE,LEE,TOT,WOL",3.7,1.8,2.9,2.3,4.3,3.1,2.2,2.7,4,3.8,30.8
"EVE,LEI,TOT,WOL",3.1,2.8,2.9,2.3,3.1,3.7,2.2,4.4,4,2.3,30.8
"LEE,MUN,SOU,WOL",3.2,1.6,3.6,1.7,3.6,3.1,2.7,2.7,3.3,5.3,30.8
"CHE,CRY,LEI,WOL",3.1,5.9,3.2,1.6,2.7,2.7,2.6,2.7,4.2,2.2,30.9
"BHA,CHE,LEE,LEI",3.1,2.6,3.1,3.2,2.7,2.7,4.1,2.6,3.7,3.1,30.9
"CHE,EVE,MUN,WOL",3.6,1.8,2.8,1.6,3.6,4.3,2.8,3.6,2.3,4.5,30.9
"LEI,MUN,SOU,WOL",2.7,2.6,4.2,1.7,3.1,3.2,2.6,3.7,3.3,3.8,30.9
"BHA,CHE,CRY,LEI",3.1,3.7,3.2,3.2,2.7,2.3,4.1,2.7,3.7,2.2,30.9
"CHE,LEI,MUN,WOL",3.1,2.6,3.1,1.6,3.1,4.8,2.6,3.6,2.6,3.8,30.9
"CRY,SHU,SOU,WOL",3.2,4.8,3.2,1.7,2.2,2.7,2.7,2.8,4.9,2.7,30.9
"BHA,CHE,FUL,LEI",3.1,3.7,2.8,3.2,2.7,1.9,2.8,3.2,3.7,3.8,30.9
"BHA,CHE,LEI,WOL",3.1,3.7,4.3,1.6,2.7,2.2,2.6,3.2,3.7,3.8,30.9
"CHE,FUL,LEI,LIV",2.6,3.8,2.8,2.6,3.3,2.3,2.8,4.3,3.8,2.6,30.9
"CHE,LEI,SHU,SOU",2.7,3.6,2.6,1.7,2.1,5.4,3.7,2.7,4.3,2.1,30.9
"EVE,LIV,MUN,WOL",3.1,1.8,3.3,2.3,3.6,2.6,2.8,5.8,2.3,3.3,30.9
"AVL,CRY,LEI,SOU",2.7,3.3,3.4,3.4,2.7,2.9,3.7,2.8,3.9,2.2,31
"CHE,CRY,EVE,MUN",4.3,1.8,2.8,2.3,3.2,4.4,4.3,2.7,2.3,2.9,31
"BHA,EVE,LEI,TOT",3.2,2.8,2.9,3.9,2.7,3.3,3.2,3.3,3.4,2.3,31
"CHE,EVE,FUL,WOL",3.6,3,2.8,1.6,3.8,2.3,1.8,4.3,3.3,4.5,31
"CHE,EVE,FUL,LEI",3.1,2.8,2.8,2.3,3.3,4,2.8,4.3,3.3,2.3,31
"ARS,FUL,LEE,LEI",2.7,2.6,3.3,3.9,3.3,2.8,2.8,2.7,3.9,3.1,31.1
"BHA,CHE,LEE,WOL",3.6,2.7,3.1,1.6,3.2,2.2,3.1,2.6,3.7,5.3,31.1
"BHA,CHE,SHU,SOU",3.2,3.7,2.6,1.7,2.2,2.8,4.2,2.7,3.7,4.3,31.1
"FUL,LEI,MUN,SOU",2.7,2.6,3.3,3.4,3.1,2.9,2.8,3.7,2.8,3.8,31.1
"BHA,CHE,EVE,LIV",3.1,2.9,2.8,2.3,3.7,2.2,4.3,3.2,3.3,3.3,31.1
"CRY,EVE,WHU,WOL",3.3,4.6,3.4,2.3,3.2,2.7,2.8,2.4,3.5,2.9,31.1
"ARS,CRY,EVE,LEI",2.7,2.8,3.4,2.9,2.7,4.4,3.8,2.8,3.4,2.2,31.1
"BHA,EVE,TOT,WOL",3.7,2.9,2.9,2.3,3.2,2.2,2.2,3.3,3.4,5,31.1
"BUR,EVE,LEI,SOU",2.7,2.8,3.9,2.4,2.7,4.9,3.7,3.3,2.4,2.3,31.1
"ARS,EVE,LEE,WOL",3.2,1.8,3.3,2.2,4.8,3.1,2.8,2.7,3.4,3.8,31.1
"CHE,CRY,LEE,LEI",3.1,2.6,3.1,3.3,2.7,3.2,4.1,2.6,4.2,2.2,31.1
"EVE,LEE,SOU,WOL",3.2,1.8,3.3,1.7,4.8,3.1,2.7,2.7,4,3.8,31.1
"LEI,SHU,SOU,WOL",2.7,3.6,3.7,1.7,2.1,3.2,2.6,4.4,5,2.1,31.1
"CHE,LEI,SHU,WOL",3.1,3.6,2.6,1.6,2.1,4.8,2.6,4.3,4.3,2.1,31.1
"CHE,CRY,LEI,SOU",2.7,4.8,3.2,1.7,2.7,3.3,3.7,2.7,4.2,2.2,31.2
"AVL,CHE,LEI,SOU",2.7,3.3,2.8,1.7,3.8,3.4,3.7,2.7,3.3,3.8,31.2
"AVL,EVE,LEI,WOL",3.1,2.5,3,2.3,3.1,2.8,2.6,6.5,3,2.3,31.2
"BHA,CHE,LEI,SOU",2.7,3.7,3.7,1.7,2.7,2.8,3.7,2.7,3.7,3.8,31.2
"CHE,EVE,SHU,SOU",3.2,2.8,2.6,1.7,3.3,4.9,3.9,2.7,3.3,2.8,31.2
"CHE,EVE,SHU,WOL",3.6,2.8,2.6,1.6,2.6,4.3,2.8,4.8,3.3,2.8,31.2
"CHE,CRY,SHU,WOL",3.6,5.9,2.6,1.6,2.2,2.7,3.1,2.7,4.2,2.7,31.3
"BHA,CHE,MUN,WOL",3.6,2.7,3.1,1.6,3.2,2.2,3.1,3.2,2.6,6,31.3
"LEE,LEI,SOU,WOL",2.7,2.6,4.2,1.7,3.1,3.1,2.6,2.7,5.5,3.1,31.3
"ARS,LEE,LEI,WOL",2.7,2.6,4.8,2.2,3.1,3.1,2.6,2.7,4.4,3.1,31.3
"ARS,LEE,SHU,WOL",3.2,2.6,3.1,2.2,2.6,3.1,3.8,2.7,4.4,3.6,31.3
"ARS,FUL,SHU,SOU",2.8,3.8,2.8,2.3,2.8,2.9,2.9,2.8,3.9,4.3,31.3
"SHU,SOU,WHU,WOL",2.9,4.8,3.7,1.7,2.6,3.2,2.7,2.4,4.5,2.8,31.3
"ARS,FUL,LEE,WOL",3.2,2.8,3.3,2.2,3.8,2.3,1.8,2.7,3.9,5.3,31.3
"ARS,FUL,SHU,WOL",3.2,3.8,2.8,2.2,2.6,2.3,1.8,4.4,3.9,4.3,31.3
"BUR,EVE,LEE,WOL",5.4,1.8,3.3,2.3,3.2,3.1,2.8,3.2,2.4,3.8,31.3
"CHE,CRY,LEI,MUN",3.1,2.6,3.1,3.3,2.7,4.9,4.1,2.7,2.6,2.2,31.3
"FUL,LEI,SHU,SOU",2.7,3.6,2.8,3.4,2.1,2.9,2.8,4.4,4.5,2.1,31.3
"LEE,LEI,SHU,WOL",3.1,2.6,3.1,3.3,2.1,3.1,2.6,4.3,5,2.1,31.3
"CHE,MUN,SHU,WOL",3.6,2.6,2.6,1.6,2.6,4.8,3.1,3.6,2.6,4.3,31.4
"FUL,LEE,LEI,WOL",3.1,2.6,3.3,3.3,3.1,2.3,1.8,4.3,4.5,3.1,31.4
"LEE,LEI,MUN,SOU",2.7,1.6,3.6,3.4,3.1,3.7,3.7,2.7,3.8,3.1,31.4
"CRY,EVE,LEE,LEI",3.8,1.8,3.3,4,2.7,3.2,3.8,2.7,3.9,2.2,31.4
"CRY,EVE,SHU,WOL",4.3,2.8,2.8,2.3,2.2,2.7,2.8,4.9,3.9,2.7,31.4
"BHA,EVE,LEE,WOL",5.4,1.8,3.3,2.3,3.2,2.2,2.8,3.2,3.4,3.8,31.4
"BUR,CHE,EVE,LEI",3.1,2.8,2.8,2.3,2.7,6,3.8,3.2,2.4,2.3,31.4
"BUR,CRY,EVE,WOL",4.3,4.5,3.4,2.3,2.8,2.7,2.8,3.3,2.4,2.9,31.4
"CHE,FUL,MUN,SOU",3.2,2.8,2.8,1.7,3.8,2.9,2.9,2.7,2.6,6,31.4
"CRY,MUN,SOU,WOL",3.2,3.8,3.7,1.7,3.2,2.7,2.7,2.8,3.2,4.4,31.4
"EVE,LEE,LEI,SOU",2.7,1.8,3.3,2.4,4.3,3.7,3.7,2.7,4.5,2.3,31.4
"ARS,CRY,LEI,WOL",2.7,4.3,4.9,2.2,2.7,2.7,2.6,2.8,4.3,2.2,31.4
"BUR,EVE,LEI,WOL",3.1,2.8,4,2.3,2.7,4.3,2.6,4.9,2.4,2.3,31.4
"CHE,CRY,EVE,LEE",4.3,1.8,2.8,2.3,3.9,3.2,4.3,2.6,3.3,2.9,31.4
"CHE,LEI,MUN,SOU",2.7,2.6,3.1,1.7,3.1,5.4,3.7,2.7,2.6,3.8,31.4
"CRY,FUL,LEI,WOL",3.1,3.8,3.4,3.3,2.7,2.3,1.8,4.4,4.4,2.2,31.4
"CRY,LEI,SOU,WOL",2.7,4.8,4.3,1.7,2.7,2.7,2.6,2.8,4.9,2.2,31.4
"FUL,LEI,MUN,WOL",3.1,2.6,3.3,3.3,3.1,2.3,1.8,5.3,2.8,3.8,31.4
"CHE,EVE,LEE,LIV",3.1,1.8,2.8,2.3,4.8,3.1,4.3,2.6,3.3,3.3,31.4
"LEE,LEI,WHU,WOL",2.8,2.6,4.8,3.3,3.1,3.1,2.6,2.3,4.5,2.3,31.4
"BUR,CHE,LEE,LEI",3.1,2.6,3.1,2.7,2.7,4.8,4.1,2.6,2.7,3.1,31.5
"CHE,MUN,WBA,WOL",3.6,3.3,3.1,1.6,3.6,3.3,2.3,3.6,2.6,4.5,31.5
"BHA,EVE,SHU,WOL",4.8,2.8,2.8,2.3,2.2,2.2,2.8,5.4,3.4,2.8,31.5
"BHA,EVE,SOU,WOL",3.2,2.9,3.9,1.7,3.2,2.2,2.7,3.3,3.4,5,31.5
"CHE,EVE,FUL,SOU",3.2,3,2.8,1.7,4.5,2.9,2.9,2.7,3.3,4.5,31.5
"BHA,CHE,LIV,SHU",3.1,3.7,2.6,2.6,2.2,2.2,5.1,3.2,3.7,3.1,31.5
"CHE,EVE,FUL,WHU",3.3,3,2.8,2.3,4.5,4,3,2.3,3.3,3,31.5
"CRY,EVE,LEI,TOT",3.2,2.8,2.9,4,2.7,3.8,3.2,2.8,3.9,2.2,31.5
"FUL,LEI,SOU,WHU",2.7,3.8,3.9,3.4,3.3,2.9,2.8,2.4,4,2.3,31.5
"CHE,LEE,NEW,WOL",3.6,2.3,3.1,1.6,4.3,3.1,2.8,2.6,4.3,3.8,31.5
"CHE,LEE,WBA,WOL",3.6,3.3,3.1,1.6,3.8,3.1,2.3,2.6,4.3,3.8,31.5
"EVE,FUL,LEE,WOL",4.9,1.8,3,2.3,3.8,2.3,1.8,4.3,3.5,3.8,31.5
"FUL,MUN,WHU,WOL",3.3,2.8,3.3,3.8,3.6,2.3,1.8,3.3,2.8,4.5,31.5
"ARS,FUL,MUN,WOL",3.2,2.8,3.3,2.2,3.6,2.3,1.8,3.7,2.7,6,31.6
"AVL,MUN,SOU,WOL",3.2,2.3,3.3,1.7,3.6,2.8,2.7,3.7,2.3,6,31.6
"CRY,MUN,NEW,WOL",4.3,2.3,3.7,2.8,3.2,2.7,2.8,3.7,3.2,2.9,31.6
"EVE,MUN,SHU,SOU",4.4,1.8,2.8,2.4,2.6,4.9,3.9,3.7,2.3,2.8,31.6
"BHA,EVE,LIV,TOT",3.2,2.9,2.9,3.3,3.7,2.2,3.4,3.3,3.4,3.3,31.6
"CHE,CRY,SHU,SOU",3.2,4.8,2.6,1.7,2.2,3.3,4.2,2.7,4.2,2.7,31.6
"CHE,LEE,LEI,LIV",2.6,2.6,3.1,2.6,3.6,3.1,4.1,2.6,4.7,2.6,31.6
"CHE,CRY,FUL,NEW",4.3,3.5,2.8,2.8,3.4,2.4,3,2.7,3.8,2.9,31.6
"CHE,EVE,LEI,MUN",3.1,1.8,2.8,2.3,3.1,6.5,3.8,3.6,2.3,2.3,31.6
"EVE,FUL,SOU,WHU",2.9,3,3,2.4,5.6,2.9,2.9,2.4,3.5,3,31.6
"ARS,AVL,CRY,LEI",2.7,3.3,3.4,3.9,2.7,2.9,4.3,2.8,3.4,2.2,31.6
"ARS,EVE,FUL,LEI",2.7,2.8,3,2.9,3.3,4,2.8,4.4,3.4,2.3,31.6
"AVL,CHE,CRY,EVE",4.3,2.5,2.8,2.3,3.9,2.9,4.3,2.7,3,2.9,31.6
"AVL,CRY,LEI,WOL",3.1,3.3,3.4,3.3,2.7,2.7,2.6,4.4,3.9,2.2,31.6
"BUR,CHE,FUL,LEI",3.1,3.8,2.8,2.7,2.7,4,2.8,3.2,2.7,3.8,31.6
"BUR,EVE,LEI,TOT",3.2,2.8,2.9,3.4,2.7,5.4,3.2,3.3,2.4,2.3,31.6
"CHE,EVE,WBA,WOL",3.6,3.5,2.8,1.6,3.8,3.3,2.3,4.4,3.3,3,31.6
"CRY,EVE,FUL,LEI",3.8,2.8,3,4,2.7,2.4,2.8,4.4,3.5,2.2,31.6
"EVE,TOT,WHU,WOL",3.3,4,2.9,2.3,4.3,3.7,2.2,2.4,3.5,3,31.6
"ARS,EVE,FUL,WOL",3.2,3,3,2.2,3.8,2.3,1.8,4.4,3.4,4.5,31.6
"AVL,CRY,EVE,WOL",4.3,2.5,3,2.3,3.2,2.7,2.8,4.9,3,2.9,31.6
"BHA,CHE,LEI,LIV",2.6,3.7,4.2,2.6,2.7,2.2,4.1,3.2,3.7,2.6,31.6
"BHA,CRY,EVE,LEI",3.8,2.8,3.4,3.9,2.7,2.3,3.8,3.3,3.4,2.2,31.6
"CHE,CRY,EVE,SHU",4.3,2.8,2.6,2.3,2.2,4.4,4.3,2.7,3.3,2.7,31.6
"CHE,EVE,LEI,TOT",3.1,2.8,2.7,2.3,3.8,5.4,3.2,2.7,3.3,2.3,31.6
"FUL,LEI,SHU,WOL",3.1,3.6,2.8,3.3,2.1,2.3,1.8,6,4.5,2.1,31.6
"LEE,LEI,SHU,SOU",2.7,2.6,3.1,3.4,2.1,3.7,3.7,2.7,5.5,2.1,31.6
"AVL,CHE,MUN,WOL",3.6,2.3,2.8,1.6,3.6,2.8,3.1,3.6,2.3,6,31.7
"LEE,LIV,MUN,WOL",3.1,1.6,3.6,2.6,3.6,2.6,3.6,3.6,3.3,4.1,31.7
"LIV,MUN,SHU,SOU",2.7,2.6,3.1,2.7,2.6,3.2,4.7,3.7,3.3,3.1,31.7
"ARS,EVE,MUN,WOL",3.2,1.8,3.3,2.2,3.6,4.3,2.8,3.7,2.3,4.5,31.7
"AVL,LEI,MUN,SOU",2.7,2.3,3.3,3.4,3.1,3.4,3.7,3.7,2.3,3.8,31.7
"BHA,EVE,LIV,SOU",2.7,2.9,3.9,2.4,3.7,2.2,3.9,3.3,3.4,3.3,31.7
"EVE,LIV,MUN,TOT",3.2,1.8,2.9,3.3,4.1,3.7,3.4,3.7,2.3,3.3,31.7
"FUL,MUN,SOU,WOL",3.2,2.8,3.3,1.7,3.6,2.3,1.8,3.7,2.8,6.5,31.7
"AVL,CHE,LEE,WOL",3.6,2.3,2.8,1.6,4.3,2.8,3.1,2.6,3.3,5.3,31.7
"CHE,FUL,LIV,MUN",3.1,2.8,2.8,2.6,3.8,2.3,3.3,3.6,2.6,4.8,31.7
"CHE,LEI,LIV,MUN",2.6,2.6,3.1,2.6,3.1,4.8,4.1,3.6,2.6,2.6,31.7
"FUL,LEE,LEI,SOU",2.7,2.6,3.3,3.4,3.3,2.8,2.8,2.7,5,3.1,31.7
"AVL,CHE,LEE,LEI",3.1,2.3,2.8,3.3,3.8,3.3,4.1,2.6,3.3,3.1,31.7
"BHA,CHE,EVE,SOU",3.2,2.9,2.8,1.7,3.9,2.8,3.9,2.7,3.3,4.5,31.7
"CHE,CRY,EVE,SOU",3.2,4,2.8,1.7,3.9,3.3,3.9,2.7,3.3,2.9,31.7
"CHE,SHU,SOU,WBA",3.2,4.3,2.6,1.7,2.8,3.9,3.4,2.7,4.3,2.8,31.7
"FUL,SHU,SOU,WHU",2.9,3.8,2.8,4.4,2.8,2.9,2.9,2.4,4,2.8,31.7
"BHA,CRY,EVE,TOT",4.4,2.9,2.9,3.9,2.8,2.3,3.4,2.8,3.4,2.9,31.7
"BUR,CRY,FUL,LEI",3.8,3.8,3.4,4.4,2.7,2.4,2.8,3.3,2.9,2.2,31.7
"EVE,FUL,SHU,SOU",4.4,2.8,2.8,2.4,2.8,2.9,2.9,4.4,3.5,2.8,31.7
"EVE,SHU,TOT,WOL",3.7,2.8,2.7,2.3,2.6,3.7,2.2,4.9,4,2.8,31.7
"EVE,SHU,WHU,WOL",3.3,2.8,2.8,2.3,2.6,4.3,2.8,4.5,3.5,2.8,31.7
"ARS,CRY,FUL,WOL",3.2,4.5,3.4,2.2,3.2,2.3,1.8,2.8,3.9,4.4,31.7
"BHA,LEI,SHU,SOU",2.7,3.6,3.7,3.3,2.1,2.8,3.7,3.3,4.4,2.1,31.7
"CHE,EVE,FUL,LIV",3.1,3,2.8,2.3,4.3,2.3,3,4.3,3.3,3.3,31.7
"CHE,FUL,LEE,LIV",3.1,2.8,2.8,2.6,4.3,2.3,3.3,2.6,3.8,4.1,31.7
"CHE,FUL,LEI,WHU",2.8,3.8,2.8,3.3,3.3,4.5,2.8,2.3,3.8,2.3,31.7
"CHE,FUL,LIV,SHU",3.1,3.8,2.6,2.6,2.8,2.3,3.3,4.3,3.8,3.1,31.7
"EVE,FUL,SOU,WOL",3.2,3,3,1.7,3.8,2.3,1.8,4.4,3.5,5,31.7
"EVE,SHU,SOU,TOT",3.3,2.8,2.7,2.4,3.3,4.3,3.3,2.8,4,2.8,31.7
"FUL,LEI,LIV,MUN",2.6,2.6,3.3,4.3,3.1,2.3,2.8,5.3,2.8,2.6,31.7
"FUL,SHU,WHU,WOL",3.3,3.8,2.8,4.3,2.6,2.3,1.8,4,4,2.8,31.7
"LEE,MUN,WHU,WOL",3.3,1.6,3.6,3.8,3.6,3.1,3.8,2.3,2.8,3.8,31.7
"CHE,LEE,SHU,SOU",3.2,2.6,2.6,1.7,3.3,3.7,4.2,2.6,4.3,3.6,31.8
"CRY,EVE,LIV,MUN",3.8,1.8,3.3,3.3,3.2,2.7,4.8,3.7,2.3,2.9,31.8
"CRY,FUL,LEI,MUN",3.8,2.6,3.3,5.5,2.7,2.4,2.8,3.7,2.8,2.2,31.8
"EVE,FUL,MUN,SOU",4.5,1.8,3,2.4,3.8,2.9,2.9,3.7,2.3,4.5,31.8
"CHE,LEE,LEI,SOU",2.7,2.6,3.1,1.7,3.8,3.7,3.7,2.6,4.8,3.1,31.8
"FUL,LIV,MUN,SOU",2.7,2.8,3.3,2.7,3.8,2.3,2.9,3.7,2.8,4.8,31.8
"BUR,CRY,EVE,FUL",5.6,3,3,3.4,2.8,2.4,3,3.3,2.4,2.9,31.8
"BUR,CRY,EVE,SOU",3.9,4,3.4,2.4,2.8,3.3,3.9,2.8,2.4,2.9,31.8
"EVE,LEE,MUN,WOL",5.4,1.6,3.3,2.3,3.6,3.1,2.8,3.6,2.3,3.8,31.8
"MUN,SOU,WHU,WOL",2.9,3.8,4.2,1.7,3.6,3.2,2.7,2.4,2.8,4.5,31.8
"ARS,CHE,FUL,LEI",2.7,3.8,2.8,2.2,3.3,4,2.8,2.7,3.7,3.8,31.8
"ARS,EVE,SHU,WOL",3.2,2.8,2.8,2.2,2.6,4.3,2.8,4.9,3.4,2.8,31.8
"ARS,LEE,MUN,WOL",3.2,1.6,3.6,2.2,3.6,3.1,3.8,2.7,2.7,5.3,31.8
