COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM
"BUR,SHU,SOU,WBA",4.4,4.3,3.7,2.8,2.2,3.9,3.4,3.3,3.4,2.8,34.2
"CHE,EVE,NEW,SOU",3.2,2.5,2.8,1.7,6.2,4.9,3.9,2.7,3.3,3,34.2
"CHE,FUL,MCI,SOU",3.2,5,2.8,1.7,4.5,2.9,2.8,2.7,3.8,4.8,34.2
"FUL,MUN,SOU,TOT",3.3,2.8,2.9,3.9,3.8,2.9,2.4,2.8,2.8,6.6,34.2
"LEE,LEI,SOU,WHU",2.7,2.6,4.2,3.4,4.3,3.7,3.7,2.3,5,2.3,34.2
"ARS,AVL,CHE,SHU",3.2,3.3,2.6,2.2,3.3,4.5,4.8,2.7,3.3,4.3,34.2
"ARS,BUR,LEI,WOL",2.7,4.3,5.5,2.2,2.7,4.3,2.6,3.3,2.8,3.8,34.2
"ARS,CHE,MUN,WBA",3.2,3.3,3.1,2.2,3.8,5,3.8,2.7,2.6,4.5,34.2
"ARS,CRY,LEI,LIV",2.6,4.3,4.8,3.2,2.7,2.7,4.6,2.8,4.3,2.2,34.2
"AVL,BUR,SOU,WOL",3.2,4.5,3.9,1.7,3.2,2.8,2.7,3.3,2.4,6.5,34.2
"AVL,BUR,TOT,WOL",3.7,4.5,2.9,2.7,3.2,2.8,2.2,3.3,2.4,6.5,34.2
"AVL,CHE,LEI,NEW",3.1,3,2.8,2.8,3.8,5,3.8,4.3,3.3,2.3,34.2
"AVL,CRY,FUL,LEI",3.8,3.3,3,6.1,2.7,2.4,2.8,4.4,3.5,2.2,34.2
"AVL,EVE,SOU,TOT",3.3,2.5,2.9,2.4,6.1,3.4,3.3,2.8,3,4.5,34.2
"AVL,EVE,WBA,WOL",4.9,2.5,3,2.3,3.8,2.8,2.3,6.6,3,3,34.2
"AVL,LEE,LIV,WOL",3.1,2.3,3.3,2.6,4.1,2.6,3.3,4.8,4,4.1,34.2
"AVL,LEI,MUN,WHU",2.8,2.3,3.3,5.5,3.1,5,4.3,3.3,2.3,2.3,34.2
"AVL,LEI,NEW,WOL",3.1,3,4.5,2.8,3.1,2.8,2.6,6,4,2.3,34.2
"BHA,CHE,CRY,MCI",4.3,5.3,3.2,2.6,2.8,2.3,4.1,2.7,3.7,3.2,34.2
"BHA,CHE,LEI,NEW",3.1,3.3,4.9,2.8,2.7,4.4,3.8,3.2,3.7,2.3,34.2
"BHA,CRY,EVE,MCI",6.1,2.9,3.4,3.3,2.8,2.3,3.8,3.3,3.4,2.9,34.2
"BHA,CRY,FUL,LIV",3.8,3.9,3.4,4.2,2.8,1.9,3.8,3.3,3.9,3.2,34.2
"BHA,LEE,LEI,LIV",2.6,2.6,4.7,4.2,2.7,2.2,4.6,3.2,4.8,2.6,34.2
"BHA,LEE,LEI,SHU",4.3,2.6,3.1,4.9,2.1,2.7,4.8,3.2,4.4,2.1,34.2
"BHA,LEI,LIV,WOL",2.6,3.7,5.9,2.6,2.7,2.2,2.6,4.9,4.4,2.6,34.2
"BHA,MUN,NEW,SOU",4.4,2.3,4.2,2.9,3.2,2.8,3.9,3.3,2.7,4.5,34.2
"BUR,CHE,LIV,SHU",3.1,5.3,2.6,2.6,2.2,4.3,5.1,3.2,2.7,3.1,34.2
"BUR,CHE,WBA,WOL",3.6,6,3.8,1.6,3.2,3.3,2.3,3.2,2.7,4.5,34.2
"BUR,CRY,NEW,WOL",4.3,5,4.4,2.7,2.8,2.7,2.8,3.3,3.3,2.9,34.2
"BUR,EVE,NEW,WOL",4.8,2.5,4,2.3,3.2,4.3,2.8,4.9,2.4,3,34.2
"BUR,EVE,TOT,WBA",5,3.5,2.9,3.4,3.4,4.4,2.9,3.3,2.4,3,34.2
"CHE,CRY,FUL,WHU",3.3,5.6,2.8,4.4,3.4,2.4,3.3,2.3,3.8,2.9,34.2
"CHE,EVE,LEE,MUN",5.4,1.6,2.8,2.3,4.3,4.8,4.3,2.6,2.3,3.8,34.2
"CHE,FUL,MCI,WOL",3.6,5.4,2.8,1.6,3.8,2.3,1.8,4.3,3.8,4.8,34.2
"CHE,FUL,SHU,WBA",4.8,3.8,2.6,3.8,2.8,3,2.5,4.3,3.8,2.8,34.2
"CHE,LEI,SHU,WBA",3.1,3.6,2.6,3.3,2.1,5.5,3.3,4.3,4.3,2.1,34.2
"CHE,LEI,SHU,WHU",2.8,3.6,2.6,3.3,2.1,7.5,4.1,2.3,3.8,2.1,34.2
"CHE,LEI,SOU,WHU",2.7,4.8,3.7,1.7,3.8,5.4,3.7,2.3,3.8,2.3,34.2
"CHE,TOT,WBA,WOL",3.6,5.5,2.7,1.6,3.8,3.3,2.2,2.7,4.3,4.5,34.2
"CRY,FUL,LEI,MCI",3.8,3.8,3.4,4.3,2.7,2.4,2.8,4.4,4.4,2.2,34.2
"CRY,LEE,LEI,MCI",3.8,2.6,3.7,4.3,2.7,3.2,3.6,2.7,5.4,2.2,34.2
"CRY,MCI,SHU,SOU",3.9,4.8,3.2,2.7,2.2,3.3,3.7,2.8,4.9,2.7,34.2
"CRY,MUN,NEW,TOT",4.4,2.3,3.2,5,3.2,3.8,3.4,2.8,3.2,2.9,34.2
"EVE,LEE,NEW,WOL",4.8,1.8,3.3,2.3,4.8,3.1,2.8,4.3,4,3,34.2
"EVE,SOU,TOT,WBA",3.3,3.5,2.9,2.4,4.5,3.9,2.9,2.8,5,3,34.2
"FUL,LEI,MCI,WOL",3.1,3.8,4.4,2.6,3.1,2.3,1.8,6,4.5,2.6,34.2
"FUL,LIV,MUN,NEW",4.3,2.3,3.3,3.8,3.8,2.3,3,5.3,2.8,3.3,34.2
"FUL,MCI,MUN,WOL",4.9,2.8,3.3,2.6,3.6,2.3,1.8,5.3,2.8,4.8,34.2
"FUL,MCI,SHU,SOU",4.4,3.8,2.8,2.7,2.8,2.9,2.8,4.4,4.5,3.1,34.2
"LEE,LEI,LIV,SHU",2.6,2.6,3.1,4.3,2.1,3.1,4.6,4.3,5.4,2.1,34.2
"LEE,LEI,MCI,WOL",3.1,2.6,4.7,2.6,3.1,3.1,2.6,4.3,5.5,2.6,34.2
"LEE,LIV,MUN,WHU",2.8,1.6,3.6,4.8,4.1,3.1,5.8,2.3,2.8,3.3,34.2
"LEE,WBA,WHU,WOL",3.3,3.3,4.8,3.8,3.8,3.1,2.3,2.3,4.5,3,34.2
"LIV,MUN,WBA,WOL",3.1,3.3,4.7,2.6,3.6,2.6,2.3,5.4,3.3,3.3,34.2
"AVL,CRY,LEE,WOL",4.3,2.3,3.3,4.9,3.2,2.7,3.3,2.7,3.9,3.7,34.3
"BHA,CHE,LIV,SOU",2.7,4.9,3.7,1.7,3.7,2.2,4.2,2.7,3.7,4.8,34.3
"ARS,LEE,LEI,TOT",2.7,2.6,3.2,3.9,3.8,4.2,3.2,2.7,4.9,3.1,34.3
"ARS,LIV,SHU,SOU",2.7,4.3,3.7,2.3,3.1,3.2,4.7,2.8,4.4,3.1,34.3
"BHA,MUN,NEW,WOL",4.8,2.3,4.8,2.8,3.2,2.2,2.8,4.2,2.7,4.5,34.3
"BUR,LIV,MUN,SOU",2.7,3.8,4.2,2.7,3.2,3.2,4.7,3.3,1.7,4.8,34.3
"BUR,LIV,SHU,TOT",3.2,4.8,2.7,3.7,2.2,3.7,4.2,3.3,3.4,3.1,34.3
"CHE,SHU,SOU,WHU",2.9,4.8,2.6,1.7,3.3,5.9,4.2,2.3,3.8,2.8,34.3
"EVE,FUL,MUN,TOT",5,1.8,2.9,4.5,3.8,3.4,2.4,3.7,2.3,4.5,34.3
"EVE,MUN,TOT,WBA",5,1.8,2.9,4.5,3.8,4.4,2.9,3.7,2.3,3,34.3
"ARS,BHA,LEE,LEI",2.7,2.6,5.4,3.8,2.7,2.7,4.8,2.7,3.8,3.1,34.3
"ARS,CHE,LEI,LIV",2.6,4.3,4.2,2.2,3.6,4.3,4.1,2.7,3.7,2.6,34.3
"ARS,CRY,LEI,MCI",2.7,4.3,4.8,3.2,2.7,3.7,3.6,2.8,4.3,2.2,34.3
"ARS,EVE,MUN,SHU",4.4,1.8,2.8,2.9,2.6,6,5,3.7,2.3,2.8,34.3
"AVL,CHE,LIV,SOU",2.7,4.5,2.8,1.7,4.8,2.8,4.2,2.7,3.3,4.8,34.3
"BHA,CRY,LEE,SOU",3.9,2.7,3.7,3.3,2.8,2.3,4.9,2.7,4.3,3.7,34.3
"CHE,CRY,MCI,SHU",4.3,5.2,2.6,2.6,2.2,3.7,4.1,2.7,4.2,2.7,34.3
"CHE,EVE,MCI,SOU",3.2,4,2.8,1.7,5.4,4.2,3.7,2.7,3.3,3.3,34.3
"CHE,EVE,MCI,WOL",3.6,4.4,2.8,1.6,4.3,3.6,2.6,4.8,3.3,3.3,34.3
"CRY,LIV,MUN,TOT",3.2,3.8,3.2,4.8,3.2,2.7,4.2,2.8,3.2,3.2,34.3
"LEI,MUN,SHU,TOT",3.2,2.6,2.7,5.5,2.1,5.9,3.2,3.7,3.3,2.1,34.3
"ARS,AVL,BUR,LEI",2.7,3.3,4,3.3,2.7,4.5,4.3,3.3,2.4,3.8,34.3
"ARS,AVL,EVE,WOL",3.2,2.5,3,2.2,5.4,2.8,2.8,4.9,3,4.5,34.3
"ARS,BHA,CHE,SHU",3.2,3.7,2.6,2.2,2.2,3.9,5.8,2.7,3.7,4.3,34.3
"ARS,BHA,FUL,SOU",2.8,3.9,3.9,2.3,3.4,1.9,2.9,2.8,3.8,6.6,34.3
"ARS,BHA,FUL,WOL",3.2,3.9,4.5,2.2,3.2,1.9,1.8,3.3,3.8,6.5,34.3
"ARS,BHA,LEI,SOU",2.7,3.7,6,2.3,2.7,2.8,3.7,2.8,3.8,3.8,34.3
"ARS,CRY,MUN,NEW",3.9,2.3,3.7,3.4,3.2,4.4,5,2.8,2.7,2.9,34.3
"ARS,FUL,SHU,TOT",3.3,3.8,2.7,4.9,2.8,3.4,2.4,2.8,3.9,4.3,34.3
"ARS,NEW,SHU,WOL",3.2,3.3,4.3,2.2,2.6,4.3,2.8,4.4,4.4,2.8,34.3
"AVL,BHA,CHE,EVE",5.4,2.5,2.8,2.3,3.9,2.4,4.3,3.2,3,4.5,34.3
"AVL,BHA,EVE,WOL",5.4,2.5,3,2.3,3.2,2.2,2.8,5.4,3,4.5,34.3
"AVL,BUR,EVE,WOL",5.4,2.5,3,2.3,3.2,2.8,2.8,5.4,2.4,4.5,34.3
"AVL,CHE,EVE,FUL",4.9,2.5,2.8,2.3,4.5,2.5,3,4.3,3,4.5,34.3
"AVL,CHE,FUL,LIV",3.1,3.5,2.8,2.6,4.3,2.3,3.3,4.3,3.3,4.8,34.3
"AVL,CHE,LIV,NEW",3.1,3,2.8,2.6,4.8,2.8,4.3,4.3,3.3,3.3,34.3
"AVL,CHE,WBA,WHU",3.3,4,2.8,3.8,4.5,3.5,3.8,2.3,3.3,3,34.3
"AVL,CRY,EVE,TOT",4.4,2.5,2.9,5.6,3.9,2.9,3.4,2.8,3,2.9,34.3
"AVL,CRY,FUL,SOU",3.9,3.5,3,4.5,3.4,2.4,2.9,2.8,3.5,4.4,34.3
"AVL,LEI,SOU,TOT",2.7,3.3,2.9,3.4,3.8,3.4,3.2,2.8,5,3.8,34.3
"AVL,LIV,MUN,WHU",2.8,2.3,3.3,4.8,4.1,2.8,5.3,3.3,2.3,3.3,34.3
"AVL,SHU,SOU,WHU",2.9,3.3,2.8,4.4,4.4,3.4,4.4,2.4,3.5,2.8,34.3
"AVL,SOU,WHU,WOL",2.9,4.5,3.9,1.7,5.4,2.8,2.7,2.4,3.5,4.5,34.3
"BHA,LEE,NEW,WOL",4.8,2.3,4.8,2.8,3.2,2.2,2.8,3.2,4.4,3.8,34.3
"BHA,SOU,WHU,WOL",2.9,4.9,5.4,1.7,3.2,2.2,2.7,2.4,3.9,5,34.3
"BUR,EVE,FUL,TOT",5,3,2.9,3.4,3.4,3.4,2.4,3.3,2.4,5.1,34.3
"BUR,LEI,LIV,SOU",2.6,4.8,4.9,2.7,2.7,3.2,3.7,3.3,3.8,2.6,34.3
"BUR,LEI,LIV,TOT",2.6,4.8,3.9,3.7,2.7,3.7,3.2,3.3,3.8,2.6,34.3
"CHE,FUL,LIV,WOL",3.1,6,2.8,1.6,3.8,2.3,1.8,4.3,3.8,4.8,34.3
"CHE,FUL,MUN,WBA",4.9,2.8,2.8,3.8,3.8,3,2.5,3.6,2.6,4.5,34.3
"CHE,SHU,TOT,WBA",3.7,4.3,2.6,3.8,2.8,4.4,2.9,2.7,4.3,2.8,34.3
"CRY,EVE,FUL,MCI",5.6,3,3,3.3,3.4,2.4,2.8,4.4,3.5,2.9,34.3
"EVE,FUL,LIV,SHU",4.3,2.8,2.8,3.3,2.8,2.3,3,6.7,3.5,2.8,34.3
"EVE,LEE,LIV,MUN",4.9,1.6,3.3,3.3,4.1,3.1,4.8,3.6,2.3,3.3,34.3
"EVE,LEE,SOU,WBA",4.5,1.8,3.3,2.4,5,3.7,3.4,2.7,4.5,3,34.3
"EVE,SHU,WBA,WOL",4.8,2.8,2.8,2.3,2.6,3.3,2.3,6.6,4,2.8,34.3
"FUL,LEE,LIV,WHU",2.8,2.8,3.3,5.4,4.3,2.3,3.8,2.3,4,3.3,34.3
"FUL,LEE,SOU,WHU",2.9,2.8,3.3,4.5,5,2.8,2.9,2.3,4,3.8,34.3
"LEE,MUN,SOU,WHU",2.9,1.6,3.6,3.9,4.8,3.7,4.9,2.3,2.8,3.8,34.3
"LIV,MUN,SOU,TOT",2.7,3.8,3.2,2.7,4.1,3.2,3.3,2.8,3.7,4.8,34.3
"ARS,CHE,EVE,LEE",3.2,1.8,2.8,2.2,5.5,4.8,4.3,2.6,3.3,3.8,34.3
"AVL,BHA,CRY,EVE",6.1,2.5,3,3.9,2.8,2.3,4.5,3.3,3,2.9,34.3
"AVL,BUR,CRY,SOU",3.9,4.5,3.4,2.8,2.8,2.9,4.4,2.8,2.4,4.4,34.3
"AVL,BUR,CRY,WOL",4.3,5,3.4,2.7,2.8,2.7,3.3,3.3,2.4,4.4,34.3
"AVL,EVE,MUN,WOL",5.4,1.8,3,2.3,3.6,2.8,2.8,5.8,2.3,4.5,34.3
"AVL,LEI,LIV,WOL",2.6,3.3,4.4,2.6,3.1,2.6,2.6,6.5,4,2.6,34.3
"BHA,CRY,TOT,WOL",3.7,4.9,3.3,3.2,2.8,2.2,2.2,2.8,4.3,4.9,34.3
"CHE,EVE,SHU,WBA",4.8,2.8,2.6,2.3,2.8,5,3.5,4.4,3.3,2.8,34.3
"CRY,EVE,FUL,SHU",5.5,2.8,2.8,5,2.2,2.4,3,4.4,3.5,2.7,34.3
"CRY,LEE,LEI,NEW",3.8,2.3,3.7,4.5,2.7,3.2,3.8,2.7,5.4,2.2,34.3
"CRY,LEI,SOU,TOT",2.7,4.8,3.3,3.4,2.7,3.3,3.2,2.8,5.9,2.2,34.3
"FUL,LEE,LEI,SHU",4.3,2.6,2.8,6,2.1,2.8,2.8,4.3,4.5,2.1,34.3
"LEE,LEI,SHU,TOT",3.2,2.6,2.7,6,2.1,4.2,3.2,2.7,5.5,2.1,34.3
"LEE,MCI,SHU,WOL",4.8,2.6,3.1,2.6,2.6,3.1,2.6,4.8,5,3.1,34.3
"ARS,MCI,MUN,WOL",3.2,3.3,4.7,2.2,3.6,3.6,2.6,3.7,2.7,4.8,34.4
"EVE,MCI,MUN,SOU",5,1.8,3.3,2.4,4.7,4.2,3.7,3.7,2.3,3.3,34.4
"BHA,LIV,MUN,SHU",4.3,2.6,3.1,4.2,2.2,2.2,5.8,4.2,2.7,3.1,34.4
"BUR,CHE,CRY,WOL",3.6,7.6,3.2,1.6,2.8,2.7,3.1,2.7,2.7,4.4,34.4
"BUR,LIV,MUN,WOL",3.1,4.3,4.3,2.6,3.2,2.6,3.6,4.2,1.7,4.8,34.4
"LIV,MUN,NEW,TOT",3.2,2.3,3.2,3.8,4.1,3.7,3.4,3.7,3.7,3.3,34.4
"ARS,AVL,CRY,LIV",2.7,4,3.4,3.2,3.7,2.7,5.3,2.8,3.4,3.2,34.4
"ARS,BHA,CHE,LEI",2.7,3.7,4.9,2.2,2.7,3.9,4.1,2.7,3.7,3.8,34.4
"ARS,BHA,CHE,WOL",3.2,4.4,4.3,1.6,3.2,2.2,3.1,2.7,3.7,6,34.4
"ARS,CHE,CRY,WOL",3.2,6.6,3.2,1.6,3.2,2.7,3.1,2.7,3.7,4.4,34.4
"ARS,EVE,SOU,WOL",2.8,3.5,3.9,1.7,5.9,3.2,2.7,2.8,3.4,4.5,34.4
"ARS,LEE,LIV,WOL",2.7,3.3,4.7,2.2,4.1,2.6,3.6,2.7,4.4,4.1,34.4
"AVL,CHE,CRY,LIV",3.1,5.5,2.8,2.6,3.7,2.7,4.8,2.7,3.3,3.2,34.4
"AVL,CRY,EVE,LIV",3.8,2.5,3,3.3,3.7,2.7,4.5,5,3,2.9,34.4
"BHA,FUL,MUN,WOL",4.9,2.7,3.3,3.2,3.2,1.9,1.8,4.2,2.7,6.5,34.4
"BUR,CHE,LEE,LIV",3.1,4.3,3.1,2.6,3.7,3.1,5.1,2.6,2.7,4.1,34.4
"BUR,LEE,LIV,WOL",3.1,4.3,4.3,2.6,3.2,2.6,3.6,3.2,3.4,4.1,34.4
"BUR,MUN,WBA,WOL",4.9,3.3,4.3,2.7,3.2,3.3,2.3,4.2,1.7,4.5,34.4
"CHE,CRY,MUN,TOT",3.7,3.8,2.7,3.8,3.2,3.8,3.7,2.7,2.6,4.4,34.4
"CHE,MCI,MUN,SHU",4.8,2.6,2.6,2.6,2.6,5.8,4.1,3.6,2.6,3.1,34.4
"MUN,NEW,SHU,SOU",4.4,2.3,3.1,2.9,2.6,5.4,3.9,3.7,3.3,2.8,34.4
"ARS,AVL,BUR,WOL",3.2,4,4,2.2,3.2,2.8,3.3,3.3,2.4,6,34.4
"ARS,BHA,MUN,SOU",2.8,2.7,4.2,2.3,3.2,2.8,4.9,2.8,2.7,6,34.4
"ARS,CHE,CRY,MUN",3.2,3.3,3.1,2.2,3.2,4.4,5.3,2.7,2.6,4.4,34.4
"ARS,CHE,WBA,WOL",3.2,5,4.3,1.6,3.8,3.3,2.3,2.7,3.7,4.5,34.4
"ARS,CRY,LEI,SHU",2.7,3.6,3.2,3.9,2.1,4.4,5.3,2.8,4.3,2.1,34.4
"ARS,CRY,LIV,SHU",2.7,4.3,3.2,3.2,2.2,2.7,6.3,2.8,4.3,2.7,34.4
"ARS,CRY,SOU,WOL",2.8,5.5,4.3,1.7,3.2,2.7,2.7,2.8,4.3,4.4,34.4
"ARS,EVE,LEE,SHU",4.4,1.8,2.8,2.9,3.8,4.8,5,2.7,3.4,2.8,34.4
"ARS,EVE,WHU,WOL",2.9,3.5,4.5,2.2,5.4,4.3,2.8,2.4,3.4,3,34.4
"ARS,FUL,LIV,SOU",2.7,4.5,3.9,2.3,4.3,2.3,2.9,2.8,3.9,4.8,34.4
"ARS,LEE,MUN,SOU",2.8,1.6,3.6,2.3,4.8,3.7,4.9,2.7,2.7,5.3,34.4
"AVL,BUR,EVE,LEI",4.9,2.5,3,3.4,2.7,4.5,3.8,4.9,2.4,2.3,34.4
"AVL,CHE,EVE,WBA",4.9,2.5,2.8,2.3,4.5,3.5,3.5,4.4,3,3,34.4
"AVL,CHE,LIV,WBA",3.1,4,2.8,2.6,4.3,2.8,3.8,4.4,3.3,3.3,34.4
"AVL,CRY,SHU,WOL",4.3,3.3,2.8,4.3,2.2,2.7,3.3,4.9,3.9,2.7,34.4
"BHA,BUR,EVE,LIV",4.9,2.9,4,3.3,2.8,2.2,4.8,3.8,2.4,3.3,34.4
"BHA,CHE,MCI,WOL",3.6,5.3,4.2,1.6,3.2,2.2,2.6,3.2,3.7,4.8,34.4
"BHA,CHE,SOU,WOL",3.2,4.9,3.7,1.6,3.2,2.2,2.7,2.7,3.7,6.5,34.4
"BHA,CHE,WBA,WHU",3.3,4.4,4.4,3.2,3.4,2.9,3.8,2.3,3.7,3,34.4
"BHA,CRY,LIV,MUN",3.8,2.7,3.7,4.2,2.8,2.2,5.8,3.3,2.7,3.2,34.4
"BHA,EVE,LEE,SHU",6.6,1.8,2.8,3.9,2.2,2.7,5,3.2,3.4,2.8,34.4
"BHA,EVE,MUN,WHU",5.1,1.8,3.3,3.9,3.2,3.9,5,2.9,2.3,3,34.4
"BHA,FUL,MUN,SOU",4.5,2.7,3.3,3.3,3.2,1.9,2.9,3.3,2.7,6.6,34.4
"BUR,EVE,FUL,SHU",6.1,2.8,2.8,3.4,2.2,4,3,4.9,2.4,2.8,34.4
"BUR,EVE,SOU,TOT",3.3,4,2.9,2.4,3.9,4.3,3.3,2.8,2.4,5.1,34.4
"BUR,FUL,SOU,WOL",3.2,5,3.9,1.7,3.2,2.3,1.8,3.3,2.9,7.1,34.4
"CHE,CRY,NEW,WBA",4.3,4,3.2,2.8,3.4,3.4,3.5,2.7,4.2,2.9,34.4
"CHE,CRY,TOT,WOL",3.6,7.1,2.7,1.6,3.2,2.7,2.2,2.7,4.2,4.4,34.4
"CRY,FUL,LEI,SHU",3.8,3.6,2.8,6,2.1,2.4,2.8,4.4,4.4,2.1,34.4
"CRY,FUL,MUN,WHU",4,2.8,3.3,6.6,3.2,2.4,4,2.4,2.8,2.9,34.4
"CRY,LEE,LIV,WOL",3.1,4.8,3.7,2.6,3.2,2.6,3.6,2.7,4.9,3.2,34.4
"EVE,FUL,LEI,SHU",4.3,2.8,2.8,4,2.1,4,2.8,6,3.5,2.1,34.4
"EVE,FUL,MCI,WOL",4.9,3,3,2.3,3.8,2.3,1.8,6.5,3.5,3.3,34.4
"EVE,LEI,SHU,WHU",2.8,2.8,2.8,4,2.1,6.5,3.8,4,3.5,2.1,34.4
"FUL,LEE,MCI,WOL",4.9,2.8,3.3,2.6,3.8,2.3,1.8,4.3,4.5,4.1,34.4
"FUL,LEI,SHU,TOT",3.2,3.6,2.7,6,2.1,3.4,2.4,4.4,4.5,2.1,34.4
"FUL,LIV,SHU,WHU",2.8,3.8,2.8,5.3,2.8,2.3,3.8,4,4,2.8,34.4
"LEI,MUN,NEW,WOL",3.1,2.3,4.8,2.8,3.1,4.8,2.6,5.3,3.3,2.3,34.4
"ARS,FUL,LEI,MCI",2.7,3.8,4.4,3.2,3.3,3.3,2.8,4.4,3.9,2.6,34.4
"AVL,CHE,FUL,WHU",3.3,3.5,2.8,4.4,4.5,2.5,3.3,2.3,3.3,4.5,34.4
"BHA,CRY,EVE,SHU",5.5,2.8,2.8,3.9,2.2,2.3,5.5,3.3,3.4,2.7,34.4
"BHA,CRY,SOU,WBA",3.9,4.4,4.3,3.3,2.8,2.3,3.4,2.8,4.3,2.9,34.4
"BUR,CRY,SHU,SOU",3.9,4.8,3.2,2.8,2.2,3.3,5.4,2.8,3.3,2.7,34.4
"CHE,EVE,LIV,NEW",3.1,2.5,2.8,2.3,4.8,4.3,4,4.3,3.3,3,34.4
"CHE,MUN,TOT,WBA",3.7,3.3,2.7,3.8,3.8,4.4,2.9,2.7,2.6,4.5,34.4
"CRY,FUL,LIV,WOL",3.1,6,3.4,2.6,3.2,2.3,1.8,4.4,4.4,3.2,34.4
"CRY,LEI,MUN,WHU",2.8,2.6,3.7,5.5,2.7,4.9,4.8,2.4,2.8,2.2,34.4
"CRY,LEI,SHU,TOT",3.2,3.6,2.7,6,2.1,3.8,3.2,2.8,4.9,2.1,34.4
"CRY,MUN,SOU,TOT",3.3,3.8,3.2,3.9,3.2,3.3,3.3,2.8,3.2,4.4,34.4
"CRY,SHU,SOU,TOT",3.3,4.8,2.7,4.4,2.2,3.3,3.3,2.8,4.9,2.7,34.4
"FUL,LIV,MUN,SHU",4.3,2.6,2.8,4.8,2.6,2.3,3.8,5.3,2.8,3.1,34.4
"LEE,LEI,WBA,WOL",3.1,2.6,4.8,3.3,3.1,3.1,2.3,4.3,5.5,2.3,34.4
"MCI,MUN,TOT,WOL",3.7,3.8,3.2,2.6,3.6,3.6,2.2,3.7,3.3,4.8,34.5
"ARS,AVL,LIV,MUN",2.7,2.3,3.3,3.2,4.1,2.8,5.3,3.7,2.3,4.8,34.5
"ARS,CHE,SHU,SOU",2.8,4.3,2.6,1.7,3.3,4.9,4.2,2.7,3.7,4.3,34.5
"ARS,CRY,MCI,MUN",3.9,3.3,3.7,3.2,3.2,3.7,4.8,2.8,2.7,3.2,34.5
"ARS,EVE,LEI,LIV",2.6,2.8,4.4,2.9,3.6,4.3,3.8,4.4,3.4,2.3,34.5
"ARS,EVE,MUN,SOU",2.8,1.8,3.3,2.3,5.9,4.9,3.9,2.8,2.3,4.5,34.5
"ARS,FUL,LEE,SHU",4.4,2.6,2.8,4.9,2.8,2.8,4,2.7,3.9,3.6,34.5
"AVL,BHA,LEE,LEI",4.9,2.3,3.3,4.9,2.7,2.4,4.3,3.2,3.4,3.1,34.5
"AVL,BHA,LIV,SOU",2.7,3.4,3.9,2.7,3.7,2.2,4.4,3.3,3.4,4.8,34.5
"BHA,EVE,FUL,MUN",6.7,1.8,3,3.9,3.2,1.9,3,4.2,2.3,4.5,34.5
"BHA,LEE,LIV,SOU",2.7,2.7,4.2,2.7,3.7,2.2,4.7,2.7,4.8,4.1,34.5
"BUR,CHE,MUN,SOU",3.2,3.8,3.1,1.7,3.2,4.9,4.2,2.7,1.7,6,34.5
"CHE,MUN,SHU,TOT",3.7,2.6,2.6,3.8,2.6,5.9,3.7,2.7,2.6,4.3,34.5
"ARS,CHE,FUL,SOU",2.8,4.5,2.8,1.7,4.5,2.9,2.9,2.7,3.7,6,34.5
"ARS,LEE,LEI,LIV",2.6,2.6,4.7,3.2,3.6,3.1,4.6,2.7,4.8,2.6,34.5
"AVL,LEE,LEI,LIV",2.6,2.3,3.3,4.3,3.6,2.8,4.3,4.3,4.4,2.6,34.5
"BHA,FUL,LEE,SOU",4.5,2.7,3.3,3.3,3.4,1.9,2.9,2.7,3.9,5.9,34.5
"BHA,FUL,LIV,TOT",3.2,3.9,2.9,4.2,3.4,1.9,2.4,3.3,3.9,5.4,34.5
"BHA,FUL,LIV,WHU",2.8,3.9,4.4,4.2,3.4,1.9,3.8,2.9,3.9,3.3,34.5
"BHA,LIV,MUN,WHU",2.8,2.7,4.7,4.2,3.2,2.2,5.8,2.9,2.7,3.3,34.5
"BHA,LIV,SHU,WOL",3.1,3.7,4.2,2.6,2.2,2.2,3.6,5.4,4.4,3.1,34.5
"BHA,NEW,SHU,WOL",4.8,3.3,4.3,2.8,2.2,2.2,2.8,4.9,4.4,2.8,34.5
"CHE,LEE,MUN,TOT",3.7,1.6,2.7,3.8,4.3,4.2,3.7,2.6,2.6,5.3,34.5
"CRY,NEW,WHU,WOL",3.3,5.1,4.9,2.8,3.2,2.7,2.8,2.4,4.4,2.9,34.5
"EVE,FUL,LEE,TOT",5,1.8,2.9,5.1,4.5,2.8,2.4,2.7,3.5,3.8,34.5
"FUL,LEE,LIV,MUN",4.4,1.6,3.3,4.8,3.8,2.3,3.8,3.6,2.8,4.1,34.5
"ARS,AVL,CHE,WBA",3.2,4,2.8,2.2,4.5,3.5,3.8,2.7,3.3,4.5,34.5
"ARS,BUR,CRY,EVE",3.9,3.5,3.4,2.9,2.8,4.4,5.5,2.8,2.4,2.9,34.5
"ARS,CHE,CRY,NEW",3.2,4,3.2,2.2,3.9,4.4,4.3,2.7,3.7,2.9,34.5
"ARS,CHE,FUL,MCI",3.2,4.5,2.8,2.2,4.5,3.3,2.8,2.7,3.7,4.8,34.5
"ARS,CHE,LEI,TOT",2.7,4.3,2.7,2.2,3.8,5.4,3.2,2.7,3.7,3.8,34.5
"ARS,CHE,LEI,WBA",2.7,4.3,5,2.2,3.3,5,3.3,2.7,3.7,2.3,34.5
