COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"CHE,MUN,WBA",4.9,3.3,3.1,3.8,3.8,5.5,3.8,3.6,2.6,4.5,38.9,3.89,0.8646772037,3.363594323
"BUR,NEW,SOU",4.4,4.5,4.9,2.8,5.1,4.9,3.9,3.3,4.4,5.1,43.3,4.33,0.7789594199,3.372894288
"BHA,CHE,EVE",5.4,2.9,2.8,2.3,3.9,3.9,4.3,3.2,3.3,4.5,36.5,3.65,0.9288583195,3.390332866
"EVE,WBA,WHU",4.6,3.5,4.6,4.5,5.6,5,3.5,4.1,3.5,3,41.9,4.19,0.8116512661,3.400818805
"ARS,FUL,NEW",4.4,3.5,5.1,3.4,5.7,4,3,4.4,3.9,4.5,41.9,4.19,0.8116512661,3.400818805
"CRY,EVE,WOL",4.3,5.1,3.4,2.3,3.2,2.7,2.8,4.9,3.9,2.9,35.5,3.55,0.9617692031,3.414280671
"BUR,NEW,TOT",4.9,4.5,3.9,3.9,3.9,5.4,3.4,3.3,4.6,5.6,43.4,4.34,0.7933053216,3.442945096
"CRY,LEE,SOU",3.9,3.8,3.7,5,4.4,3.2,4.9,2.7,5.4,3.7,40.7,4.07,0.8459708427,3.44310133
"ARS,MUN,WBA",4.5,3.3,5.5,4.4,3.8,5,4.5,3.7,2.7,4.5,41.9,4.19,0.8238797107,3.452055988
"CHE,EVE,WBA",4.9,3.5,2.8,2.3,4.5,5,3.5,4.4,3.3,3,37.2,3.72,0.9283198682,3.45334991
"LEE,SHU,WOL",4.8,2.6,3.1,4.3,2.6,3.1,3.8,4.8,5,3.6,37.7,3.77,0.9177871939,3.460057721
"LEE,LEI,WOL",3.1,2.6,4.8,3.3,3.1,3.1,2.6,4.3,5.5,3.1,35.5,3.55,0.9778093429,3.471223167
"CRY,FUL,SOU",3.9,5,3.4,4.5,3.4,2.4,2.9,2.8,4.4,5,37.7,3.77,0.9322016949,3.51440039
"CHE,CRY,LEE",4.3,4.9,3.1,4.9,3.9,3.2,5.3,2.6,4.2,3.7,40.1,4.01,0.8786985326,3.523581116
"AVL,WHU,WOL",3.3,5.1,4.5,4.4,5.4,2.8,3.3,4.5,3.5,4.5,41.3,4.13,0.8551153269,3.5316263
"LEI,MUN,WOL",3.1,2.6,4.8,3.3,3.1,4.8,2.6,5.3,3.3,3.8,36.7,3.67,0.9684466371,3.554199158
