COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"BHA,CRY,TOT",1.9,1.9,1.4,2.4,1.4,0.9,1.4,1.4,1.9,1.4,1.4,1.4,1.4,1.4,1.9,23.5,2.35,0.3618734322,0.8504025657
"MCI,MUN,SOU",1.4,0.8,1.8,0.9,1.8,1.9,1.8,1.4,0.8,1.8,0.8,1.4,0.8,1.3,1.3,20,2,0.4253849797,0.8507699594
"AVL,LEI,WHU",1.3,1.5,1.5,2.5,1.3,1.5,1.8,1,1.5,0.8,1.5,1.3,1,1.5,1,21,2.1,0.4053217417,0.8511756575
"BHA,SOU,WBA",1.4,1.9,2.4,0.9,1.4,0.9,1.5,1.4,1.9,1.5,1,1.4,1.4,1.4,1.4,21.8,2.18,0.3907258203,0.8517822883
"AVL,CRY,LIV",1.3,1.5,1.5,1.8,1.4,1.3,2.5,1.4,1.5,1.4,1.4,1.3,2,1.3,0.8,22.4,2.24,0.3807261233,0.8528265162
"AVL,LEE,WOL",1.8,0.8,1.5,0.8,1.8,1.3,0.8,1.3,1.5,2.3,1.5,1.3,1.3,1.5,1,20.5,2.05,0.4169046939,0.8546546225
"AVL,EVE,TOT",1.9,1,1.4,1.5,2.5,1.5,1.4,1.4,1.5,1.5,1.5,1.4,2,1.5,1,23,2.3,0.3716116765,0.8547068559
"AVL,LEE,LEI",1.3,0.8,1.5,2.5,1.3,1.5,1.8,1.3,1.5,0.8,1.5,1.3,1.3,1.5,1,20.9,2.09,0.4096456076,0.8561593198
"MUN,SOU,WHU",1.4,0.8,1.8,0.9,1.8,1.9,1.9,1,0.8,1.5,1.9,1.4,1,1.3,1.4,20.8,2.08,0.4120795115,0.8571253839
"AVL,BHA,LEI",1.3,1.5,1.5,2.4,1.3,0.9,1.8,1.9,1.5,0.8,1.5,1.3,1.4,1.4,1,21.5,2.15,0.3994043184,0.8587192845
"BUR,SHU,SOU",1.4,1.8,1.3,0.9,0.8,1.9,1.9,1.4,0.9,1.3,1.9,1.4,1.9,1.8,1.4,22,2.2,0.3903600292,0.8587920642
"BHA,CHE,LIV",1.3,1.9,1.3,0.8,1.4,0.9,2.3,1.3,1.8,1.8,1.3,1.3,1.4,1.3,0.8,20.9,2.09,0.4148436309,0.8670231886
"BHA,EVE,TOT",1.9,1,1.4,1.5,1.4,0.9,1.4,1.4,1.5,1.5,2.5,1.4,1.4,1.4,2,22.6,2.26,0.3863134676,0.8730684367
"AVL,LIV,SOU",1.3,1.5,1.5,0.9,2.3,1.3,1.9,1.4,1.5,1.8,1.5,1.3,2,1.3,0.8,22.3,2.23,0.3925496632,0.875385749
"CHE,LEE,WBA",1.8,0.8,1.3,0.8,2,1.8,1.5,1.3,1.8,1.5,1,2,1.3,1.5,1.8,22.2,2.22,0.3967726949,0.8808353827
"CHE,LIV,MUN",1.3,0.8,1.3,0.8,1.8,1.3,2.3,1.3,0.8,1.8,1.3,1.3,1.8,1.3,0.8,20,2,0.4418575508,0.8837151017
"LIV,MUN,SOU",1.3,0.8,1.8,0.9,1.8,1.3,1.9,1.4,0.8,1.8,1.9,1.3,1.8,1.3,0.8,20.9,2.09,0.4233652031,0.8848332746
"SHU,SOU,WHU",1.4,1.8,1.3,0.9,0.8,1.9,1.9,1,2,1.3,1.9,1.4,1,1.8,1.4,21.8,2.18,0.4085980677,0.8907437877
"FUL,NEW,WHU",1.5,1.5,1.5,2,2,1,1,1,2,1.5,2,1,1,1,1.5,21.5,2.15,0.4169046939,0.8963450919
"BUR,FUL,LEI",1.3,1.8,1.5,1.9,1.3,1,1,1.9,0.9,0.8,1.8,1.3,1.5,2,1.9,21.9,2.19,0.4102264183,0.8983958561
"CRY,FUL,WOL",1.8,2,1.5,0.8,1.4,1,0.8,1.4,2,1.4,1.4,1.3,1.5,2,1.9,22.2,2.22,0.4056740423,0.9005963738
"ARS,AVL,SHU",1.4,1.5,1.3,1.4,0.8,1.5,2.5,1.4,1.5,1.3,1.5,1.9,2,1.5,1,22.5,2.25,0.401781746,0.9040089285
"MUN,NEW,SOU",1.4,0.8,1.8,0.9,1.8,1.9,1.9,1.4,0.8,1.5,1.9,1,1.8,1,1.4,21.3,2.13,0.4246006527,0.9043993903
"FUL,LIV,SOU",1.3,2,1.5,0.9,2,1,1,1.4,2,1.8,1.9,1.3,1.5,1.3,0.8,21.7,2.17,0.4172472146,0.9054264557
"CRY,NEW,SOU",1.4,1.5,1.9,0.9,1.4,1.4,1.9,1.4,2.4,1.4,1.4,1,2,1,1.4,22.4,2.24,0.406143301,0.9097609943
"AVL,BHA,LIV",1.3,1.5,1.5,1.8,1.4,0.9,2.5,1.9,1.5,1.8,1.5,1.3,1.4,1.3,0.8,22.4,2.24,0.4078982133,0.9136919977
"BHA,CHE,EVE",1.8,1,1.3,0.8,1.4,0.9,2,1.3,1.5,1.5,1.3,2.3,1.4,1.4,2,21.9,2.19,0.4188419409,0.9172638505
"CRY,NEW,TOT",1.9,1.5,1.4,2,1.4,1.4,1.4,1.4,2.4,1.4,1.4,1,2,1,1.9,23.5,2.35,0.3903600292,0.9173460686
"BHA,CHE,WHU",1.5,1.9,1.3,0.8,1.4,0.9,2.3,1,1.8,1.5,1.3,2,1,1.4,1.5,21.6,2.16,0.4256088076,0.9193150245
"BUR,FUL,WHU",1.5,2,1.5,1.9,1.4,1,1,1,0.9,1.5,1.9,2,1,2,1.5,22.1,2.21,0.4165618916,0.9206017804
"ARS,CRY,LEI",1.3,1.8,1.9,1.4,1.3,1.4,1.8,1.4,1.9,0.8,1.4,1.3,1.8,2.4,1.9,23.8,2.38,0.3870523528,0.9211845997
"BHA,NEW,SOU",1.4,1.5,2.4,0.9,1.4,0.9,1.9,1.4,1.9,1.5,1.9,1,1.4,1,1.4,21.9,2.19,0.4256088076,0.9320832887
"LIV,MUN,WBA",1.3,0.8,1.8,1.8,1.8,1.3,1.5,2.3,0.8,1.5,1,1.3,1.8,1.3,0.8,21.1,2.11,0.4431489054,0.9350441905
"BHA,LEI,SOU",1.3,1.8,2.4,0.9,1.3,0.9,1.8,1.4,1.9,0.8,1.8,1.3,1.4,1.4,1.4,21.8,2.18,0.4290632099,0.9353577976
"BHA,LEE,SOU",1.4,0.8,1.8,0.9,1.4,0.9,1.9,1.3,1.9,2.3,1.9,1.4,1.3,1.4,1.4,22,2.2,0.4253849797,0.9358469553
"FUL,SOU,WHU",1.4,2,1.5,0.9,2,1,1,1,2,1.5,1.9,1.4,1,2,1.4,22,2.2,0.4253849797,0.9358469553
"CHE,FUL,WHU",1.5,2,1.3,0.8,2,1,1,1,1.8,1.5,1.3,2,1,2,1.5,21.7,2.17,0.4323799035,0.9382643906
"ARS,BHA,EVE",1.4,1,1.5,1.4,1.4,0.9,2,1.4,1.5,1.5,2.5,1.9,1.4,1.4,2,23.2,2.32,0.4050867044,0.9398011542
"BHA,EVE,LIV",1.3,1,1.5,1.5,1.4,0.9,2,1.9,1.5,1.5,2.5,1.3,1.4,1.3,0.8,21.8,2.18,0.4323799035,0.9425881896
"AVL,BUR,WHU",1.5,1.5,1.5,1.9,1.4,1.5,2.5,1,0.9,1.5,1.5,2,1,1.5,1,22.2,2.22,0.4246006527,0.942613449
"CHE,FUL,SHU",1.8,1.8,1.3,0.8,0.8,1,1,1.3,1.8,1.3,1.3,2.3,1.5,1.8,1.8,21.6,2.16,0.437198876,0.9443495721
"CHE,LIV,NEW",1.3,1.5,1.3,0.8,2.3,1.3,2,1.3,1.8,1.5,1.3,1,2,1,0.8,21.2,2.12,0.4470005859,0.9476412421
"BUR,SHU,WOL",1.8,1.8,1.3,0.8,0.8,1.3,0.8,1.9,0.9,1.3,1.9,1.3,1.9,1.8,1.8,21.4,2.14,0.4431489054,0.9483386576
"CRY,LEI,LIV",1.3,1.8,1.9,1.8,1.3,1.3,1.8,1.4,2.4,0.8,1.4,1.3,1.8,1.3,0.8,22.4,2.24,0.4250490168,0.9521097976
"BHA,LIV,TOT",1.3,1.9,1.4,1.8,1.4,0.9,1.4,1.4,1.9,1.8,2.5,1.3,1.4,1.3,0.8,22.5,2.25,0.4242640687,0.9545941546
"AVL,MCI,TOT",1.9,1.5,1.4,1.8,2.5,1.5,1.4,1.4,1.5,1.8,0.8,1.4,0.8,1.5,1,22.2,2.22,0.4312771731,0.9574353242
"CRY,EVE,NEW",2.5,1,1.5,1.5,1.4,1.4,2,1.4,1.5,1.4,1.4,1,2,1,1.9,22.9,2.29,0.4182730937,0.9578453847
"AVL,NEW,TOT",1.9,1.5,1.4,2,2.5,1.5,1.4,1.4,1.5,1.5,1.5,1,2,1,1,23.1,2.31,0.4154171741,0.9596136723
"BHA,EVE,WHU",1.5,1,1.5,1.5,1.4,0.9,2,1,1.5,1.5,2.5,2,1,1.4,1.5,22.2,2.22,0.4329302154,0.9611050782
"BHA,CRY,LEI",1.3,1.8,1.9,2.4,1.3,0.9,1.8,1.4,1.9,0.8,1.4,1.3,1.4,1.4,1.9,22.9,2.29,0.4199773237,0.9617480712
"AVL,BUR,LIV",1.3,1.5,1.5,1.8,1.4,1.3,2.5,1.9,0.9,1.8,1.5,1.3,1.9,1.3,0.8,22.7,2.27,0.424039531,0.9625697353
"AVL,CHE,CRY",1.8,1.5,1.3,0.8,1.4,1.4,2.3,1.3,1.5,1.4,1.3,2.3,2,1.5,1,22.8,2.28,0.4229150539,0.964246323
"FUL,MCI,SOU",1.4,2,1.5,0.9,2,1,1,1.4,2,1.8,0.8,1.4,0.8,2,1.3,21.3,2.13,0.4554432692,0.9700941633
"ARS,EVE,WBA",1.4,1,1.5,1.4,2,2,1.5,1.4,1.5,1.5,1,1.9,2.5,1.5,2,24.1,2.41,0.402610529,0.970291375
"MCI,MUN,TOT",1.9,0.8,1.4,1.8,1.8,2.3,1.4,1.4,0.8,1.8,0.8,1.4,0.8,1.3,1.3,21,2.1,0.4629100499,0.9721111048
"CHE,FUL,LEI",1.3,1.8,1.3,0.8,1.3,1,1,1.3,1.8,0.8,1.3,1.3,1.5,2,2.5,21,2.1,0.4629100499,0.9721111048
"LEE,MUN,SOU",1.4,0.8,1.8,0.9,1.8,1.8,1.9,1.3,0.8,2.3,1.9,1.4,1.3,1.3,1.4,22.1,2.21,0.4399134114,0.9722086392
"MCI,MUN,WOL",1.8,0.8,1.8,0.8,1.8,1.3,0.8,2.3,0.8,1.8,0.8,1.3,0.8,1.3,1.3,19.5,1.95,0.5,0.975
"ARS,FUL,MCI",1.4,2,1.5,1.4,2,1,1,1.4,1.9,1.8,0.8,1.9,0.8,2,1.3,22.2,2.22,0.4394802125,0.9756460717
"CHE,FUL,NEW",1.8,1.5,1.3,0.8,2,1,1,1.3,1.8,1.5,1.3,1,1.5,1,2.5,21.3,2.13,0.4585692034,0.9767524032
"AVL,CRY,NEW",2.5,1.5,1.5,2,1.4,1.4,2,1.4,1.5,1.4,1.4,1,2,1,1,23,2.3,0.4253849797,0.9783854533
"BUR,NEW,TOT",1.9,1.5,1.4,1.9,1.4,2.4,1.4,1.4,0.9,1.5,1.9,1,1.9,1,1.9,23.4,2.34,0.4188419409,0.9800901416
"CHE,LEE,LEI",1.3,0.8,1.3,0.8,1.3,1.8,1.8,1.3,1.8,0.8,1.3,1.3,1.3,2.5,1.8,21.2,2.12,0.4627042663,0.9809330447
"BHA,SOU,WHU",1.4,1.9,2.4,0.9,1.4,0.9,1.9,1,1.9,1.5,1.9,1.4,1,1.4,1.4,22.3,2.23,0.4405624111,0.9824541768
"ARS,LEE,LEI",1.3,0.8,1.8,1.4,1.3,1.8,1.8,1.3,1.9,0.8,1.8,1.3,1.3,2.4,1.8,22.8,2.28,0.4312771731,0.9833119546
"CHE,CRY,FUL",1.8,2,1.3,0.8,1.4,1,1,1.3,1.8,1.4,1.3,2.3,1.5,2,1.9,22.8,2.28,0.4312771731,0.9833119546
"BUR,NEW,SOU",1.4,1.5,2.4,0.9,1.4,1.9,1.9,1.4,0.9,1.5,1.9,1,1.9,1,1.4,22.4,2.24,0.4399134114,0.9854060415
"CRY,LIV,NEW",1.3,1.5,1.9,1.8,1.4,1.3,2,1.4,2.4,1.4,1.4,1,2,1,0.8,22.6,2.26,0.4366539438,0.9868379131
"CRY,FUL,NEW",2.5,1.5,1.5,2,1.4,1,1,1.4,2,1.4,1.4,1,1.5,1,1.9,22.5,2.25,0.4391550328,0.9880988239
"CHE,LEE,LIV",1.3,0.8,1.3,0.8,2.3,1.3,2.3,1.3,1.8,1.8,1.3,1.3,1.3,1.3,0.8,21,2.1,0.4705619741,0.9881801455
"LEI,LIV,MUN",1.3,0.8,1.8,1.8,1.3,1.3,1.8,2.3,0.8,0.8,1.8,1.3,1.8,1.3,0.8,21,2.1,0.4705619741,0.9881801455
"BHA,LEE,LEI",1.3,0.8,1.8,2.4,1.3,0.9,1.8,1.3,1.9,0.8,1.8,1.3,1.3,1.4,1.8,21.9,2.19,0.4516635916,0.9891432657
"ARS,MCI,SHU",1.4,1.8,1.3,1.4,0.8,2.3,1.8,1.4,1.9,1.3,0.8,1.9,0.8,1.8,1.3,22,2.2,0.4498677054,0.9897089519
"ARS,FUL,NEW",1.4,1.5,1.5,1.4,2,1,1,1.4,1.9,1.5,2,1,1.5,1,2.5,22.6,2.26,0.4382867076,0.9905279593
"ARS,FUL,LEI",1.3,1.8,1.5,1.4,1.3,1,1,1.4,1.9,0.8,1.8,1.3,1.5,2,2.5,22.5,2.25,0.440778532,0.991751697
"CHE,CRY,LEI",1.3,1.8,1.3,0.8,1.3,1.4,1.8,1.3,1.8,0.8,1.3,1.3,1.8,2.5,1.9,22.4,2.24,0.4431489054,0.9926535482
"CHE,LEI,SOU",1.3,1.8,1.3,0.8,1.3,1.9,1.8,1.3,1.8,0.8,1.3,1.3,1.8,2.5,1.4,22.4,2.24,0.4431489054,0.9926535482
"BUR,TOT,WBA",1.9,2.5,1.4,1.9,1.4,2,1.4,1.4,0.9,1.5,1,1.4,1.9,1.5,1.9,24,2.4,0.4140393356,0.9936944055
"CRY,LEI,NEW",1.3,1.5,1.9,2,1.3,1.4,1.8,1.4,2.4,0.8,1.4,1,1.8,1,1.9,22.9,2.29,0.4350150517,0.9961844685
"BHA,CHE,MCI",1.8,1.9,1.3,0.8,1.4,0.9,1.8,1.3,1.8,1.8,0.8,2.3,0.8,1.4,1.3,21.4,2.14,0.466700679,0.9987394531
"ARS,FUL,WBA",1.4,2,1.5,1.4,2,1,1,1.4,1.9,1.5,1,1.9,1.5,1.5,2.5,23.5,2.35,0.4253849797,0.9996547023
"ARS,SHU,WBA",1.4,1.8,1.3,1.4,0.8,2,1.5,1.4,1.9,1.3,1,1.9,2.5,1.5,1.8,23.5,2.35,0.4253849797,0.9996547023
"AVL,LIV,WHU",1.3,1.5,1.5,1.8,2.3,1.3,2.5,1,1.5,1.5,1.5,1.3,1,1.3,0.8,22.1,2.21,0.4527166674,1.000503835
"AVL,CHE,LIV",1.3,1.5,1.3,0.8,2.3,1.3,2.3,1.3,1.5,1.8,1.3,1.3,2,1.3,0.8,22.1,2.21,0.4527166674,1.000503835
"BHA,MCI,SOU",1.4,1.9,2.4,0.9,1.4,0.9,1.8,1.4,1.9,1.8,0.8,1.4,0.8,1.4,1.3,21.5,2.15,0.4654746681,1.000770536
"CHE,EVE,FUL",1.8,1,1.3,0.8,2,1,1,1.3,1.5,1.5,1.3,2.3,1.5,2,2,22.3,2.23,0.4501851471,1.003912878
"CRY,LEI,MUN",1.3,0.8,1.8,2.5,1.3,1.4,1.8,1.4,0.8,0.8,1.4,1.3,1.8,1.3,1.9,21.6,2.16,0.4656792274,1.005867131
"AVL,CHE,NEW",1.8,1.5,1.3,0.8,2.5,1.5,2,1.3,1.5,1.5,1.3,1,2,1,1,22,2.2,0.4577377082,1.007022958
"ARS,AVL,LIV",1.3,1.5,1.5,1.4,2.3,1.3,2.5,1.4,1.5,1.8,1.5,1.3,2,1.3,0.8,23.4,2.34,0.4306141793,1.00763718
"LEE,SHU,SOU",1.4,0.8,1.3,0.9,0.8,1.8,1.9,1.3,2.5,1.3,1.9,1.4,1.3,1.8,1.4,21.8,2.18,0.4627042663,1.008695301
"CHE,NEW,SOU",1.4,1.5,1.3,0.8,2.5,1.9,1.9,1.3,1.8,1.5,1.3,1,2,1,1.4,22.6,2.26,0.4463609473,1.008775741
"LEE,WBA,WOL",1.8,0.8,1.8,0.8,1.8,1.3,0.8,1.3,2.5,1.5,1,1.3,1.3,1.5,1.8,21.3,2.13,0.4738896797,1.009385018
"ARS,MCI,MUN",1.4,0.8,1.8,1.4,1.8,2.3,1.8,1.4,0.8,1.8,0.8,1.9,0.8,1.3,1.3,21.4,2.14,0.4742914515,1.014983706
"LIV,MCI,MUN",1.3,0.8,1.8,1.8,1.8,1.3,1.8,2.3,0.8,1.8,0.8,1.3,0.8,1.3,0.8,20.5,2.05,0.4952152009,1.015191162
"EVE,FUL,TOT",1.9,1,1.4,1.5,2,1,1,1.4,1.5,1.5,2.5,1.4,1.5,2,2,23.6,2.36,0.4317186032,1.018855904
"ARS,EVE,FUL",1.4,1,1.5,1.4,2,1,1,1.4,1.5,1.5,2.5,1.9,1.5,2,2,23.6,2.36,0.4317186032,1.018855904
"BUR,SHU,TOT",1.9,1.8,1.3,1.9,0.8,2.4,1.4,1.4,0.9,1.3,1.9,1.4,1.9,1.8,1.8,23.9,2.39,0.4267261863,1.019875585
"CRY,NEW,WOL",1.8,1.5,1.9,0.8,1.4,1.3,0.8,1.4,2.4,1.4,1.4,1,2,1,1.9,22,2.2,0.4639375984,1.020662717
"ARS,CRY,EVE",1.4,1,1.5,1.4,1.4,1.4,2,1.4,1.5,1.4,1.4,1.9,2.5,2.4,1.9,24.5,2.45,0.4169046939,1.0214165
"BHA,EVE,WOL",1.8,1,1.5,0.8,1.4,0.9,0.8,1.9,1.5,1.5,2.5,1.3,1.4,1.4,2,21.7,2.17,0.4718756898,1.023970247
"LEE,LEI,MUN",1.3,0.8,1.8,2.5,1.3,1.8,1.8,1.3,0.8,0.8,1.8,1.3,1.3,1.3,1.8,21.7,2.17,0.4718756898,1.023970247
"BHA,LIV,SOU",1.3,1.9,2.4,0.9,1.4,0.9,1.9,1.4,1.9,1.8,1.9,1.3,1.4,1.3,0.8,22.5,2.25,0.4551294949,1.024041364
"FUL,MCI,TOT",1.9,2,1.4,1.8,2,1,1,1.4,2,1.8,0.8,1.4,0.8,2,1.3,22.6,2.26,0.4542917041,1.026699251
"FUL,LEE,SOU",1.4,0.8,1.5,0.9,2,1,1,1.3,2,2.3,1.9,1.4,1.3,2,1.4,22.2,2.22,0.4632185538,1.028345189
"AVL,CHE,SHU",1.8,1.5,1.3,0.8,0.8,1.5,2.3,1.3,1.5,1.3,1.3,2.3,2,1.5,1,22.2,2.22,0.4632185538,1.028345189
"MCI,SHU,SOU",1.4,1.8,1.3,0.9,0.8,1.9,1.8,1.4,2.5,1.3,0.8,1.4,0.8,1.8,1.3,21.2,2.12,0.4853079533,1.028852861
"CRY,FUL,LEI",1.3,1.8,1.5,2.5,1.3,1,1,1.4,2,0.8,1.4,1.3,1.5,2,1.9,22.7,2.27,0.4533473387,1.029098459
"BHA,CHE,CRY",1.8,1.9,1.3,0.8,1.4,0.9,2.3,1.3,1.8,1.4,1.3,2.3,1.4,1.4,1.9,23.2,2.32,0.4437931736,1.029600163
"BHA,FUL,LIV",1.3,1.9,1.5,1.8,1.4,0.9,1,1.9,1.9,1.8,2.5,1.3,1.4,1.3,0.8,22.7,2.27,0.4549201918,1.032668835
"BUR,EVE,WOL",1.8,1,1.5,0.8,1.4,1.3,0.8,1.9,0.9,1.5,1.9,1.3,1.9,2.3,1.9,22.2,2.22,0.4662923669,1.035169055
