COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"ARS,AVL,LEI",1.3,1.5,1.5,1.4,1.3,1.5,1.8,1.4,1.5,0.8,1.5,1.3,1.8,1.5,1,21.1,2.11,0.2576450123,0.543630976
"AVL,CRY,SOU",1.4,1.5,1.5,0.9,1.4,1.4,1.9,1.4,1.5,1.4,1.4,1.4,2,1.5,1,21.6,2.16,0.2720294102,0.587583526
"AVL,CHE,LEI",1.3,1.5,1.3,0.8,1.3,1.5,1.8,1.3,1.5,0.8,1.3,1.3,1.8,1.5,1,20,2,0.2968084199,0.5936168397
"AVL,WHU,WOL",1.5,1.5,1.5,0.8,1.8,1.3,0.8,1,1.5,1.5,1.5,1.3,1,1.5,1,19.5,1.95,0.3047247001,0.5942131652
"AVL,LEI,SOU",1.3,1.5,1.5,0.9,1.3,1.5,1.8,1.4,1.5,0.8,1.5,1.3,1.8,1.5,1,20.6,2.06,0.2890048607,0.5953500131
"BHA,EVE,SOU",1.4,1,1.5,0.9,1.4,0.9,1.9,1.4,1.5,1.5,1.9,1.4,1.4,1.4,1.4,20.9,2.09,0.2914659173,0.6091637672
"ARS,AVL,WBA",1.4,1.5,1.5,1.4,2,1.5,1.5,1.4,1.5,1.5,1,1.9,2,1.5,1,22.6,2.26,0.2914659173,0.6587129731
"AVL,CRY,WOL",1.8,1.5,1.5,0.8,1.4,1.3,0.8,1.4,1.5,1.4,1.4,1.3,2,1.5,1,20.6,2.06,0.3217511609,0.6628073914
"AVL,SOU,WBA",1.4,1.5,1.5,0.9,2,1.5,1.5,1.4,1.5,1.5,1,1.4,2,1.5,1,21.6,2.16,0.3089151525,0.6672567293
"AVL,SHU,SOU",1.4,1.5,1.3,0.9,0.8,1.5,1.9,1.4,1.5,1.3,1.5,1.4,2,1.5,1,20.9,2.09,0.3217511609,0.6724599262
"CRY,MUN,SOU",1.4,0.8,1.8,0.9,1.4,1.4,1.9,1.4,0.8,1.4,1.4,1.4,1.8,1.3,1.4,20.5,2.05,0.3309438163,0.6784348233
"CHE,LEI,LIV",1.3,1.8,1.3,0.8,1.3,1.3,1.8,1.3,1.8,0.8,1.3,1.3,1.8,1.3,0.8,20,2,0.3518657753,0.7037315505
"BHA,CRY,SOU",1.4,1.9,1.9,0.9,1.4,0.9,1.9,1.4,1.9,1.4,1.4,1.4,1.4,1.4,1.4,22,2.2,0.3199702367,0.7039345208
"CRY,FUL,LIV",1.3,2,1.5,1.8,1.4,1,1,1.4,2,1.4,1.4,1.3,1.5,1.3,0.8,21.1,2.11,0.3390462814,0.7153876538
"AVL,BUR,LEI",1.3,1.5,1.5,1.9,1.3,1.5,1.8,1.9,0.9,0.8,1.5,1.3,1.8,1.5,1,21.5,2.15,0.3436498772,0.738847236
"CRY,FUL,SOU",1.4,2,1.5,0.9,1.4,1,1,1.4,2,1.4,1.4,1.4,1.5,2,1.4,21.7,2.17,0.3419830127,0.7421031375
"EVE,FUL,SOU",1.4,1,1.5,0.9,2,1,1,1.4,1.5,1.5,1.9,1.4,1.5,2,1.4,21.4,2.14,0.3514595418,0.7521234195
"BHA,SHU,SOU",1.4,1.8,1.3,0.9,0.8,0.9,1.9,1.4,1.9,1.3,1.9,1.4,1.4,1.4,1.4,21.1,2.11,0.3575045787,0.7543346611
"BHA,EVE,LEI",1.3,1,1.5,1.5,1.3,0.9,1.8,1.9,1.5,0.8,1.8,1.3,1.4,1.4,2,21.4,2.14,0.3534860407,0.756460127
"MUN,SOU,WBA",1.4,0.8,1.8,0.9,1.8,1.9,1.5,1.4,0.8,1.5,1,1.4,1.8,1.3,1.4,20.7,2.07,0.366839786,0.759358357
"ARS,CRY,FUL",1.4,2,1.5,1.4,1.4,1,1,1.4,1.9,1.4,1.4,1.9,1.5,2,1.9,23.1,2.31,0.3290679478,0.7601469595
"ARS,CRY,NEW",1.4,1.5,1.9,1.4,1.4,1.4,2,1.4,1.9,1.4,1.4,1,2,1,1.9,23,2.3,0.3309438163,0.7611707774
"FUL,SHU,SOU",1.4,1.8,1.3,0.9,0.8,1,1,1.4,2,1.3,1.9,1.4,1.5,1.8,1.4,20.9,2.09,0.3673586544,0.7677795877
"FUL,NEW,SOU",1.4,1.5,1.5,0.9,2,1,1,1.4,2,1.5,1.9,1,1.5,1,1.4,21,2.1,0.3683941988,0.7736278175
"EVE,WBA,WHU",1.5,1,1.5,1.5,2,2,1.5,1,1.5,1.5,1,2,1,1.5,1.5,22,2.2,0.3518657753,0.7741047056
"FUL,SOU,WBA",1.4,2,1.5,0.9,2,1,1,1.4,2,1.5,1,1.4,1.5,1.5,1.4,21.5,2.15,0.3618734322,0.7780278793
"CRY,MUN,WOL",1.8,0.8,1.8,0.8,1.4,1.3,0.8,1.4,0.8,1.4,1.4,1.3,1.8,1.3,1.9,20,2,0.3903600292,0.7807200584
"ARS,LEE,WBA",1.4,0.8,1.8,1.4,2,1.8,1.5,1.3,1.9,1.5,1,1.9,1.3,1.5,1.8,22.9,2.29,0.3453086956,0.7907569129
"FUL,LEI,SOU",1.3,1.8,1.5,0.9,1.3,1,1,1.4,2,0.8,1.8,1.3,1.5,2,1.4,21,2.1,0.3798495943,0.797684148
"AVL,LIV,TOT",1.3,1.5,1.4,1.8,2.3,1.3,1.4,1.4,1.5,1.8,1.5,1.3,2,1.3,0.8,22.6,2.26,0.3534860407,0.7988784519
"BUR,EVE,LIV",1.3,1,1.5,1.5,1.4,1.3,2,1.9,0.9,1.5,1.9,1.3,1.9,1.3,0.8,21.5,2.15,0.3716116765,0.7989651044
"CHE,FUL,LIV",1.3,2,1.3,0.8,2,1,1,1.3,1.8,1.8,1.3,1.3,1.5,1.3,0.8,20.5,2.05,0.3903600292,0.8002380598
"AVL,LEI,TOT",1.3,1.5,1.4,2.5,1.3,1.5,1.4,1.4,1.5,0.8,1.5,1.3,1.8,1.5,1,21.7,2.17,0.3719959037,0.8072311111
"ARS,AVL,CRY",1.4,1.5,1.5,1.4,1.4,1.4,2.5,1.4,1.5,1.4,1.4,1.9,2,1.5,1,23.2,2.32,0.3481926123,0.8078068605
"MUN,SHU,SOU",1.4,0.8,1.3,0.9,0.8,1.9,1.9,1.4,0.8,1.3,1.9,1.4,1.8,1.3,1.4,20.3,2.03,0.3997618339,0.8115165227
"LEI,MUN,SOU",1.3,0.8,1.8,0.9,1.3,1.9,1.8,1.4,0.8,0.8,1.8,1.3,1.8,1.3,1.4,20.4,2.04,0.3996426976,0.815271103
"CRY,NEW,WHU",1.5,1.5,1.9,2,1.4,1.4,2,1,2,1.4,1.4,1,1,1,1.5,22,2.2,0.3716116765,0.8175456883
"CHE,CRY,NEW",1.8,1.5,1.3,0.8,1.4,1.4,2,1.3,1.8,1.4,1.3,1,2,1,1.9,21.9,2.19,0.3737837419,0.8185863948
"AVL,CHE,WBA",1.8,1.5,1.3,0.8,2,1.5,1.5,1.3,1.5,1.5,1,2,2,1.5,1,22.2,2.22,0.3687817783,0.8186955478
"BHA,MCI,TOT",1.9,1.9,1.4,1.8,1.4,0.9,1.4,1.4,1.9,1.8,0.8,1.4,0.8,1.4,1.3,21.5,2.15,0.3811011614,0.8193674971
"EVE,MUN,SOU",1.4,0.8,1.5,0.9,1.8,1.9,1.9,1.4,0.8,1.5,1.9,1.4,1.8,1.3,1.4,21.7,2.17,0.3814758309,0.8278025529
"BUR,FUL,LIV",1.3,2,1.5,1.8,1.4,1,1,1.9,0.9,1.8,1.9,1.3,1.5,1.3,0.8,21.4,2.14,0.3918211448,0.8384972499
"BHA,CRY,WOL",1.8,1.9,1.9,0.8,1.4,0.9,0.8,1.4,1.9,1.4,1.4,1.3,1.4,1.4,1.9,21.6,2.16,0.3887709572,0.8397452675
"AVL,CRY,LEI",1.3,1.5,1.5,2.5,1.3,1.4,1.8,1.4,1.5,0.8,1.4,1.3,1.8,1.5,1,22,2.2,0.3829708431,0.8425358548
