COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"BHA,CHE,EVE,LEI,TOT",5,4.7,4.2,4.7,5.2,6.3,5.2,4.6,5.2,5.3,50.4,1.68,0.564111888,0.947707972
"CRY,EVE,MUN,WHU,WOL",5.8,5.4,5.2,5.3,5,5.7,5.8,4.7,4.3,4.4,51.6,1.72,0.552167446,0.949728008
"ARS,CRY,EVE,FUL,LEI",5.2,4.8,4.9,5.4,4.7,5.4,4.8,5.8,5.4,3.7,50.1,1.67,0.580134084,0.96882392
"CRY,FUL,LEI,MUN,SOU",5.2,4.6,5.2,6.4,4.5,4.3,4.7,5.1,5.2,5.2,50.4,1.68,0.587272415,0.986617656
"BHA,CHE,FUL,LEI,WHU",4.6,5.7,5.9,5.7,4.7,5.4,5.1,4.2,5.7,5.3,52.3,1.743333333,0.567744074,0.989767169
"CRY,EVE,MUN,TOT,WOL",6.2,4.8,4.7,5.3,5,5.1,4.2,5.1,4.7,5.9,51,1.7,0.588784058,1.000932898
"ARS,FUL,SHU,WHU,WOL",4.7,6.3,5.8,5.7,4.6,5.3,5.9,5.4,5.9,5.8,55.4,1.846666667,0.54405882,1.004695288
"CHE,CRY,EVE,FUL,LEI",5.6,4.8,4.3,4.8,4.7,5.4,4.8,5.7,5.3,3.7,49.1,1.636666667,0.615449249,1.00728527
"CRY,EVE,MUN,SOU,TOT",5.8,4.8,4.7,5.4,5.7,5.7,5.3,4.2,4.7,5.9,52.2,1.74,0.582713957,1.013922285
"CRY,MUN,NEW,TOT,WOL",6.2,5.3,5.1,5.8,5,5.1,4.2,5.1,5.7,5.9,53.4,1.78,0.57580861,1.024939326
"CRY,MUN,SHU,SOU,WOL",5.7,5.6,5,4.7,4,4.6,5.7,5.1,5.7,5.7,51.8,1.726666667,0.601479657,1.038554874
"ARS,CRY,MUN,WBA,WOL",5.7,5.8,6.7,5.2,5,4.7,5.3,5.1,5.1,5.9,54.5,1.816666667,0.581664279,1.056690107
"CRY,EVE,FUL,LEI,SOU",5.2,4.8,4.9,4.9,4.7,4.3,4.7,5.8,5.9,3.7,48.9,1.63,0.648845128,1.057617558
"CHE,CRY,FUL,LEI,MUN",5.6,4.6,4.6,6.3,4.5,5.9,5.1,5,4.6,5.2,51.4,1.713333333,0.618600571,1.059868979
"CRY,LEI,MUN,SOU,WOL",4.5,5.6,6.1,4.2,4.5,4.6,4.5,5.1,5.7,5.2,50,1.666666667,0.637704216,1.062840359
"BHA,CHE,FUL,LEI,NEW",6.1,5.2,6.4,5.2,4.7,5.4,4.8,6.2,5.7,5.3,55,1.833333333,0.583095189,1.069007847
"BHA,CHE,FUL,NEW,WHU",6.3,5.4,5.9,5.2,5.9,5.5,5.3,4.2,5.7,6,55.4,1.846666667,0.583476173,1.077485999
"ARS,CHE,CRY,FUL,LEI",4.5,6.3,4.7,4.7,4.7,5.4,5.1,4.1,5.7,5.2,50.4,1.68,0.641525959,1.07776361
"CRY,EVE,LIV,MUN,TOT",5.7,4.8,4.7,6.3,5.5,5.1,6.2,5.1,4.7,4.7,52.8,1.76,0.616080803,1.084302213
"CRY,LEI,MUN,TOT,WOL",5,5.6,5.1,6.3,4.5,5.1,4,5.1,5.7,5.2,51.6,1.72,0.632806799,1.088427694
"BHA,CHE,EVE,FUL,LEI",6.2,4.7,4.3,4.7,4.7,4.9,4.8,6.2,5.2,5.3,51,1.7,0.642910051,1.092947086
