COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"AVL,SHU,SOU,WHU,WOL",4.7,6.3,5.2,5.2,6.2,4.7,5.2,5.9,6,5.8,55.2,1.84,0.594044518,1.093041912
"AVL,BUR,LEI,LIV,TOT",4.5,6.3,5.4,6.2,5,5.2,5.7,6.3,5.3,5.6,55.5,1.85,0.59488561,1.100538378
"ARS,BUR,FUL,LEE,LEI",5.8,4.6,5.8,5.8,4.7,5.8,5.8,4.6,4.8,6.1,53.8,1.793333333,0.616080803,1.10483824
"BUR,EVE,FUL,LIV,WHU",5.9,6.5,5.5,5.2,5.7,5.3,5.8,5.9,4.4,4.8,55,1.833333333,0.603692343,1.106769295
"CHE,LIV,MUN,TOT,WBA",5,6.3,4.5,5.6,6.1,5.7,5.2,5,5.5,6.3,55.2,1.84,0.603324125,1.11011639
"AVL,BHA,CHE,LEI,MCI",6.7,5.2,5.7,5,5.2,4.7,5.9,6.2,5.2,5.6,55.4,1.846666667,0.604060335,1.115498086
"BUR,CHE,FUL,LEE,LEI",6.2,4.6,4.6,5.2,4.7,5.8,5.1,4.5,4.7,6.1,51.5,1.716666667,0.655320108,1.124966186
"CHE,CRY,MUN,SOU,WBA",5.7,6.3,5,4.7,5.2,5.3,5.7,4.1,5,5.9,52.9,1.763333333,0.638487797,1.125866815
"ARS,CRY,EVE,FUL,LIV",5.2,5.5,4.9,4.7,5.7,3.7,5.8,5.8,5.4,4.7,51.4,1.713333333,0.658618082,1.128432314
"ARS,CRY,MUN,SOU,WBA",5.3,5.8,6.1,5.3,5.2,5.3,6.4,4.2,5.1,5.9,54.6,1.82,0.62039414,1.129117335
"ARS,BHA,EVE,LEI,TOT",4.6,4.7,6.5,5.3,5.2,6.3,5.2,4.7,5.3,5.3,53.1,1.77,0.638487797,1.1301234
"AVL,CHE,SHU,SOU,WBA",6.2,5.8,4.1,4.7,5.3,5.4,5.7,5.8,5.8,5.8,54.6,1.82,0.625744002,1.138854083
"LIV,MUN,SHU,SOU,TOT",4.6,5.6,4.5,5.7,4.9,5.6,6.1,5.1,6.2,6.1,54.4,1.813333333,0.629285309,1.141104027
"BHA,CHE,CRY,EVE,LEI",5.6,4.7,4.7,4.7,4.1,5.3,6.1,4.6,5.2,3.7,48.7,1.623333333,0.704035984,1.142885081
"ARS,CRY,LEI,MUN,WOL",4.5,5.1,6.7,4.7,4.5,5.7,5.6,5.1,5.1,5.2,52.2,1.74,0.659629526,1.147755375
"CRY,EVE,LIV,MUN,SOU",5.2,4.8,5.2,4.2,5.5,4.6,6.7,5.1,4.7,4.7,50.7,1.69,0.683211371,1.154627217
"ARS,BUR,EVE,FUL,LIV",5.8,5.5,5.5,4.7,5.7,5.3,5.8,6.3,4.3,6.3,55.2,1.84,0.633859431,1.166301352
"CHE,FUL,LEI,LIV,MUN",4.4,4.6,4.6,5.1,5.1,5.8,5.1,6.6,4.6,5.6,51.5,1.716666667,0.683536555,1.17340442
"CRY,LIV,MUN,SOU,WBA",5.2,6.3,6.1,5.7,5.2,4.6,6.2,5.1,6.1,4.7,55.2,1.84,0.639096585,1.175937716
"CRY,FUL,LIV,MUN,SOU",5.2,5.8,5.2,5.7,5.2,3.7,5.7,5.1,5.2,6.2,53,1.766666667,0.668331255,1.180718551
"AVL,CHE,LEE,LEI,WOL",4.9,4.1,4.6,4.1,5.6,4.6,4.9,5.6,5.8,6.1,50.3,1.676666667,0.708754777,1.188345509
"ARS,AVL,CRY,LEI,MCI",5.2,5.8,6.3,5.7,5.6,5.2,6.1,5.8,5.8,4,55.5,1.85,0.643341969,1.190182642
"CRY,LEE,LIV,MUN,WOL",5.6,5.6,5.5,5.6,5,4,6.6,5,5.7,5.5,54.1,1.803333333,0.662403033,1.194533469
"CRY,EVE,MUN,SOU,WOL",5.7,4.8,5.2,3.2,5,4.6,4.7,5.1,4.7,5.9,48.9,1.63,0.734014835,1.196444181
"ARS,BHA,EVE,FUL,LEI",5.8,4.7,6.6,5.3,4.7,4.9,4.8,6.3,5.3,5.3,53.7,1.79,0.668414376,1.196461733
"ARS,FUL,SHU,SOU,WBA",5.8,6.3,5.2,5.3,4.8,4.9,4.4,5.8,6.4,5.8,54.7,1.823333333,0.658364978,1.20041881
"CHE,EVE,FUL,LEI,TOT",5,4.8,4.2,4.8,5.8,6.4,4.2,5.7,5.3,5.3,51.5,1.716666667,0.699603062,1.200985257
"AVL,BHA,CHE,LEI,WBA",6.2,5.2,6.4,5.7,4.7,4.4,5.6,6.2,5.2,5.3,54.9,1.83,0.659039705,1.206042661
"CRY,MUN,NEW,SOU,TOT",5.8,5.3,5.1,5.9,5.7,5.7,5.3,4.2,6.7,5.9,55.6,1.853333333,0.651835017,1.208067564
"ARS,CHE,FUL,LEE,LEI",4.5,4.6,4.6,4.7,5.8,5.8,5.1,4,5.7,6.1,50.9,1.696666667,0.71250731,1.208887402
"BHA,CRY,EVE,LEI,SOU",5.2,4.7,5.8,4.8,4.1,4.2,5.7,4.7,5.8,3.7,48.7,1.623333333,0.745430524,1.210082218
"AVL,BUR,CRY,LEI,SOU",5.2,6.3,5.8,5.3,4.1,4.8,6.2,4.7,4.8,5.2,52.4,1.746666667,0.694742158,1.21348297
"AVL,CRY,LEI,MUN,SOU",5.2,4.1,5.2,6.4,4.5,4.8,6.2,5.1,4.7,5.2,51.4,1.713333333,0.708989892,1.214736015
"ARS,EVE,FUL,LEI,TOT",4.6,4.8,4.4,5.4,5.8,6.4,4.2,5.8,5.4,5.3,52.1,1.736666667,0.69992063,1.215528828
"FUL,LEI,MCI,MUN,SOU",5.8,4.6,5.7,5.2,5.1,5.2,4.6,6.7,6.2,5.6,54.7,1.823333333,0.668414376,1.218742212
"ARS,CRY,FUL,LEI,MUN",5.2,4.6,5.2,6.9,4.5,5.4,5.8,5.1,4.7,5.2,52.6,1.753333333,0.696339636,1.220915495
"BHA,EVE,LEI,SOU,TOT",4.6,4.7,5.3,4.8,5.2,5.2,5.1,4.7,6.9,5.9,52.4,1.746666667,0.699523647,1.221834638
"AVL,BHA,CHE,LEI,TOT",5,5.2,4.2,5.7,5.2,4.8,5.5,4.6,5.2,6.8,52.2,1.74,0.703641323,1.224335902
"ARS,AVL,CHE,LEI,WBA",4.5,5.8,6.5,4.7,5.8,6.5,5.6,5.7,5.2,5.3,55.6,1.853333333,0.663659886,1.229982989
"AVL,BHA,CHE,LEI,WHU",4.6,5.2,5.9,5.7,5.2,5.9,6.6,4.2,5.2,5.3,53.8,1.793333333,0.686051504,1.230319031
"BHA,CHE,EVE,LEI,SOU",4.5,4.7,5.2,3.2,5.2,5.8,5.7,4.6,5.2,5.3,49.4,1.646666667,0.748628375,1.232741391
"BHA,CHE,FUL,LEI,MCI",6.2,5.7,5.7,5,4.7,4.2,4.6,6.2,5.7,5.6,53.6,1.786666667,0.691536132,1.235544556
"MUN,SHU,SOU,WHU,WOL",4.7,5.6,5.5,4.7,4.4,6.7,5.7,4.7,5.3,5.8,53.1,1.77,0.698331344,1.23604648
"ARS,CRY,EVE,TOT,WBA",5.8,6,4.8,5.9,5.9,5.8,4.9,4.2,5.8,4.4,53.5,1.783333333,0.696419414,1.241947955
"CRY,MUN,NEW,SOU,WOL",5.7,5.3,6.1,3.7,5,4.6,4.7,5.1,5.7,5.9,51.8,1.726666667,0.723878443,1.249896778
"ARS,CHE,CRY,FUL,NEW",5.7,6,4.7,4.2,5.9,5.4,5.3,4.1,5.7,5.9,52.9,1.763333333,0.710946161,1.253635065
"CRY,EVE,LIV,NEW,TOT",5.7,5.5,4.8,5.3,6.2,5.1,5.4,5.8,6.8,4.4,55,1.833333333,0.684754619,1.255383469
"CRY,MUN,SOU,WBA,WOL",5.7,6.3,6.1,4.7,5,4.6,4.2,5.1,5.7,5.9,53.3,1.776666667,0.707185344,1.256432628
"BUR,EVE,FUL,LEI,SOU",5.8,4.8,5.4,4.3,4.7,5.9,4.7,6.3,4.4,5.9,52.2,1.74,0.72234187,1.256874855
"BHA,EVE,LIV,TOT,WHU",4.7,5.9,5.8,5.7,6.2,4.6,6.2,4.3,5.4,4.8,53.6,1.786666667,0.704272674,1.258300512
"ARS,AVL,CRY,LEI,WOL",4.5,5.8,6.4,4.7,4.5,4.2,5.1,5.8,5.8,5.2,52,1.733333333,0.727247474,1.260562289
"ARS,CRY,MUN,NEW,WOL",5.7,4.8,6.7,4.2,5,5.7,5.8,5.1,5.1,5.9,54,1.8,0.700793201,1.261427762
"BHA,CHE,EVE,FUL,WHU",6.4,4.9,4.3,4.7,5.9,4.9,5.3,4.2,5.2,6,51.8,1.726666667,0.731512892,1.263078927
"CRY,LIV,MUN,NEW,SOU",5.2,5.3,6.1,4.7,5.5,4.6,6.7,5.1,6.1,4.7,54,1.8,0.702376917,1.26427845
"AVL,CHE,CRY,LEI,SOU",4.5,6.3,4.7,4.2,5.2,4.8,6,4.1,5.7,5.2,50.7,1.69,0.748405713,1.264805655
"ARS,AVL,LEI,SHU,SOU",4.1,5.1,5.2,4.8,5.7,6.4,6.2,5.8,5.9,5.1,54.3,1.81,0.699285349,1.265706483
"CHE,CRY,FUL,LEI,NEW",5.6,5.3,4.7,5.3,4.7,5.9,4.8,5.7,6.2,3.7,51.9,1.73,0.732499526,1.26722418
"CHE,FUL,LEE,LEI,LIV",4.4,4.6,4.6,5.1,5.6,4.1,5.1,5.6,6.7,4.9,50.7,1.69,0.751369121,1.269813814
"ARS,BHA,EVE,LIV,TOT",4.6,5.4,5.8,4.7,6.2,4.6,6.2,4.7,5.3,6.3,53.8,1.793333333,0.708362744,1.270330522
"ARS,LEE,SHU,WBA,WOL",6.2,5.1,6.1,5.2,4.6,5.1,5.3,5.8,6.9,5.1,55.4,1.846666667,0.691536132,1.277036724
"BHA,EVE,FUL,LEI,SOU",5.8,4.7,5.4,4.8,4.7,3.8,4.7,6.3,5.4,5.9,51.5,1.716666667,0.744237119,1.277607054
"BUR,FUL,LEE,LEI,SOU",5.8,4.6,5.7,5.3,4.7,4.7,4.7,4.6,5.9,6.7,52.7,1.756666667,0.728849931,1.280346379
"ARS,AVL,CHE,FUL,LEI",4.5,5.3,4.3,4.7,5.8,5.5,5.1,5.7,5.2,6.8,52.9,1.763333333,0.726406681,1.280897115
"ARS,CRY,EVE,LIV,WBA",5.2,6,6.3,4.7,5.7,4.7,6.3,5.9,5.8,4.4,55,1.833333333,0.699205899,1.281877481
"BHA,CHE,CRY,EVE,TOT",6.2,5.9,4.2,4.7,5.3,4.7,5.7,4.1,5.2,5.9,51.9,1.73,0.741544934,1.282872736
"FUL,MCI,MUN,SOU,WHU",6,5.8,5.7,5.7,6.7,5.2,4.7,4.7,4.8,6.3,55.6,1.853333333,0.693140999,1.284621318
"ARS,BUR,CRY,FUL,LEI",5.2,6.3,5.9,5.8,4.1,5.4,6.3,4.7,4.8,5.2,53.7,1.79,0.718099343,1.285397824
"AVL,CRY,EVE,LEI,SOU",5.2,4.3,4.9,4.9,6.3,4.8,5.7,5.8,5.4,3.7,51,1.7,0.757187779,1.287219225
"EVE,FUL,SHU,SOU,WHU",5.9,4.8,4.3,5.9,6.4,5.9,4.9,5.4,5.5,4.3,53.3,1.776666667,0.725794584,1.289495044
"BHA,CHE,EVE,LEI,LIV",4.4,4.7,5.7,4.1,5,5.2,6.1,6.2,5.2,4.1,50.7,1.69,0.763107681,1.289651981
"ARS,CRY,EVE,MUN,WOL",5.7,4.3,5.2,3.7,5,5.7,5.8,5.1,4.2,5.9,50.6,1.686666667,0.764780288,1.289929419
"ARS,AVL,CHE,CRY,LEI",4.5,5.8,4.7,4.7,5.2,5.9,6.6,4.1,5.2,5.2,51.9,1.73,0.746026511,1.290625865
"CHE,CRY,EVE,LEI,WBA",5.6,5.3,4.7,4.8,4.7,6.4,5.3,5.7,5.7,3.7,51.9,1.73,0.7475144,1.293199912
"BUR,CRY,LEI,MUN,WOL",5.6,6.1,6.2,5.2,4.1,5.7,5.6,5.6,4.1,5.2,53.4,1.78,0.727552976,1.295044298
"ARS,CHE,FUL,SHU,WBA",6.2,6.3,4.1,5.2,4.8,6,4.8,5.7,5.7,5.8,54.6,1.82,0.712117344,1.296053565
"BHA,CHE,EVE,WBA,WHU",6.4,5.4,5.9,4.7,5.9,5.9,5.8,4.2,5.2,4.5,53.9,1.796666667,0.721803297,1.296839924
"CRY,EVE,MUN,SOU,WBA",7,4.3,5.2,5.4,5.2,5.3,5.4,5.1,4.7,4.4,52,1.733333333,0.748331477,1.297107894
"AVL,CHE,LEI,SOU,WBA",4.5,5.8,5.2,4.2,5.8,5.4,5.2,5.7,6.8,5.3,53.9,1.796666667,0.723341014,1.299602688
"AVL,CHE,LEI,LIV,TOT",4.4,6.3,4.2,5.1,6.1,5.2,5.5,5.7,6.2,5.6,54.3,1.81,0.718099343,1.299759811
"BUR,CRY,LEE,LEI,WOL",5.6,6.1,6.2,5.2,4.1,4.5,5.6,4.6,5.8,4.5,52.2,1.74,0.748034461,1.301579963
"BUR,FUL,LEE,LEI,LIV",5.7,4.6,5.8,6.2,4.7,4.1,5.6,6.2,5.8,4.9,53.6,1.786666667,0.729078566,1.302620371
"BHA,EVE,SHU,SOU,TOT",6.3,4.7,4.2,4.8,4.7,5.2,5.3,4.7,5.9,6.4,52.2,1.74,0.749518364,1.304161953
"BUR,CHE,FUL,LEI,WBA",6.2,6.3,5.3,5.2,4.7,6,4.3,6.2,4.7,5.3,54.2,1.806666667,0.72234187,1.305030979
"AVL,CHE,FUL,LEI,WHU",4.6,5.3,4.3,6.9,5.8,6,5.1,5.3,5.3,5.3,53.9,1.796666667,0.726406681,1.305110671
"AVL,CHE,CRY,LEI,MCI",5.6,6.7,4.7,5.1,5.2,5.2,5.9,5.7,5.7,4,53.8,1.793333333,0.728468714,1.306387226
"CRY,EVE,FUL,LIV,SOU",5.2,6,4.9,4.2,5.7,3.7,4.9,5.8,5.9,4.7,51,1.7,0.768837506,1.307023761
"AVL,BUR,CHE,LEI,WBA",6.2,5.8,5.3,5.2,4.7,6.5,5.6,6.2,4.2,5.3,55,1.833333333,0.713364485,1.30783489
"CHE,CRY,LEI,MUN,WOL",4.9,6.7,5,4.1,4.5,6.2,4.9,5,5,5.2,51.5,1.716666667,0.761941963,1.30800037
"FUL,LEI,MUN,SOU,WHU",4.2,4.6,5.7,6.4,5.1,6.4,4.7,4.7,4.8,5.3,51.9,1.73,0.75784783,1.311076746
"CRY,MUN,NEW,WHU,WOL",5.8,5.9,6.7,5.8,5,6.2,5.8,4.7,5.2,4.4,55.5,1.85,0.709068246,1.311776255
"EVE,LIV,MUN,SOU,TOT",4.6,4.8,4.7,4.2,6.6,5.6,5.3,5.1,5.2,6.3,52.4,1.746666667,0.7530678,1.315358424
"CRY,LEI,MCI,MUN,SOU",5.2,5.6,6.1,5.2,4.5,5.6,5.5,5.1,6.6,4,53.4,1.78,0.739669596,1.316611881
"BUR,CHE,LEE,LEI,WBA",6.2,5.1,5.6,5.2,4.7,6.8,5.6,4.5,5.7,4.6,54,1.8,0.733333333,1.32
"ARS,FUL,LEI,SHU,SOU",4.1,5.6,5.2,4.8,4.1,5.9,4.7,5.8,6.4,5.1,51.7,1.723333333,0.766014215,1.320097831
"BHA,EVE,LEI,TOT,WOL",5,4.7,5.9,4.7,4.5,4.6,4,6.3,5.9,5.8,51.4,1.713333333,0.770569775,1.320242881
"LIV,MUN,SHU,SOU,WBA",5.7,5.1,5.5,5.7,4.6,5.2,6.2,6.8,6.2,4.6,55.6,1.853333333,0.71367593,1.322679391
"ARS,AVL,CRY,WBA,WOL",5.7,6.5,6.4,5.2,5.2,4.2,4.8,5.9,5.8,5.9,55.6,1.853333333,0.71367593,1.322679391
"ARS,AVL,BUR,FUL,LEI",5.8,5.3,5.5,5.8,4.7,5.5,5.3,6.3,4.3,6.8,55.3,1.843333333,0.719644974,1.326545569
"ARS,BHA,CRY,EVE,TOT",5.8,5.4,4.8,5.3,5.3,4.7,6.9,4.2,5.3,5.9,53.6,1.786666667,0.742667864,1.326899916
"ARS,CHE,FUL,LEI,LIV",4,6.3,5.7,4,5.6,5.3,5.1,5.7,5.7,5.6,53,1.766666667,0.751295178,1.327288148
"BUR,EVE,LEE,LIV,TOT",6.8,4.8,4.7,5.2,6.2,5.5,6.2,4.6,5.3,5.6,54.9,1.83,0.726406681,1.329324227
"ARS,LEI,LIV,MUN,TOT",4,5.1,6.1,5.7,5.4,6.7,6,5.1,5.6,5.6,55.3,1.843333333,0.721187293,1.329388576
"AVL,CHE,CRY,EVE,LEI",5.6,4.3,4.3,4.8,5.2,5.9,6.1,5.7,4.8,3.7,50.4,1.68,0.791903473,1.330397835
"BHA,CHE,CRY,FUL,LEI",5.6,5.7,4.7,5.7,4.1,3.3,5.1,4.6,5.7,5.2,49.7,1.656666667,0.804224955,1.332332675
"AVL,CHE,CRY,LEI,WBA",5.6,5.8,4.7,6.3,4.7,4.9,5.6,5.7,5.7,3.7,52.7,1.756666667,0.758727004,1.332830437
"BHA,CRY,EVE,SOU,TOT",5.8,5.9,4.8,4.8,5.3,4.2,5.3,4.2,5.8,6.5,52.6,1.753333333,0.760409247,1.333250879
"ARS,CHE,CRY,EVE,FUL",5.7,5.5,4.3,3.7,5.9,5.4,5.3,4.1,5.2,5.9,51,1.7,0.784573486,1.333774927
"CHE,FUL,LEE,LEI,MCI",6.2,4.6,4.6,5.1,5.8,5.1,4.6,5.6,6.8,4.9,53.3,1.776666667,0.75284645,1.337557193
"AVL,LEI,MUN,SOU,WBA",5.8,4.1,5.7,6.4,5.1,5.4,5.2,6.7,5.8,5.3,55.5,1.85,0.723033732,1.337612404
"CHE,LEE,LIV,MUN,WBA",6.2,4.1,4.9,5.6,6.1,5.1,6.6,4.9,5.5,5.6,54.6,1.82,0.738165895,1.343461929
"BHA,EVE,LEI,LIV,TOT",4.5,4.7,5.8,5.7,5,4.6,5.2,6.3,6.3,4.1,52.2,1.74,0.772873426,1.344799762
"ARS,FUL,LEI,MUN,SOU",4.1,4.6,5.7,4.8,5.1,5.9,4.7,5.1,4.7,6.8,51.5,1.716666667,0.783510618,1.345026561
"ARS,FUL,MCI,SHU,SOU",5.8,6.3,5.2,4.1,5.7,5.2,4.7,5.8,6.4,6.1,55.3,1.843333333,0.730372812,1.34632055
"BUR,LEE,LEI,LIV,TOT",4.5,5.6,5.7,6.2,5,5.5,6,4.6,6.8,4.9,54.8,1.826666667,0.737563557,1.347282763
"CRY,EVE,LEI,MUN,SOU",5.2,3.6,5.2,4.9,4.5,6.3,5.7,5.1,4.7,3.7,48.9,1.63,0.826572575,1.347313298
"BHA,CRY,EVE,LEI,TOT",5.7,4.7,4.8,6.4,4.1,4.7,5.2,4.7,5.8,3.7,49.8,1.66,0.812130258,1.348136228
"BHA,EVE,TOT,WHU,WOL",5.2,5.9,5.9,4.7,5.7,4.6,4.2,4.3,5.4,6.5,52.4,1.746666667,0.772010363,1.348444767
"BHA,EVE,LIV,TOT,WBA",6.3,5.4,5.8,5.7,5.7,4.2,4.9,6.4,6.3,4.8,55.5,1.85,0.729154762,1.348936309
"AVL,BHA,CRY,LEI,SOU",5.2,5.2,5.8,5.8,4.1,3.8,6.2,4.7,5.8,5.2,51.8,1.726666667,0.781451641,1.3493065
"CRY,LEE,MUN,SOU,WOL",5.7,4.6,5.5,4.7,5,4.5,5.7,4.1,5.7,6.7,52.2,1.74,0.777174369,1.352283402
"CHE,EVE,FUL,LEE,LEI",6.2,3.6,4.3,4.8,5.8,5.8,4.8,5.6,5.3,4.6,50.8,1.693333333,0.802496106,1.358893406
"ARS,EVE,FUL,LEE,LEI",5.8,3.6,4.8,5.4,6.3,5.8,4.8,5.7,5.4,4.6,52.2,1.74,0.781451641,1.359725855
"ARS,CHE,FUL,LEI,WBA",4.5,6.3,6.5,4.7,5.3,6,4.3,5.7,5.7,5.3,54.3,1.81,0.751369121,1.359978108
"BHA,EVE,LIV,NEW,TOT",6.2,4.4,5.8,5.3,6.2,4.6,5.4,6.3,6.3,4.8,55.3,1.843333333,0.737940076,1.36026954
"BHA,CHE,EVE,TOT,WBA",6.8,5.4,4.2,4.7,5.9,5.3,4.9,4.6,5.2,6,53,1.766666667,0.770281334,1.360830357
"BHA,CHE,EVE,LIV,WBA",6.2,5.4,5.7,4.1,5.7,4.2,5.8,6.3,5.2,4.8,53.4,1.78,0.766231761,1.363892534
"BUR,LEI,MUN,SOU,WBA",5.8,5.1,6.7,5.3,4.5,6.9,5.2,5.6,5.2,5.3,55.6,1.853333333,0.736659125,1.365274912
"ARS,AVL,CHE,CRY,WBA",5.7,6.5,4.7,5.2,5.9,4.9,6.3,4.1,5.2,5.9,54.4,1.813333333,0.7530678,1.365562944
"BHA,CRY,EVE,LIV,TOT",5.7,5.9,4.8,5.7,5.1,3.6,6.2,4.7,5.8,4.7,52.2,1.74,0.787118514,1.369586215
"CHE,EVE,FUL,LEI,SOU",4.5,4.8,4.3,3.2,5.8,5.9,4.7,5.7,5.3,5.3,49.5,1.65,0.830327914,1.370041058
"ARS,CRY,FUL,MCI,MUN",7,5.3,5.2,6.2,5.2,4.7,5.8,5.1,4.7,6.2,55.4,1.846666667,0.742667864,1.371459988
"FUL,LIV,MUN,SOU,WHU",4.2,5.8,5.7,5.7,6.1,4.2,5.7,4.7,4.8,6.3,53.2,1.773333333,0.774309728,1.373109252
"BUR,FUL,LEI,SHU,SOU",5.7,5.6,5.2,5.3,3.5,5.9,4.7,6.3,5.4,5.7,53.3,1.776666667,0.773232752,1.373776856
"BUR,LEI,LIV,MUN,TOT",4.5,5.6,5.7,6.2,4.5,6.7,6,5.6,4.6,5.6,55,1.833333333,0.749814792,1.374660452
"AVL,BHA,CHE,CRY,LEI",5.6,5.2,4.7,5.7,4.1,3.8,6.6,4.6,5.2,5.2,50.7,1.69,0.81520277,1.377692681
"AVL,CHE,CRY,LEI,NEW",5.6,4.8,4.7,5.3,5.2,6.4,6.1,5.7,5.7,3.7,53.2,1.773333333,0.777174369,1.378189215
"ARS,CHE,CRY,LEE,WBA",5.7,5.8,5,5.2,5.9,5.2,6.8,4,6.1,5.2,54.9,1.83,0.753436571,1.378788925
"BUR,EVE,LEI,LIV,TOT",4.5,5.8,5.4,5.2,5,6.7,5.2,6.3,5.3,4.1,53.5,1.783333333,0.773520092,1.379444165
"CRY,FUL,MUN,NEW,SOU",6.9,4.3,5.2,5.9,5.2,4.3,4.9,5.1,5.2,5.9,52.9,1.763333333,0.782375301,1.379588447
"ARS,CRY,EVE,FUL,TOT",5.8,5.5,4.4,6.5,5.9,4.8,4.4,4.2,5.4,5.9,52.8,1.76,0.784290196,1.380350744
"BHA,CHE,FUL,LEE,LEI",6.2,4.5,4.6,5.7,4.7,3.7,5.1,4.5,5.7,6.1,50.8,1.693333333,0.817584518,1.384443118
"BHA,CHE,EVE,LEI,WOL",4.9,4.7,5.8,3.1,4.5,5.2,4.6,6.2,5.2,5.3,49.5,1.65,0.839642781,1.385410589
"CHE,EVE,FUL,WBA,WHU",6.4,5.5,4.3,5.3,6.5,6,4.5,5.3,5.3,4.5,53.6,1.786666667,0.776316087,1.387018075
"CRY,EVE,LEI,TOT,WOL",5,5.8,4.8,4.8,4.5,5.1,4,5.8,6.4,3.7,49.9,1.663333333,0.834599039,1.388216401
"CHE,LEI,LIV,MUN,TOT",4.4,5.6,4.5,5.1,5.4,7.2,5.5,5,5.5,5.6,53.8,1.793333333,0.774309728,1.388595446
"LEE,LIV,MUN,WHU,WOL",4.6,5.2,6.5,5.6,5.9,4.4,6.6,4.6,5.3,5.6,54.3,1.81,0.767463354,1.389108671
"AVL,BHA,CHE,LEI,SOU",4.5,5.2,5.2,4.1,5.2,4.3,6,4.6,5.2,6.8,51.1,1.703333333,0.815747782,1.389490389
"ARS,FUL,LEI,MCI,MUN",5.8,4.6,6.2,5.7,5.1,6.3,4.6,6.7,4.7,5.6,55.3,1.843333333,0.754320887,1.390464834
"BHA,CHE,CRY,NEW,TOT",6.2,6.4,4.6,5.2,5.3,4.7,5.7,4.1,6.1,5.9,54.2,1.806666667,0.769992785,1.391120298
