COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"BUR,EVE,LIV,TOT,WOL",8.6,11.5,8.3,6,8,8,7,10.5,7.8,10.9,86.6,2.165,1.765219533,3.821700289
"BUR,EVE,LEI,SHU,TOT",9.8,7.6,6.7,9.4,6,11.9,8.8,10,9.4,7.7,87.3,2.1825,1.751856158,3.823426066
"CRY,FUL,LEI,SOU,WOL",7,10.9,8.8,7.8,6.5,5.6,5.5,8.8,10.4,9.3,80.6,2.015,1.897483714,3.823429683
"CHE,CRY,LEI,SHU,SOU",7,10.7,6.9,7.7,6,10.8,9.5,7.1,10.2,6.5,82.4,2.06,1.856041187,3.823444846
"BHA,BUR,FUL,LEI,SOU",9.4,8.7,10,7.7,6.1,6.8,8.2,8.2,8.3,12.5,85.9,2.1475,1.780418178,3.823448037
"ARS,AVL,BHA,CHE,FUL",9.9,7.9,7.9,8.2,9.5,6.4,9.3,7.6,7.1,12.6,86.4,2.16,1.770247942,3.823735556
"CHE,MUN,SHU,SOU,TOT",8.1,8.6,5.8,8.2,7.6,11.8,8.6,6.4,8.6,10.9,84.6,2.115,1.808129789,3.824194503
"FUL,LEE,LEI,LIV,NEW",8.7,6.1,9.8,9.9,8.6,7.6,7.6,10.3,11.6,6.4,86.6,2.165,1.766477977,3.824424821
"BHA,BUR,EVE,FUL,LEI",11.6,6.7,9.1,8.3,6.1,7.9,8.3,9.8,6.3,10.4,84.5,2.1125,1.811230398,3.826224216
"ARS,AVL,CHE,SHU,SOU",7.6,8.8,6.5,6.6,11,10.4,10.8,7.7,7.7,10.3,87.4,2.185,1.751316965,3.826627568
"EVE,FUL,LEI,MUN,WOL",9.8,5.6,7.8,7.8,6.9,8.8,5.6,11.8,6.8,8.8,79.7,1.9925,1.920676964,3.826948851
"CHE,CRY,FUL,MUN,WHU",8.9,10.5,6.5,11,7.7,9.9,9.8,6,6.6,8.9,85.8,2.145,1.784376642,3.827487897
"BHA,CRY,FUL,LEI,LIV",8.2,9.7,9.9,10.3,6.1,4.6,9.1,9.3,9.2,7.6,84,2.1,1.822696415,3.827662472
"ARS,BUR,FUL,LEE,WOL",11.3,8.8,8.8,7.7,8.2,7.1,8.4,7.6,7.3,12.4,87.6,2.19,1.748141871,3.828430697
"CHE,FUL,LEI,LIV,MCI",7.5,11.2,8.6,6.9,8.1,8.1,6.9,11.8,10.1,7.4,86.6,2.165,1.768363965,3.828507983
"CHE,SHU,SOU,TOT,WBA",8.1,10.3,6.4,8.2,7.8,10.3,7.1,7.2,12,9.4,86.8,2.17,1.764338088,3.828613651
"FUL,LIV,MUN,SHU,TOT",9.3,7.6,6,11.9,6.9,8.2,8.2,10.7,8.2,9.7,86.7,2.1675,1.766383625,3.828636507
"BHA,LEE,SOU,WHU,WOL",8.3,9.3,10.3,7.7,9.8,5.9,9.2,5.6,9.4,10.9,86.4,2.16,1.772756799,3.829154685
"BHA,CHE,EVE,FUL,TOT",10.4,7.9,5.7,8.3,8.4,7.3,6.7,7.6,7.2,12.2,81.7,2.0425,1.875011111,3.829710194
"FUL,LEE,LIV,SHU,WOL",9.2,8.6,7.5,9.7,6.9,5.4,7.6,11.8,9.9,8.9,85.5,2.1375,1.792112348,3.830640143
"AVL,CHE,CRY,LEE,WOL",11.1,10.9,6.5,10.2,8.7,6,8.6,7.5,8.2,9.7,87.4,2.185,1.753219261,3.830784086
"BHA,CHE,CRY,MUN,WOL",9.7,11.3,8,7,6.4,7.1,9.6,6.9,6.9,10.9,83.8,2.095,1.828660712,3.831044192
"AVL,FUL,LEI,SOU,WOL",7.6,8.3,8.4,7.8,8.7,5.7,5.5,10.9,9.5,10.9,83.3,2.0825,1.839716162,3.831208907
"BHA,EVE,FUL,LIV,NEW",11,6.4,9.5,7.7,9.4,6.2,7.8,11.6,8.3,8.4,86.3,2.1575,1.775794032,3.831275624
"BHA,EVE,LEE,LIV,WBA",11.6,6.2,9.8,8.7,8.7,6,9.3,10,9.3,7.1,86.7,2.1675,1.767641241,3.831362389
"CHE,LIV,MUN,SOU,TOT",6.4,10.8,6.9,6.5,9.1,9.1,8.4,6.4,9,11.4,84,2.1,1.824524291,3.831501011
"ARS,AVL,CHE,CRY,LIV",7,12.1,7.6,8.1,9.8,7.2,11.1,7.7,7.6,9.2,87.4,2.185,1.753852901,3.83216859
"BHA,CHE,CRY,FUL,SHU",10.4,9.8,6,10.3,5.6,7.3,10.3,7.6,8.1,9.3,84.7,2.1175,1.809880291,3.832421516
"BHA,LEE,LEI,LIV,WHU",7.7,8.1,11.4,10.3,8,7.5,11.1,7.2,9.8,6.4,87.5,2.1875,1.751983003,3.83246282
"ARS,EVE,FUL,TOT,WOL",8.2,8.5,7.4,7.3,10.8,7.7,5.2,9.3,7.9,11.6,83.9,2.0975,1.827232273,3.832619692
"AVL,EVE,FUL,WHU,WOL",10,8.1,7.5,9.5,11,6.8,6.3,11.1,7,9.5,86.8,2.17,1.76622636,3.832711202
"BHA,EVE,MUN,SOU,WOL",10.4,6.7,8.7,5.6,9.1,7.1,7.7,9.1,6.7,11.6,82.7,2.0675,1.854154494,3.833464417
"BHA,CHE,LEE,LIV,SOU",8.1,9.7,8.4,5.9,9.2,5.9,10,5.9,9.6,10.7,83.4,2.085,1.8385985,3.833477873
"BHA,LEE,SHU,TOT,WOL",10.3,7.5,7.5,10.8,6.5,6.4,8.7,8.1,9.9,11.2,86.9,2.1725,1.764747385,3.833913694
"BHA,CHE,SHU,SOU,TOT",8.1,9.7,6.4,7.6,7.2,9.2,9.1,6,9.7,12,85,2.125,1.804315814,3.834171104
"AVL,CHE,CRY,LEI,WHU",7.1,11,7.8,11,8.8,10.4,10.1,6.7,7.7,6.7,87.3,2.1825,1.75755512,3.83586405
"BHA,EVE,LIV,MUN,WBA",11.6,6.2,9.8,8.7,7.5,7.2,9.3,11,7.1,7.8,86.2,2.155,1.780012484,3.835926904
"ARS,CHE,LEE,LEI,TOT",6.4,8.1,9.5,8.8,9.3,10.7,8.5,5.4,11.2,9.1,87,2.175,1.763834207,3.836339401
"CHE,CRY,EVE,NEW,SOU",8.7,9.6,7.1,5.2,11.7,9.9,8.2,7.1,9.2,7.4,84.1,2.1025,1.824798315,3.836638456
"CHE,EVE,LIV,TOT,WHU",6.5,11.6,7.1,7.7,10.9,10.7,8.5,7.4,8.2,7.8,86.4,2.16,1.776513439,3.837269029
"AVL,CHE,EVE,TOT,WOL",9.1,10,5.7,7.2,10.4,8.2,6.5,9.8,7.3,11,85.2,2.13,1.801727566,3.837679716
"BHA,EVE,FUL,LEI,WOL",9.8,6.7,9.6,7.2,6.5,6.2,5.6,11.4,7.9,9.4,80.3,2.0075,1.911979777,3.838299402
"AVL,CHE,EVE,FUL,LIV",9.8,8.5,5.8,7.7,10.4,6.8,7.8,11.6,6.8,9.3,84.5,2.1125,1.81735461,3.839161613
"BUR,CRY,LIV,MUN,SOU",10.2,11.3,8.6,7.6,6.9,7.6,11.2,7,7,9.8,87.2,2.18,1.761186469,3.839386502
"ARS,AVL,CRY,SOU,WOL",7.1,11.1,8.8,7.2,10.9,6.1,8.7,7.7,8.3,10.9,86.8,2.17,1.769369002,3.839530735
"EVE,SHU,TOT,WBA,WOL",9.8,8.3,7.2,8.8,7.1,8.7,5.7,11.7,10.7,7.8,85.8,2.145,1.790592701,3.840821344
"EVE,FUL,LEE,SOU,WHU",9.6,6.8,7.2,9.6,12.7,7.7,7.9,6.7,8.5,8.9,85.6,2.14,1.795178728,3.841682479
"BHA,CRY,EVE,LEI,MUN",11,5.5,8.8,9.4,5.9,8.8,10.3,8.6,6.6,6.7,81.6,2.04,1.883967445,3.843293588
"EVE,FUL,NEW,SHU,SOU",10.5,6.3,6.7,7.9,10.6,9.5,6.9,11.1,9.5,7.9,86.9,2.1725,1.769149199,3.843476635
"AVL,BHA,LEI,SHU,WOL",9.7,7,9.4,9.2,5.3,7.2,8.6,12,8.4,8.6,85.4,2.135,1.800740588,3.844581156
"EVE,LIV,MUN,NEW,WOL",9.7,7.3,9.2,6.1,9.6,9.1,7.6,12.5,7.7,7.8,86.6,2.165,1.775887884,3.84479727
"EVE,LEE,LIV,SOU,WOL",8.1,8.8,8.6,5,11.2,6.3,7.5,9.9,9.9,9.1,84.4,2.11,1.822208672,3.844860298
"ARS,BHA,EVE,LEE,LIV",9.9,6.2,9.8,7.1,11.2,7,11.3,8.3,8.2,8.6,87.6,2.19,1.75575245,3.845097866
"CHE,CRY,LEI,NEW,SOU",7,10.4,9.2,6.2,8.9,10.4,8,7.1,11.4,6.7,85.3,2.1325,1.803114589,3.845141862
"ARS,CRY,LEE,SOU,WOL",7.1,10.4,9.1,7.2,10.3,6.4,9.2,5.5,9.8,10.2,85.2,2.13,1.805423927,3.845552964
"EVE,LEI,SOU,WHU,WOL",6,9.4,10,5.7,10.8,9.7,6.5,8.9,9.5,7.3,83.8,2.095,1.835937544,3.846289155
"CHE,EVE,MUN,WBA,WHU",10,7.9,7.7,8.3,9.9,12.5,8.8,7.7,6.1,7.5,86.4,2.16,1.780886171,3.84671413
"BHA,LEI,MUN,WBA,WOL",9.8,7,12.1,8.7,6.3,7.7,7.1,10.3,9.4,8.8,87.2,2.18,1.764967737,3.847629666
"LEE,LIV,SHU,WBA,WOL",9.2,9.1,9,9.1,6.9,6.4,8.1,11.9,10.9,6.9,87.5,2.1875,1.758945391,3.847693043
"BHA,CRY,LIV,NEW,SOU",8.2,10.4,10.8,7.1,8.8,5.5,10.2,7.7,10.7,8.3,87.7,2.1925,1.755024533,3.847891288
"AVL,BHA,LEI,TOT,WOL",8.6,8.2,9.5,9.8,7,6.1,6.5,9.8,10.4,11.4,87.3,2.1825,1.763235662,3.848261832
"BUR,EVE,LEI,LIV,WBA",9.3,8.8,10.6,7.7,7,9.3,8.1,11.7,9.5,5.6,87.6,2.19,1.757649946,3.849253382
"AVL,CHE,FUL,SOU,WHU",7.8,10.1,6.7,8.9,11.7,8.4,7.7,6.7,7.3,11.1,86.4,2.16,1.782133553,3.849408474
"ARS,CHE,CRY,EVE,LEE",9.3,8.4,6.5,7.8,11.4,9.2,10.8,5.4,7.6,8.2,84.6,2.115,1.820378471,3.850100466
"CHE,FUL,LIV,MUN,WOL",8,11.3,7.5,6.4,7.9,7.1,6.9,10.1,7.1,11.3,83.6,2.09,1.842220882,3.850241643
"BHA,CRY,LIV,MUN,WBA",10.5,9.2,10.2,10.2,6.6,5.6,10.8,8.7,8,7.7,87.5,2.1875,1.760208321,3.850455702
"CRY,EVE,FUL,WBA,WOL",10.5,9.6,7.9,8.9,7.2,5.7,5.3,11,8.4,7.9,82.4,2.06,1.869164995,3.850479889
"AVL,BHA,CHE,WBA,WOL",10.3,10.4,9.4,7,7.7,5.7,7.1,9.8,7.7,11,86.1,2.1525,1.789133869,3.851110652
"BUR,CHE,CRY,EVE,NEW",10.9,10.1,7.2,6.2,9,11,9.8,7.6,6.6,7.4,85.8,2.145,1.796787256,3.854108665
"ARS,CRY,EVE,LIV,WOL",7,11.6,9.3,5.5,10,7,9.1,10,8.3,7.7,85.5,2.1375,1.803237829,3.854420859
"AVL,CHE,FUL,NEW,SHU",10.9,6.8,5.6,9.9,8.9,10.1,7.8,10.9,7.8,8.8,87.5,2.1875,1.762101019,3.854595978
"CHE,EVE,FUL,SHU,WBA",11,7.3,5.6,8.8,7.3,10,6.8,11.1,7.8,7.3,83,2.075,1.857716639,3.854762026
"ARS,BHA,MUN,WBA,WOL",9.9,7.7,12.1,7.6,7,7.2,8.8,8.7,7.1,11,87.1,2.1775,1.77040485,3.855056561
"BHA,CHE,FUL,NEW,WOL",9.7,9.9,9.4,6,7.7,6.8,6.1,9.2,8.2,11.6,84.6,2.115,1.823427785,3.856549766
"FUL,MUN,SOU,TOT,WHU",7.9,8.8,7.1,11.1,9.9,8.8,7.3,6.1,8.3,11.7,87,2.175,1.773258144,3.856836463
"CHE,FUL,MUN,SHU,WBA",11,7.1,5.9,10.3,6.6,10.5,7.8,9.7,7.1,8.8,84.8,2.12,1.819523747,3.857390344
"ARS,AVL,CHE,EVE,WBA",9.9,7.5,8,6.7,12.6,9.5,8.3,9.4,6.7,9,87.6,2.19,1.761438806,3.857550985
"CRY,EVE,LEI,SHU,WOL",8.6,8.7,7.7,8.3,5.3,9.2,8.1,11.6,8.9,5,81.4,2.035,1.895726187,3.857802791
"FUL,LIV,MUN,SHU,WOL",9.2,8.6,7.5,9.1,6.4,7.1,7.6,12.8,7.8,9.6,85.7,2.1425,1.800648031,3.857888407
"AVL,EVE,FUL,LEI,WHU",9.5,6.3,7.6,11.2,10.5,9,7.3,10.6,7,6.8,85.8,2.145,1.798641463,3.858085937
"LEE,LEI,MUN,WBA,WOL",11.2,5.9,10.3,9.3,6.9,8.6,7.1,9.7,10.5,7.6,87.1,2.1775,1.772286659,3.859154199
"BUR,EVE,LEI,LIV,WOL",8,10.3,9.9,6,6.8,8.6,7.4,12.1,7.8,7.6,84.5,2.1125,1.827110652,3.859771252
"BHA,CRY,LEE,LIV,SOU",8.8,9.7,9,9.2,8.1,5.4,11.2,6,10.2,9.1,86.7,2.1675,1.780792583,3.859867923
"CHE,EVE,LEE,LEI,WHU",8.2,7.2,7.7,8.4,10.4,12.3,9.1,6.6,8.3,6.1,84.3,2.1075,1.831847883,3.860619414
"ARS,CHE,EVE,MUN,WBA",9.9,6.8,8.3,6.7,10.8,11.5,8.8,8.1,6,9,85.9,2.1475,1.797807306,3.860791191
"CHE,LEI,MUN,WHU,WOL",6.4,10.7,9.2,7.1,7.4,12.3,7.9,7.6,7.1,8.3,84,2.1,1.838477631,3.860803025
"EVE,LEE,LIV,MUN,TOT",11.8,5.6,6.5,10.4,9.6,8.5,9.2,8.7,8.2,8.6,87.1,2.1775,1.773540088,3.861883542
"FUL,LEI,MUN,WBA,WOL",9.3,7.1,10,9.3,6.9,7.8,5.1,11.4,9.5,8.8,85.2,2.13,1.813406861,3.862556614
"EVE,LEE,SOU,TOT,WOL",8.7,7.8,7.1,7.3,11.4,7.4,6.1,7.6,10.5,10.9,84.8,2.12,1.821964751,3.862565273
"CRY,EVE,NEW,WBA,WOL",10.4,9.1,10,7.3,8.9,7.7,6.3,11,10.1,5.9,86.7,2.1675,1.782040029,3.862571764
"AVL,CHE,FUL,LIV,MUN",11.2,8.3,6.1,9.2,8.6,7.3,8.6,10.2,6.1,10.8,86.4,2.16,1.788357409,3.862852003
"CRY,FUL,MUN,NEW,WBA",11.7,6.8,8.8,11.6,7.2,7.9,7.5,9.7,8.9,7.4,87.5,2.1875,1.765880328,3.862863218
"ARS,AVL,BHA,CHE,CRY",9.3,10,8.3,8.7,8.9,6.8,11.8,6,7.1,10.4,87.3,2.1825,1.770153791,3.863360649
"BHA,CRY,FUL,LEI,WHU",8.4,9.3,10.1,12.1,6.1,6.8,9.8,7.3,8.3,7.3,85.5,2.1375,1.807545912,3.863629386
"CHE,EVE,SOU,TOT,WBA",8.2,9.5,6.6,6.2,11.1,9.3,6.8,7.2,11,9.6,85.5,2.1375,1.807545912,3.863629386
"BHA,FUL,LEE,LEI,WOL",9.8,6.5,9.9,9.3,6.5,5,6.6,9.2,9.4,10.2,82.4,2.06,1.875692465,3.863926477
"FUL,LEE,LIV,SOU,WOL",7.6,9.8,8.6,7.1,9.1,5.4,6.5,9.2,10.4,11.2,84.9,2.1225,1.820531058,3.864077171
"EVE,FUL,MUN,SOU,TOT",10,6.8,6.2,9,10.4,8.3,6.3,8.1,7.8,11.7,84.6,2.115,1.827080245,3.864274718
"CHE,FUL,LEE,NEW,TOT",9.8,7.3,6,10.5,10,8.8,6.7,7,10.5,10.4,87,2.175,1.777013725,3.865004851
"BUR,CHE,LEI,MUN,SOU",9.5,9.1,8,6.1,7,11.9,9,6.9,7,10.4,84.9,2.1225,1.821141278,3.865372363
"CHE,EVE,LEI,WBA,WOL",8,9.8,9.5,5.6,7.6,9.8,6.1,10.9,10,6.8,84.1,2.1025,1.838749575,3.865970982
"AVL,CHE,CRY,LEI,SHU",8.6,9.2,6,10.9,6,10.4,10.1,9.3,8.2,6.5,85.2,2.13,1.815244091,3.866469915
"ARS,CHE,EVE,FUL,LEE",9.9,6.3,6.1,7.3,12,8.8,8.3,7,7.2,9.8,82.7,2.0675,1.87026439,3.866771627
"ARS,CHE,FUL,LEE,WHU",7.8,8.9,7.7,9.4,11.1,9.8,10.4,5,7.7,9.8,87.6,2.19,1.765848867,3.867209019
"CHE,CRY,LEE,LIV,SHU",8.6,10.7,6.3,10.2,7,8.5,11.6,8,9.6,6.8,87.3,2.1825,1.772035866,3.867468278
"ARS,BHA,FUL,LEI,MUN",9.4,6.5,11.9,9.3,6.5,8.4,9.3,8.6,6.6,10.4,86.9,2.1725,1.780418178,3.867958492
"BUR,CRY,EVE,SHU,WOL",10.9,10.4,7.2,7.7,5.4,8.7,9.9,10.5,7.3,7.7,85.7,2.1425,1.805577778,3.868450389
"CHE,EVE,SHU,WBA,WOL",9.7,9.8,7.1,6.1,7.1,10.3,6.6,11.6,8.3,7.3,83.9,2.0975,1.844782432,3.869431152
"CRY,EVE,LEE,SOU,TOT",9.4,7.8,6.6,10.6,11,7.5,8.3,5.5,10.4,8.8,85.9,2.1475,1.802128371,3.870070677
"ARS,CHE,LEI,LIV,MUN",5.8,9.1,11,6.5,7.9,11.3,9.9,8,7.4,8.6,85.5,2.1375,1.810616838,3.870193491
"BUR,FUL,SHU,SOU,WOL",9.3,10.3,7.7,7.1,6,7.2,7.3,9.8,7.9,12,84.6,2.115,1.830118393,3.870700402
"CHE,EVE,FUL,SHU,WOL",9.7,9.3,5.6,6.6,7.1,9.3,6.1,11.5,7.8,9.3,82.3,2.0575,1.881518299,3.871223901
"BHA,BUR,CHE,EVE,WBA",12.1,8.9,8.9,6.6,7.3,8.9,9.3,8.2,6.1,10.5,86.8,2.17,1.784376642,3.872097313
"BHA,LIV,MUN,WBA,WOL",9.8,9.2,11.3,8,7,5.5,8.1,10.8,8.1,9.8,87.6,2.19,1.768363965,3.872717082
"AVL,EVE,SHU,SOU,WOL",9.8,7.3,6.7,6.7,10.3,7.7,7.2,12.2,8,9.3,85.2,2.13,1.818302016,3.872983295
"ARS,BHA,CHE,CRY,LEE",9.3,9.3,8.6,8.7,8.3,7.1,12.3,5.4,8,9.7,86.7,2.1675,1.788264211,3.876062678
"EVE,FUL,MUN,WBA,WHU",11.3,6.3,7.9,11.1,9.4,9.5,7.5,9.4,6.3,7.5,86.2,2.155,1.798641463,3.876072352
"ARS,LEE,LEI,TOT,WOL",6.4,8.1,11.2,8.8,8.6,8.5,7,7.1,11.9,9.6,87.2,2.18,1.778138852,3.876342698
"EVE,FUL,SOU,TOT,WHU",7.9,9,6.8,9.6,12.2,8.3,6.3,6.8,9,10.2,86.1,2.1525,1.800894839,3.876426142
"BHA,CRY,LEI,NEW,WOL",8.6,9.3,12.1,7.7,5.9,7.1,8.1,9.3,10.5,7.2,85.8,2.145,1.807269272,3.876592589
"CHE,EVE,FUL,MUN,TOT",10.4,6.8,5.7,8.9,8.8,9.9,6.7,8,6.1,11.1,82.4,2.06,1.882197297,3.877326433
"ARS,BHA,CRY,EVE,SOU",8.9,8.4,9.4,6.2,11.4,7.2,10.9,6.1,7.7,9.5,85.7,2.1425,1.809880291,3.877668523
"BUR,CRY,FUL,LEI,TOT",8.8,10.3,7.3,12.1,6.1,7.8,7.7,7.7,9.8,9.9,87.5,2.1875,1.772788137,3.877974049
"BUR,CHE,EVE,LEI,WOL",8.5,10.8,8.3,5,7,10.8,6.9,9.7,6.7,8.8,82.5,2.0625,1.880455028,3.878438495
"BHA,CRY,EVE,MCI,WOL",11.5,10.4,9.3,6.5,7.5,5.9,8.1,10.5,8.3,8.2,86.2,2.155,1.799876539,3.878733941
"ARS,BUR,CHE,EVE,WBA",9.9,9.5,9,5.6,10.4,11,9.4,7.7,6.1,9,87.6,2.19,1.772129917,3.880964519
"BHA,CHE,LEE,LIV,WOL",8.5,11.2,9,5.8,8,5.3,8.9,8,9.1,10.6,84.4,2.11,1.839806753,3.881992249
"CRY,EVE,SHU,WBA,WOL",10.4,9.4,7.7,8.8,6,7.7,7.8,11.7,8.9,5.7,84.1,2.1025,1.846588446,3.882452208
"BHA,CRY,LIV,MUN,WOL",9.2,10.8,9.6,8,6.4,4.9,10.1,9.1,7.6,9.7,85.4,2.135,1.818546428,3.882596624
"CHE,EVE,FUL,SOU,WHU",7.8,9.6,6.7,6.8,12.2,9.9,7.2,6.7,7.3,9.6,83.8,2.095,1.853405274,3.88288405
"BHA,FUL,LEE,LIV,WOL",9.8,8.7,9.2,8.6,7.5,4.5,7.6,9.7,9.3,11.2,86.1,2.1525,1.803977088,3.883060682
"LEI,MUN,TOT,WBA,WOL",8.1,8.1,9.9,9.3,6.9,9.2,5.5,9.8,12,8.8,87.6,2.19,1.774009896,3.885081672
"ARS,LEE,MUN,SOU,WOL",9.6,7.1,9,6.1,10.7,8,8.7,6.4,8.2,11.8,85.6,2.14,1.815488915,3.885146278
"ARS,BUR,EVE,FUL,WOL",9.9,9,8.5,5.6,9.7,8.3,7.4,9.8,6.3,11.6,86.1,2.1525,1.805208514,3.885711326
"EVE,LEE,LEI,SHU,WOL",9.7,5.4,7.6,8.3,6.9,9.6,7.6,11.5,9.5,5.9,82,2.05,1.895608961,3.88599837
"BHA,EVE,LEE,SHU,WOL",12,5.5,7.6,8.2,7,7,9.3,10.4,8.4,8.6,84,2.1,1.850525451,3.886103447
"ARS,BHA,EVE,LIV,WOL",8.1,9.4,11,5.5,10,6.5,9.1,10.5,7.8,9.8,87.7,2.1925,1.77266278,3.886563146
"ARS,CHE,CRY,EVE,MCI",9.3,11,7.6,5.5,11.3,9.7,9.6,7.8,7.6,7.7,87.1,2.1775,1.785403783,3.887716736
"AVL,CHE,CRY,FUL,WBA",10.5,10.1,6.2,11.5,7.9,5.9,7.3,8.8,7.7,8.9,84.8,2.12,1.834726743,3.889620696
"LEE,MUN,SOU,TOT,WOL",10.1,7.6,7.4,8.8,9.1,7.4,7.1,6.4,9.8,12.4,86.1,2.1525,1.807054079,3.889683905
"CHE,CRY,EVE,LEE,MCI",12.9,9.3,6.5,8.2,9.8,8.5,9.1,7.7,8.7,7,87.7,2.1925,1.774542194,3.890683761
"CRY,EVE,FUL,LEE,LEI",10.5,5.6,6.7,11.7,7.7,7.2,7.8,8.7,8.9,6,80.8,2.02,1.926309079,3.891144339
"CRY,EVE,LEI,MUN,WBA",10.5,6.1,8.9,10,6.5,9.9,8.3,9.8,8.9,5.2,84.1,2.1025,1.850795625,3.891297801
"ARS,BHA,CRY,LEE,WOL",9.3,9.3,10.3,8.7,7.6,5.4,10.8,6,8.7,10.2,86.3,2.1575,1.803730702,3.891548989
"AVL,CRY,LEE,LEI,SOU",10.2,7.1,7.6,12,9.3,6.6,9.2,7.1,10.4,7.5,87,2.175,1.789475404,3.892109004
"ARS,CRY,FUL,MUN,TOT",8.9,8.3,6.6,12.1,7.7,7.8,8.9,6.5,7.1,11,84.9,2.1225,1.833909001,3.892471854
"EVE,LEE,LIV,NEW,WOL",9.7,7.3,9.2,6.1,10.8,7.4,7.6,11.5,9.9,7.1,86.6,2.165,1.798270774,3.893256226
"CHE,FUL,LEE,MUN,WOL",11.7,8.1,6.4,8.2,8.1,7.6,7.1,7.9,7.1,11.8,84,2.1,1.854124531,3.893661516
"ARS,BUR,EVE,LEI,WOL",8.1,8.8,12,5.6,9,10.3,8.2,9.8,6.8,8.8,87.4,2.185,1.782133553,3.893961813
"ARS,BUR,FUL,WBA,WOL",9.4,10.5,10.7,7.1,7.2,7.3,6.9,9.4,7.3,11.6,87.4,2.185,1.782133553,3.893961813
"BHA,FUL,NEW,SHU,WOL",10.9,7.2,9.4,8.7,6,6.8,7.3,11.4,8.9,9.9,86.5,2.1625,1.80077144,3.894168238
"CHE,FUL,LEI,TOT,WHU",6.5,10.4,7.3,10.5,8.3,10.9,6.5,6.7,10.3,8.9,86.3,2.1575,1.804962296,3.894206153
"BUR,CRY,EVE,FUL,TOT",11.1,9.5,6.3,11.1,7.3,7.8,7.9,7.7,6.8,10.6,86.1,2.1525,1.809511905,3.894974375
"FUL,LEI,LIV,NEW,SOU",7,8.3,10.4,7.2,9.3,7.7,6.7,10.4,12.1,7.7,86.8,2.17,1.794931135,3.895000562
"CRY,EVE,LIV,NEW,WOL",8.6,10.6,9.3,6.1,9.2,7,7.6,11.6,9.3,6.2,85.5,2.1375,1.82223916,3.895036204
"CHE,EVE,FUL,NEW,WOL",9.7,9,7.3,5.1,10,8.9,5.8,10.8,7.8,9.5,83.9,2.0975,1.857387652,3.8958706
"ARS,BHA,CHE,SHU,TOT",8.1,9.2,7.6,8.1,7.2,10.3,11.3,6,8.1,11.4,87.3,2.1825,1.785154833,3.896100423
"BHA,LEE,LEI,MUN,WOL",11.7,5.3,10.2,8.7,6.3,7.5,8.6,8.5,8.2,9.6,84.6,2.115,1.842220882,3.896297165
"BUR,EVE,FUL,LEE,LIV",13,7.3,7.3,8.8,8.7,7.1,8.8,9.9,7.3,9.2,87.4,2.185,1.783380062,3.896685435
"BHA,CHE,LIV,SOU,WBA",7.6,11.4,10.2,5.9,8.2,6.1,8.5,7.7,10.1,9.9,85.6,2.14,1.820988742,3.896915909
"BHA,CRY,FUL,SHU,SOU",10,8.7,7.1,10.4,5.6,5.2,9.9,7.7,8.8,9.9,83.3,2.0825,1.871452199,3.897299205
"BHA,EVE,FUL,LEI,MUN",11.6,5.5,8.4,9.4,6.5,8.4,7.8,10.2,6.2,8.9,82.9,2.0725,1.880573199,3.897487954
"CHE,CRY,FUL,SHU,WOL",9.1,12.4,6,8.7,6,7.7,7.6,9.2,8.7,9.2,84.6,2.115,1.84282392,3.897572591
"CHE,FUL,LEI,WBA,WOL",8,10.8,9.5,7.1,7.1,7.8,5.1,10.4,10.5,8.8,85.1,2.1275,1.832090488,3.897772513
"AVL,CRY,FUL,LEI,NEW",9.9,6.8,8.5,12.2,8.3,7.4,7.3,10.4,9.6,6.7,87.1,2.1775,1.790375504,3.898542659
"BHA,BUR,CRY,LEI,SOU",8.8,10.2,10.4,7.7,5.5,7.2,10.7,6.6,8.7,10.3,86.1,2.1525,1.811353085,3.898937516
"CHE,LEE,LIV,NEW,SOU",7.5,9.3,8.4,5.5,11.5,8.6,9,7,11.2,8.6,86.6,2.165,1.801357513,3.899939015
"BUR,FUL,LEI,MUN,WOL",11.2,8.1,8.8,8.2,6.3,8.8,6.6,10.2,6.2,10.9,85.3,2.1325,1.828812608,3.899942887
"ARS,CHE,EVE,LEE,WOL",8.6,8.8,7.6,4.5,11.8,9.1,8.1,7.5,7.7,9.8,83.5,2.0875,1.868600189,3.900702895
"BUR,CHE,MUN,SOU,WBA",11.3,9.8,8,6.6,7.7,10.4,8.7,6.9,7,11.1,87.5,2.1875,1.783411213,3.901212029
"BHA,FUL,LEI,LIV,TOT",7.6,8.7,9.4,10.3,7,5.6,7,9.3,11.3,10.3,86.5,2.1625,1.804469759,3.902165854
"CRY,FUL,LEE,LEI,LIV",8.2,8.6,8.1,12,7,5.5,8.6,8.7,10.3,6.3,83.3,2.0825,1.873825558,3.902241725
"CHE,CRY,FUL,MCI,SOU",8.8,12.5,7.1,7.1,8.8,6.6,7,7.1,9.6,9.8,84.4,2.11,1.849444361,3.902327602
"BHA,EVE,LEE,SOU,WOL",10.4,6.7,8.7,5.6,10.3,5.9,7.7,8.1,8.9,10.9,83.2,2.08,1.876640023,3.903411249
"BUR,CRY,EVE,SOU,WHU",9,11.1,8.3,7.9,10.5,9.3,11,5.7,6.8,8,87.6,2.19,1.782756916,3.904237646
