COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"CHE,EVE,FUL,LIV,WHU",7.7,10.6,7.2,7.7,10.4,9.3,8.1,9,7.3,7.8,85.1,2.1275,1.245837514,2.650519311
"CHE,CRY,MUN,NEW,WOL",9.1,10.9,8,6.6,7.5,9.8,8.1,8,7.5,8.9,84.4,2.11,1.256273148,2.650736342
"BHA,CHE,EVE,LEI,MCI",10.3,8.1,9.3,6.5,8.1,9.7,7.9,9.9,8.6,7.1,85.5,2.1375,1.242980289,2.656870369
"CRY,LEI,MUN,NEW,SOU",8.2,7.1,9.7,8.4,8.2,10.3,8.7,8.1,10.4,6.7,85.8,2.145,1.238996009,2.65764644
"BHA,EVE,FUL,WHU,WOL",10,8.5,9.1,8.3,8.8,6.2,7.3,9.4,7.4,10.1,85.1,2.1275,1.249399856,2.658098193
"FUL,LEI,MCI,MUN,SOU",10.8,7.6,8.6,8.2,8,8.7,6.5,9.7,9.7,9.2,87,2.175,1.222929089,2.659870768
"BHA,CHE,FUL,NEW,SHU",10.9,7.2,7.7,8.7,6.7,9.5,8.8,9.2,8.2,9.4,86.3,2.1575,1.232927861,2.660041861
"BHA,EVE,MUN,WHU,WOL",10.5,7.3,9.4,7.7,8.6,8.7,9.3,8.7,6.2,9.5,85.9,2.1475,1.239578782,2.661995433
"CHE,LEI,MUN,SOU,WBA",7.6,8.1,9.2,7.2,7.6,10.9,7.5,8,10.3,8.3,84.7,2.1175,1.257908317,2.663620861
"BHA,CHE,LEI,MUN,SOU",8.1,7.5,9.1,6.6,7,9.8,9,6.9,8,10.4,82.4,2.06,1.293745639,2.665116016
"MUN,NEW,SHU,SOU,WOL",9.2,7.1,8.5,6.7,8.1,10.3,7.7,10.2,9.3,9.3,86.4,2.16,1.233963803,2.665361814
"AVL,CHE,CRY,NEW,WOL",9.1,11.6,7.7,7.7,9.3,7.8,7.6,9.2,8.2,8.9,87.1,2.1775,1.2242458,2.665795229
"BHA,CRY,LEI,MUN,SOU",8.8,7.5,9.7,8.8,5.9,7.7,10.2,7,8.6,8.8,83,2.075,1.284955684,2.666283045
"ARS,CRY,LEE,WBA,WOL",8.8,9.9,10.4,9.3,8.2,6.5,8.8,7.2,9.8,8.2,87.1,2.1775,1.225153052,2.66777077
"CHE,CRY,FUL,LEE,LEI",8.7,8.7,6.5,11,7.2,7.7,8.1,7,9.2,7.5,81.6,2.04,1.308264329,2.668859232
"ARS,CHE,CRY,EVE,FUL",8.8,9.6,6.2,7.3,10.4,8.4,8.8,7.1,7.2,8.9,82.7,2.0675,1.291897829,2.670998761
"EVE,FUL,LIV,MUN,WHU",9.5,7.4,7.7,9.9,9.7,8.8,8.8,10,6.3,7.8,85.9,2.1475,1.244052518,2.671602782
"ARS,CRY,FUL,SOU,WBA",8.4,10,9.5,8.9,9.5,6.3,7.9,7.2,9.8,9.5,87,2.175,1.229272594,2.673667893
"CHE,CRY,EVE,FUL,WBA",10.5,9.6,6.2,8.9,7.9,7.4,6.8,8.8,7.7,7.4,81.2,2.03,1.317236164,2.673989412
"AVL,BHA,CRY,LEI,SOU",8.8,8.2,9.4,9.9,7.7,5.7,9.7,7.7,9.3,8.8,85.2,2.13,1.257687472,2.678874316
"CHE,CRY,LEE,LEI,WOL",7.4,11.2,8,8.2,7,8,7.9,7,9.7,7.5,81.9,2.0475,1.309325526,2.680844015
"ARS,MUN,SHU,WBA,WOL",9.3,7.6,9.8,8.2,6.4,9.8,9.4,10.3,7.7,8.8,87.3,2.1825,1.228413611,2.681012706
"CRY,FUL,LEI,LIV,MUN",8.2,8.6,8.1,10.9,6.5,7.2,8.6,9.7,8.1,7,82.9,2.0725,1.296533841,2.687066385
"CHE,FUL,LEI,SHU,SOU",7.5,8.6,6.5,7.7,6.6,10.4,7,8.7,9.8,8.7,81.5,2.0375,1.319301162,2.688076117
"BHA,CHE,FUL,LEI,SOU",7.6,8.7,8.8,6.6,7.2,7.3,7,7.6,9.2,11,81,2.025,1.328323923,2.689855944
"ARS,CRY,EVE,LIV,TOT",7.1,10.5,7.7,8.8,10.7,8.1,9.7,7.9,8.7,7.7,86.9,2.1725,1.238682095,2.691036852
"AVL,BHA,CHE,EVE,LEI",10.3,6.2,7.9,7.2,8.8,8.9,8.6,9.8,6.7,8.3,82.7,2.0675,1.303030655,2.69401588
"CHE,EVE,FUL,LEE,LEI",9.8,5.6,6.1,8.4,8.8,9.3,7.1,8.6,8.3,7.6,79.6,1.99,1.354170513,2.694799321
"AVL,CHE,FUL,LIV,NEW",9.2,9,7.2,8.2,10.4,7.4,7.8,10.9,8.2,9.3,87.6,2.19,1.231259518,2.696458344
"LEE,MUN,SOU,WHU,WOL",9.7,8.2,9,8.3,10.2,8.5,8.7,6,8.3,10.3,87.2,2.18,1.238098901,2.699055604
