COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"ARS,AVL,WBA",1.4,1.5,1.5,1.4,2,1.5,1.5,1.4,1.5,1.5,15.2,1.52,0.1751190072,0.2661808909
"CRY,EVE,TOT",1.9,1,1.4,1.5,1.4,1.4,1.4,1.4,1.5,1.4,14.3,1.43,0.2162817093,0.3092828443
"AVL,CRY,SOU",1.4,1.5,1.5,0.9,1.4,1.4,1.9,1.4,1.5,1.4,14.3,1.43,0.2406010991,0.3440595717
"ARS,CRY,EVE",1.4,1,1.5,1.4,1.4,1.4,2,1.4,1.5,1.4,14.4,1.44,0.2412928143,0.3474616526
"ARS,AVL,LEI",1.3,1.5,1.5,1.4,1.3,1.5,1.8,1.4,1.5,0.8,14,1.4,0.2538591035,0.3554027449
"CRY,EVE,LIV",1.3,1,1.5,1.5,1.4,1.3,2,1.4,1.5,1.4,14.3,1.43,0.2496664441,0.3570230151
"CRY,EVE,LEI",1.3,1,1.5,1.5,1.3,1.4,1.8,1.4,1.5,0.8,13.5,1.35,0.2798809271,0.3778392515
"CRY,EVE,SOU",1.4,1,1.5,0.9,1.4,1.4,1.9,1.4,1.5,1.4,13.8,1.38,0.2740640639,0.3782084082
"BHA,EVE,TOT",1.9,1,1.4,1.5,1.4,0.9,1.4,1.4,1.5,1.5,13.9,1.39,0.2766867463,0.3845945773
"AVL,SOU,WBA",1.4,1.5,1.5,0.9,2,1.5,1.5,1.4,1.5,1.5,14.7,1.47,0.2626785107,0.3861374108
"ARS,CRY,NEW",1.4,1.5,1.9,1.4,1.4,1.4,2,1.4,1.9,1.4,15.7,1.57,0.2540778533,0.3989022297
"CRY,EVE,WHU",1.5,1,1.5,1.5,1.4,1.4,2,1,1.5,1.4,14.2,1.42,0.282055944,0.4005194405
"AVL,LEI,SOU",1.3,1.5,1.5,0.9,1.3,1.5,1.8,1.4,1.5,0.8,13.5,1.35,0.2990726407,0.403748065
"AVL,CHE,LEI",1.3,1.5,1.3,0.8,1.3,1.5,1.8,1.3,1.5,0.8,13.1,1.31,0.3107338983,0.4070614068
"ARS,BHA,EVE",1.4,1,1.5,1.4,1.4,0.9,2,1.4,1.5,1.5,14,1.4,0.298142397,0.4173993558
"CRY,EVE,WOL",1.8,1,1.5,0.8,1.4,1.3,0.8,1.4,1.5,1.4,12.9,1.29,0.3247221034,0.4188915134
"AVL,CRY,WOL",1.8,1.5,1.5,0.8,1.4,1.3,0.8,1.4,1.5,1.4,13.4,1.34,0.3134042473,0.4199616914
"AVL,SHU,SOU",1.4,1.5,1.3,0.9,0.8,1.5,1.9,1.4,1.5,1.3,13.5,1.35,0.313581462,0.4233349738
"ARS,EVE,FUL",1.4,1,1.5,1.4,2,1,1,1.4,1.5,1.5,13.7,1.37,0.3093002856,0.4237413913
"BHA,EVE,SOU",1.4,1,1.5,0.9,1.4,0.9,1.9,1.4,1.5,1.5,13.4,1.34,0.3169297153,0.4246858185
"ARS,EVE,WOL",1.4,1,1.5,0.8,1.8,1.3,0.8,1.4,1.5,1.5,13,1.3,0.3299831646,0.4289781139
"EVE,SOU,WOL",1.4,1,1.5,0.8,1.8,1.3,0.8,1.4,1.5,1.5,13,1.3,0.3299831646,0.4289781139
"EVE,WHU,WOL",1.5,1,1.5,0.8,1.8,1.3,0.8,1,1.5,1.5,12.7,1.27,0.3465704995,0.4401445343
"CHE,FUL,LEI",1.3,1.8,1.3,0.8,1.3,1,1,1.3,1.8,0.8,12.4,1.24,0.3565264522,0.4420928007
"ARS,EVE,WBA",1.4,1,1.5,1.4,2,2,1.5,1.4,1.5,1.5,15.2,1.52,0.2936362073,0.4463270351
"AVL,WHU,WOL",1.5,1.5,1.5,0.8,1.8,1.3,0.8,1,1.5,1.5,13.2,1.32,0.339280284,0.4478499749
"EVE,FUL,SOU",1.4,1,1.5,0.9,2,1,1,1.4,1.5,1.5,13.2,1.32,0.3425395354,0.4521521868
"BHA,EVE,WHU",1.5,1,1.5,1.5,1.4,0.9,2,1,1.5,1.5,13.8,1.38,0.3293090409,0.4544464765
"EVE,FUL,WHU",1.5,1,1.5,1.5,2,1,1,1,1.5,1.5,13.5,1.35,0.3374742789,0.4555902765
"ARS,FUL,SHU",1.4,1.8,1.3,1.4,0.8,1,1,1.4,1.9,1.3,13.3,1.33,0.3433495142,0.4566548539
"CHE,LEI,WOL",1.3,1.8,1.3,0.8,1.3,1.3,0.8,1.3,1.8,0.8,12.5,1.25,0.3689323937,0.4611654921
"ARS,CRY,FUL",1.4,2,1.5,1.4,1.4,1,1,1.4,1.9,1.4,14.4,1.44,0.3204163958,0.4613996099
"ARS,FUL,LEI",1.3,1.8,1.5,1.4,1.3,1,1,1.4,1.9,0.8,13.4,1.34,0.3470510689,0.4650484324
"AVL,CHE,WBA",1.8,1.5,1.3,0.8,2,1.5,1.5,1.3,1.5,1.5,14.7,1.47,0.3164033993,0.465112997
"ARS,FUL,NEW",1.4,1.5,1.5,1.4,2,1,1,1.4,1.9,1.5,14.6,1.46,0.3204163958,0.4678079378
"EVE,LEE,LEI",1.3,0.8,1.5,1.5,1.3,1.8,1.8,1.3,1.5,0.8,13.6,1.36,0.3470510689,0.4719894537
"CHE,EVE,WOL",1.8,1,1.3,0.8,1.8,1.3,0.8,1.3,1.5,1.5,13.1,1.31,0.3604010112,0.4721253247
"CHE,CRY,EVE",1.8,1,1.3,0.8,1.4,1.4,2,1.3,1.5,1.4,13.9,1.39,0.3446415207,0.4790517137
"EVE,TOT,WOL",1.8,1,1.4,0.8,1.8,1.3,0.8,1.4,1.5,1.5,13.3,1.33,0.3622460797,0.4817872859
"EVE,LIV,TOT",1.3,1,1.4,1.5,2.3,1.3,1.4,1.4,1.5,1.5,14.6,1.46,0.3306559138,0.4827576342
"EVE,LEI,SOU",1.3,1,1.5,0.9,1.3,1.9,1.8,1.4,1.5,0.8,13.4,1.34,0.3627058802,0.4860258795
"BHA,LIV,TOT",1.3,1.9,1.4,1.8,1.4,0.9,1.4,1.4,1.9,1.8,15.2,1.52,0.3224903099,0.4901852711
"BUR,EVE,LIV",1.3,1,1.5,1.5,1.4,1.3,2,1.9,0.9,1.5,14.3,1.43,0.3433495142,0.4909898053
"AVL,LIV,TOT",1.3,1.5,1.4,1.8,2.3,1.3,1.4,1.4,1.5,1.8,15.7,1.57,0.3128720008,0.4912090413
"EVE,SOU,WBA",1.4,1,1.5,0.9,2,1.9,1.5,1.4,1.5,1.5,14.6,1.46,0.3373096171,0.4924720409
"BHA,EVE,LEI",1.3,1,1.5,1.5,1.3,0.9,1.8,1.9,1.5,0.8,13.5,1.35,0.3659083067,0.493976214
"BHA,EVE,LIV",1.3,1,1.5,1.5,1.4,0.9,2,1.9,1.5,1.5,14.5,1.45,0.340750805,0.4940886673
"EVE,TOT,WBA",1.9,1,1.4,1.5,2,2,1.4,1.4,1.5,1.5,15.6,1.56,0.3169297153,0.4944103559
"CHE,CRY,NEW",1.8,1.5,1.3,0.8,1.4,1.4,2,1.3,1.8,1.4,14.7,1.47,0.3368151488,0.4951182687
"CHE,LEI,LIV",1.3,1.8,1.3,0.8,1.3,1.3,1.8,1.3,1.8,0.8,13.5,1.35,0.3689323937,0.4980587315
"BUR,EVE,SOU",1.4,1,1.5,0.9,1.4,1.9,1.9,1.4,0.9,1.5,13.8,1.38,0.3614784456,0.498840255
"CRY,MUN,WOL",1.8,0.8,1.8,0.8,1.4,1.3,0.8,1.4,0.8,1.4,12.3,1.23,0.405654478,0.498955008
"FUL,SHU,SOU",1.4,1.8,1.3,0.9,0.8,1,1,1.4,2,1.3,12.9,1.29,0.3871548642,0.4994297748
"BHA,NEW,TOT",1.9,1.5,1.4,2,1.4,0.9,1.4,1.4,1.9,1.5,15.3,1.53,0.3267686916,0.4999560981
"EVE,WBA,WHU",1.5,1,1.5,1.5,2,2,1.5,1,1.5,1.5,15,1.5,0.3333333333,0.5
"EVE,FUL,TOT",1.9,1,1.4,1.5,2,1,1,1.4,1.5,1.5,14.2,1.42,0.3521363372,0.5000335989
"ARS,SHU,WOL",1.4,1.8,1.3,0.8,0.8,1.3,0.8,1.4,1.9,1.3,12.8,1.28,0.391010088,0.5004929126
"CHE,CRY,LEI",1.3,1.8,1.3,0.8,1.3,1.4,1.8,1.3,1.8,0.8,13.6,1.36,0.3687817783,0.5015432185
"EVE,SHU,SOU",1.4,1,1.3,0.9,0.8,1.9,1.9,1.4,1.5,1.3,13.4,1.34,0.3747591819,0.5021773038
"CRY,MUN,SOU",1.4,0.8,1.8,0.9,1.4,1.4,1.9,1.4,0.8,1.4,13.2,1.32,0.382390144,0.5047549901
"LIV,MUN,TOT",1.3,0.8,1.4,1.8,1.8,1.3,1.4,1.4,0.8,1.8,13.8,1.38,0.3675746334,0.5072529941
"MUN,WHU,WOL",1.5,0.8,1.8,0.8,1.8,1.3,0.8,1,0.8,1.5,12.1,1.21,0.4201851444,0.5084240247
"CHE,EVE,FUL",1.8,1,1.3,0.8,2,1,1,1.3,1.5,1.5,13.2,1.32,0.3852848874,0.5085760513
"FUL,LEI,SOU",1.3,1.8,1.5,0.9,1.3,1,1,1.4,2,0.8,13,1.3,0.3915780041,0.5090514054
