COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"CRY,EVE",2.5,1,1.5,1.5,1.4,1.4,2,1.4,1.5,1.4,15.6,1.56,0.4087922591,0.6377159242
"CRY,NEW",2.5,1.5,1.9,2,1.4,1.4,2,1.4,2.4,1.4,17.9,1.79,0.4306326096,0.7708323712
"SHU,SOU",1.4,1.8,1.3,0.9,0.8,1.9,1.9,1.4,2.5,1.3,15.2,1.52,0.5116422361,0.7776961989
"CHE,WBA",1.8,2.5,1.3,0.8,2,2,1.5,1.3,1.8,1.5,16.5,1.65,0.474341649,0.7826637209
"EVE,TOT",1.9,1,1.4,1.5,2.5,2.4,1.4,1.4,1.5,1.5,16.5,1.65,0.474341649,0.7826637209
"CRY,LEI",1.3,1.8,1.9,2.5,1.3,1.4,1.8,1.4,2.4,0.8,16.6,1.66,0.5253570215,0.8720926556
"LEE,WOL",1.8,0.8,1.8,0.8,1.8,1.3,0.8,1.3,2.5,2.3,15.2,1.52,0.6196773354,0.9419095498
"ARS,FUL",1.4,2,1.5,1.4,2,1,1,1.4,1.9,3,16.6,1.66,0.594792214,0.9873550752
"CHE,LEE",1.8,0.8,1.3,0.8,2.5,1.8,2.3,1.3,1.8,2.3,16.7,1.67,0.6074537019,1.014447682
"FUL,LIV",1.3,2,1.5,1.8,2,1,1,3,2,1.8,17.4,1.74,0.5910442736,1.028417036
"LIV,MUN",1.3,0.8,1.8,1.8,1.8,1.3,2.8,2.3,0.8,1.8,16.5,1.65,0.6258327785,1.032624085
"CRY,SOU",1.4,3,1.9,0.9,1.4,1.4,1.9,1.4,2.4,1.4,17.1,1.71,0.6100091074,1.043115574
"CHE,FUL",1.8,2,1.3,0.8,2,1,1,1.3,1.8,3,16,1.6,0.6582805886,1.053248942
"MUN,SOU",1.4,0.8,1.8,0.9,1.8,1.9,1.9,1.4,0.8,3,15.7,1.57,0.6717307662,1.054617303
"AVL,LEI",1.3,1.5,1.5,2.5,1.3,1.5,1.8,3,1.5,0.8,16.7,1.67,0.6342975117,1.059276845
"BHA,CHE",1.8,1.9,1.3,0.8,1.4,0.9,2.3,1.3,1.8,3,16.5,1.65,0.6620674689,1.092411324
"CHE,EVE",1.8,1,1.3,0.8,2.5,3,2,1.3,1.5,1.5,16.7,1.67,0.6766748768,1.130047044
"BHA,LIV",1.3,1.9,2.9,1.8,1.4,0.9,2.8,1.9,1.9,1.8,18.6,1.86,0.616801787,1.147251324
"FUL,LEI",1.3,1.8,1.5,2.5,1.3,1,1,3,2,0.8,16.2,1.62,0.7083627445,1.147547646
"LEE,LEI",1.3,0.8,1.8,2.5,1.3,1.8,1.8,1.3,3,0.8,16.4,1.64,0.7011102307,1.149820778
"MUN,WOL",1.8,0.8,1.8,0.8,1.8,1.3,0.8,2.3,0.8,3,15.2,1.52,0.7568942389,1.150479243
"AVL,CHE",1.8,1.5,1.3,0.8,2.5,1.5,2.3,1.3,1.5,3,17.5,1.75,0.6603870919,1.155677411
"BUR,LEI",1.3,1.8,2.5,1.9,1.3,3,1.8,1.9,0.9,0.8,17.2,1.72,0.6828046736,1.174424039
"CRY,WBA",2.5,2.5,1.9,3,1.4,1.4,1.5,1.4,2.4,1.4,19.4,1.94,0.6077280093,1.178992338
"ARS,TOT",1.4,2.5,1.4,1.4,2.5,2.4,1.4,1.4,1.9,3,19.3,1.93,0.6165315167,1.189905827
"ARS,MCI",1.4,2.5,2.9,1.4,2.9,2.3,1.8,1.4,1.9,1.8,20.3,2.03,0.5888784066,1.195423165
"EVE,WOL",1.8,1,1.5,0.8,1.8,1.3,0.8,3.5,1.5,1.5,15.5,1.55,0.7763876466,1.203400852
"CHE,LEI",1.3,1.8,1.3,0.8,1.3,3.5,1.8,1.3,1.8,0.8,15.7,1.57,0.7717944459,1.21171728
"LIV,TOT",1.3,3,1.4,1.8,2.3,1.3,1.4,1.4,2.9,1.8,18.6,1.86,0.6535373831,1.215579533
"ARS,LIV",1.3,2.5,2.9,1.4,2.3,1.3,2.8,1.4,1.9,1.8,19.6,1.96,0.6257440016,1.226458243
"BUR,WBA",3.1,2.5,2.5,1.9,1.4,2,1.5,1.9,0.9,1.5,19.2,1.92,0.6442911695,1.237039045
"LEE,LIV",1.3,0.8,1.8,1.8,2.3,1.3,2.8,1.3,2.9,1.8,18.1,1.81,0.6838615844,1.237789468
"EVE,LEI",1.3,1,1.5,1.5,1.3,3,1.8,3,1.5,0.8,16.7,1.67,0.7543208866,1.259715881
"ARS,CRY",1.4,2.5,1.9,1.4,1.4,1.4,3.5,1.4,1.9,1.4,18.2,1.82,0.6957010852,1.266175975
"BHA,EVE",3.6,1,1.5,1.5,1.4,0.9,2,1.9,1.5,1.5,16.8,1.68,0.7539525479,1.26664028
"CRY,MCI",2.5,3.4,1.9,1.8,1.4,1.4,1.8,1.4,2.4,1.4,19.4,1.94,0.6552353267,1.271156534
"FUL,NEW",3,1.5,1.5,2,2,1,1,3,2,1.5,18.5,1.85,0.7090682462,1.311776255
"EVE,FUL",3.1,1,1.5,1.5,2,1,1,3,1.5,1.5,17.1,1.71,0.7723700898,1.320752853
"EVE,WBA",3.1,1,1.5,1.5,2,2,1.5,3.1,1.5,1.5,18.7,1.87,0.7071853442,1.322436594
"FUL,WHU",1.5,2,1.5,3.6,2,1,1,1,2,1.5,17.1,1.71,0.7795297728,1.332995911
"FUL,SOU",1.4,2,1.5,0.9,2,1,1,1.4,2,3.6,16.8,1.68,0.7969385868,1.338856826
"ARS,LEE",1.4,0.8,1.8,1.4,3,1.8,3,1.3,1.9,2.3,18.7,1.87,0.7196449742,1.345736102
"FUL,MCI",3.1,2,1.5,1.8,2,1,1,3,2,1.8,19.2,1.92,0.7052186422,1.354019793
"LEI,SOU",1.3,1.8,2.4,0.9,1.3,1.9,1.8,1.4,3.5,0.8,17.1,1.71,0.792254168,1.354754627
"BUR,NEW",3,1.5,2.5,1.9,1.4,3,2,1.9,0.9,1.5,19.6,1.96,0.693140999,1.358556358
"EVE,LIV",1.3,1,1.5,1.5,2.3,1.3,2,3.7,1.5,1.5,17.6,1.76,0.7734482673,1.36126895
"CHE,MCI",1.8,3.4,1.3,0.8,2.5,2.3,1.8,1.3,1.8,1.8,18.8,1.88,0.7254117605,1.36377411
"AVL,LIV",1.3,1.5,1.5,1.8,2.3,1.3,2.5,3.6,1.5,1.8,19.1,1.91,0.7171703656,1.369795398
"SHU,WOL",1.8,1.8,1.3,0.8,0.8,1.3,0.8,3.5,2.5,1.3,15.9,1.59,0.862103371,1.37074436
"LIV,SOU",1.3,3,2.4,0.9,2.3,1.3,1.9,1.4,2.9,1.8,19.2,1.92,0.7146094504,1.372050145
"WBA,WHU",1.5,2.5,3.1,3,2,2,1.5,1,2,1.5,20.1,2.01,0.6838615844,1.374561785
"ARS,WBA",1.4,2.5,3.7,1.4,2,2,1.5,1.4,1.9,1.5,19.3,1.93,0.7211872927,1.391891475
"LIV,NEW",1.3,1.5,2.9,1.8,2.3,1.3,2,3,2.9,1.5,20.5,2.05,0.6835365551,1.401249938
"LEE,SOU",1.4,0.8,1.8,0.9,3,1.8,1.9,1.3,3,2.3,18.2,1.82,0.7714344503,1.4040107
"CHE,SOU",1.4,3,1.3,0.8,2.5,1.9,1.9,1.3,1.8,3,18.9,1.89,0.7430417963,1.404348995
"CHE,NEW",1.8,1.5,1.3,0.8,2.5,3.6,2,1.3,1.8,1.5,18.1,1.81,0.7781031066,1.408366623
"CRY,FUL",2.5,2,1.5,3.6,1.4,1,1,1.4,2,1.4,17.8,1.78,0.7927448798,1.411085886
"BHA,SOU",1.4,1.9,2.4,0.9,1.4,0.9,1.9,1.4,1.9,3.6,17.7,1.77,0.7972870667,1.411198108
"SOU,WBA",1.4,2.5,2.4,0.9,2,1.9,1.5,1.4,3.5,1.5,19,1.9,0.7453559925,1.416176386
"BHA,CRY",2.5,1.9,1.9,2.4,1.4,0.9,3.5,1.4,1.9,1.4,19.2,1.92,0.7390684828,1.419011487
"CRY,MUN",2.5,0.8,1.8,3,1.4,1.4,3,1.4,0.8,1.4,17.5,1.75,0.8154753215,1.427081813
"MUN,TOT",1.9,0.8,1.4,3,1.8,2.4,1.4,1.4,0.8,3,17.9,1.79,0.7978443179,1.428141329
"BHA,LEI",1.3,1.8,3.6,2.4,1.3,0.9,1.8,1.9,1.9,0.8,17.7,1.77,0.8111035007,1.435653196
"SHU,TOT",1.9,1.8,1.3,3.5,0.8,2.4,1.4,1.4,2.5,1.3,18.3,1.83,0.7860590874,1.43848813
"NEW,WOL",1.8,1.5,3,0.8,1.8,1.3,0.8,3,2.5,1.5,18,1.8,0.8027729719,1.444991349
"NEW,TOT",1.9,1.5,1.4,2,2.5,2.4,1.4,1.4,3.7,1.5,19.7,1.97,0.7364328437,1.450772702
"ARS,WOL",1.4,2.5,3,0.8,1.8,1.3,0.8,1.4,1.9,3,17.9,1.79,0.813019065,1.455304126
"LEI,WOL",1.3,1.8,3,0.8,1.3,1.3,0.8,3,2.5,0.8,16.6,1.66,0.8771164879,1.45601337
"MCI,TOT",1.9,3,1.4,1.8,2.5,2.3,1.4,1.4,3.4,1.8,20.9,2.09,0.6983313445,1.45951251
