COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"MUN,WBA",3.1,0.8,1.8,3,1.8,2,1.5,2.3,0.8,1.5,18.6,1.86,0.786271087,1.462464222
"CHE,TOT",1.8,3,1.3,0.8,2.5,2.4,1.4,1.3,1.8,3,19.3,1.93,0.7616502551,1.469984992
"LIV,WBA",1.3,2.5,2.9,1.8,2,1.3,1.5,3.1,2.9,1.5,20.8,2.08,0.709929574,1.476653514
"LEI,LIV",1.3,1.8,2.9,1.8,1.3,1.3,1.8,3,2.9,0.8,18.9,1.89,0.7837941907,1.48137102
"LEI,MUN",1.3,0.8,1.8,2.5,1.3,3.5,1.8,2.3,0.8,0.8,16.9,1.69,0.8824838683,1.491397737
"AVL,WBA",3.1,1.5,1.5,3,2,1.5,1.5,3.1,1.5,1.5,20.2,2.02,0.7390684828,1.492918335
"BHA,MCI",3.6,1.9,2.9,1.8,1.4,0.9,1.8,1.9,1.9,1.8,19.9,1.99,0.7519604008,1.496401198
"AVL,SOU",1.4,1.5,1.5,0.9,3.6,1.5,1.9,1.4,1.5,3,18.2,1.82,0.8283853102,1.507661265
"AVL,WOL",1.8,1.5,1.5,0.8,1.8,1.3,0.8,3.5,1.5,3,17.5,1.75,0.8708233652,1.523940889
"BUR,LIV",1.3,3.5,2.5,1.8,1.4,1.3,2.8,1.9,0.9,1.8,19.2,1.92,0.7969385868,1.530122087
"EVE,WHU",1.5,1,1.5,1.5,3.6,3,2,1,1.5,1.5,18.1,1.81,0.8464960458,1.532157843
"EVE,SOU",1.4,1,1.5,0.9,4.1,1.9,1.9,1.4,1.5,1.5,17.1,1.71,0.8987027688,1.536781735
"ARS,CHE",1.4,2.5,1.3,0.8,2.5,3,2.3,1.3,1.8,3,19.9,1.99,0.7752418977,1.542731376
"LEE,NEW",3,0.8,1.8,2,3,1.8,2,1.3,3,1.5,20.2,2.02,0.764198927,1.543681833
"EVE,LEE",3.6,0.8,1.5,1.5,3,1.8,2,1.3,1.5,1.5,18.5,1.85,0.8369919686,1.548435142
"ARS,AVL",1.4,1.5,1.5,1.4,3.6,1.5,2.5,1.4,1.5,3,19.3,1.93,0.8056053624,1.55481835
"BHA,NEW",3,1.5,3.6,2,1.4,0.9,2,1.9,1.9,1.5,19.7,1.97,0.791692982,1.559635175
"BUR,EVE",3.6,1,1.5,1.5,1.4,3,2,1.9,0.9,1.5,18.3,1.83,0.856413711,1.567237091
"LEE,WBA",3.1,0.8,1.8,3,2,1.8,1.5,1.3,3,1.5,19.8,1.98,0.7969385868,1.577938402
"MCI,WHU",1.5,3.4,2.9,1.8,2.9,2.3,1.8,1,2,1.5,21.1,2.11,0.7549098548,1.592859794
"ARS,MUN",1.4,0.8,1.8,1.4,1.8,3,3,1.4,0.8,3,18.4,1.84,0.8682037651,1.597494928
"CHE,SHU",1.8,1.8,1.3,0.8,0.8,4,2.3,1.3,1.8,1.3,17.2,1.72,0.9295160031,1.598767525
"FUL,WBA",3.1,2,1.5,3,2,1,1,3,2,1.5,20.1,2.01,0.7964504588,1.600865422
"WBA,WOL",1.8,2.5,3,0.8,1.8,1.3,0.8,3.1,2.5,1.5,19.1,1.91,0.8385834617,1.601694412
"WHU,WOL",1.5,3.6,3,0.8,1.8,1.3,0.8,1,2,1.5,17.3,1.73,0.9274217547,1.604439636
"CHE,CRY",1.8,4.1,1.3,0.8,1.4,1.4,2.3,1.3,1.8,1.4,17.6,1.76,0.913114329,1.607081219
"BHA,WOL",1.8,1.9,3,0.8,1.4,0.9,0.8,1.9,1.9,3.5,17.9,1.79,0.9024041962,1.615303511
"FUL,WOL",1.8,2,1.5,0.8,1.8,1,0.8,3,2,3.5,18.2,1.82,0.8904430857,1.620606416
"BHA,WHU",1.5,1.9,3.1,2.4,1.4,0.9,3.5,1,1.9,1.5,19.1,1.91,0.8582281489,1.639215764
"CHE,LIV",1.3,4,1.3,0.8,2.3,1.3,2.3,1.3,1.8,1.8,18.2,1.82,0.9028350409,1.643159774
"CHE,MUN",1.8,0.8,1.3,0.8,1.8,3.5,2.3,1.3,0.8,3,17.4,1.74,0.9453982112,1.644992888
"BHA,WBA",3.1,1.9,3.6,2.4,1.4,0.9,1.5,1.9,1.9,1.5,20.1,2.01,0.8184674025,1.645119479
"BUR,FUL",3.1,2,1.5,1.9,1.4,1,1,1.9,0.9,3.6,18.3,1.83,0.9019115502,1.650498137
"BHA,SHU",3,1.8,1.3,2.4,0.8,0.9,3.5,1.9,1.9,1.3,18.8,1.88,0.8791409949,1.65278507
"TOT,WOL",1.8,3,1.4,0.8,1.8,1.3,0.8,1.4,2.5,3.5,18.3,1.83,0.9055998626,1.657247749
"BHA,TOT",1.9,1.9,1.4,2.4,1.4,0.9,1.4,1.4,1.9,4.1,18.7,1.87,0.887004948,1.658699253
"MUN,NEW",3,0.8,1.8,2,1.8,3.5,2,2.3,0.8,1.5,19.5,1.95,0.8514693183,1.660365171
"CRY,WOL",1.8,4.1,1.9,0.8,1.4,1.3,0.8,1.4,2.4,1.4,17.3,1.73,0.9626929821,1.665458859
"BUR,SOU",1.4,3,2.4,0.9,1.4,1.9,1.9,1.4,0.9,3.6,18.8,1.88,0.8879439422,1.669334611
"SOU,WHU",1.4,3,2.4,0.9,3.6,1.9,1.9,1,2,1.5,19.6,1.96,0.8527081043,1.671307884
"AVL,NEW",3,1.5,1.5,2,3.6,1.5,2,3,1.5,1.5,21.1,2.11,0.7950541561,1.677564269
"EVE,MUN",3.6,0.8,1.5,1.5,1.8,3,2,2.3,0.8,1.5,18.8,1.88,0.8929352347,1.678718241
"SHU,WBA",3,1.8,1.3,3,0.8,2,1.5,3.1,2.5,1.3,20.3,2.03,0.8273787256,1.679578813
"TOT,WHU",1.5,3,1.4,3.6,2.5,2.4,1.4,1,2,1.5,20.3,2.03,0.8287205668,1.682302751
"MCI,SOU",1.4,3,2.4,0.9,2.9,1.9,1.8,1.4,3.4,1.8,20.9,2.09,0.807533969,1.687745995
"AVL,BHA",3.6,1.5,1.5,2.4,1.4,0.9,2.5,1.9,1.5,3,20.2,2.02,0.836394378,1.689516644
"MCI,WBA",3.1,2.5,2.9,1.8,2,2,1.5,3.1,3.4,1.5,23.8,2.38,0.709929574,1.689632386
"AVL,CRY",2.5,1.5,1.5,4.1,1.4,1.4,2.5,1.4,1.5,1.4,19.2,1.92,0.8841819823,1.697629406
"BHA,FUL",3.1,1.9,1.5,2.4,1.4,0.9,1,1.9,1.9,3.6,19.6,1.96,0.866923039,1.699169156
"LEI,WHU",1.3,1.8,3.1,2.5,1.3,3.5,1.8,1,2,0.8,19.1,1.91,0.8900062422,1.699911923
"MCI,NEW",3,1.5,2.9,1.8,2.9,2.3,1.8,3,3.4,1.5,24.1,2.41,0.7125073099,1.717142617
"LEI,MCI",1.3,1.8,2.9,1.8,1.3,2.3,1.8,3,3.4,0.8,20.4,2.04,0.8422192905,1.718127353
"LIV,WHU",1.3,3.6,2.9,1.8,2.3,1.3,2.8,1,2,1.5,20.5,2.05,0.8396427812,1.721267701
"CRY,LIV",1.3,4,1.9,1.8,1.4,1.3,2.8,1.4,2.4,1.4,19.7,1.97,0.8756584824,1.72504721
"FUL,LEE",3.1,0.8,1.5,3.6,2,1,1,1.3,2,2.3,18.6,1.86,0.9335713982,1.736442801
"SOU,WOL",1.4,3,2.4,0.8,1.8,1.3,0.8,1.4,2.5,3.5,18.9,1.89,0.9230986465,1.744656442
"FUL,MUN",3.1,0.8,1.5,3,1.8,1,1,2.3,0.8,3,18.3,1.83,0.9534149149,1.744749294
"BHA,LEE",3.6,0.8,1.8,2.4,1.4,0.9,3,1.3,1.9,2.3,19.4,1.94,0.902096324,1.750066869
"LEI,SHU",1.3,1.8,1.3,2.5,0.8,3.5,1.8,3,2.5,0.8,19.3,1.93,0.92141196,1.778325083
"BUR,CRY",2.5,3.5,1.9,1.9,1.4,1.4,3.5,1.4,0.9,1.4,19.8,1.98,0.9077444574,1.797334026
"LIV,SHU",1.3,1.8,1.3,1.8,0.8,1.3,2.8,4,2.5,1.3,18.9,1.89,0.9573690801,1.809427561
"ARS,SHU",1.4,1.8,1.3,1.4,0.8,3,4.1,1.4,1.9,1.3,18.4,1.84,0.9834180754,1.809489259
"MUN,WHU",1.5,0.8,1.8,3,1.8,3.5,3,1,0.8,1.5,18.7,1.87,0.9741663102,1.821691
"FUL,SHU",3,1.8,1.3,3.5,0.8,1,1,3,2,1.3,18.7,1.87,0.9741663102,1.821691
"LEE,WHU",1.5,0.8,1.8,3.6,3,1.8,3,1,2,1.5,20,2,0.9177266599,1.83545332
"CRY,TOT",1.9,3,1.4,4.1,1.4,1.4,1.4,1.4,2.4,1.4,19.8,1.98,0.9271221902,1.835701937
"AVL,WHU",1.5,1.5,1.5,3.6,3.6,1.5,2.5,1,1.5,1.5,19.7,1.97,0.9345824974,1.84112752
"AVL,TOT",1.9,1.5,1.4,4.1,2.5,1.5,1.4,1.4,1.5,3,20.2,2.02,0.9126274645,1.843507478
"BUR,CHE",1.8,3.5,1.3,0.8,1.4,3,2.3,1.3,0.9,3,19.3,1.93,0.9615381197,1.855768571
"FUL,TOT",1.9,2,1.4,3.6,2,1,1,1.4,2,3.6,19.9,1.99,0.933868894,1.858399099
"BUR,SHU",3,1.8,1.3,1.9,0.8,3,3.6,1.9,0.9,1.3,19.5,1.95,0.95597536,1.864151952
"NEW,SOU",1.4,1.5,2.4,0.9,3.7,1.9,1.9,1.4,3.5,1.5,20.1,2.01,0.9279008568,1.865080722
"EVE,SHU",3,1,1.3,1.5,0.8,3,2,3.7,1.5,1.3,19.1,1.91,0.9848293704,1.881024098
"CRY,SHU",2.5,1.8,1.3,3.5,0.8,1.4,3.5,1.4,2.4,1.3,19.9,1.99,0.9480389115,1.886597434
"BUR,WOL",1.8,3.5,2.5,0.8,1.4,1.3,0.8,1.9,0.9,3.5,18.4,1.84,1.026536788,1.888827691
"BUR,TOT",1.9,3,1.4,1.9,1.4,2.4,1.4,1.4,0.9,4.1,19.8,1.98,0.9566144004,1.894096513
"NEW,SHU",3,1.5,1.3,2,0.8,3.6,2,3,2.5,1.3,21,2.1,0.9055385138,1.901630879
"LEE,SHU",3,0.8,1.3,3.5,0.8,1.8,3,1.3,2.5,1.3,19.3,1.93,0.9911273043,1.912875697
"TOT,WBA",1.9,2.5,1.4,3,2,2,1.4,1.4,4.2,1.5,21.3,2.13,0.8982080927,1.913183237
"MCI,SHU",3,1.8,1.3,1.8,0.8,2.3,1.8,4,2.5,1.3,20.6,2.06,0.9335713982,1.92315708
"ARS,BUR",1.4,2.5,2.5,1.4,1.4,3,3.6,1.4,0.9,3,21.1,2.11,0.9182713228,1.937552491
"ARS,SOU",1.4,2.5,2.4,0.9,4.1,1.9,1.9,1.4,1.9,3,21.4,2.14,0.9179687722,1.964453172
"ARS,BHA",1.4,1.9,3.6,1.4,1.4,0.9,3.5,1.4,1.9,3,20.4,2.04,0.9697651491,1.978320904
"BHA,MUN",3.6,0.8,1.8,2.4,1.4,0.9,3,1.9,0.8,3,19.6,1.96,1.011269829,1.982088864
"LEE,TOT",1.9,0.8,1.4,4.1,2.5,1.8,1.4,1.3,3,2.3,20.5,2.05,0.9675283516,1.983433121
"LEI,TOT",1.3,1.8,1.4,2.5,1.3,2.4,1.4,1.4,4.5,0.8,18.8,1.88,1.057039892,1.987234997
"EVE,NEW",3,1,1.5,1.5,3.7,3,2,3,1.5,1.5,21.7,2.17,0.9189970378,1.994223572
"CRY,LEE",2.5,0.8,1.8,4.1,1.4,1.4,3,1.3,2.4,1.4,20.1,2.01,0.9926955447,1.995318045
"ARS,NEW",1.4,1.5,3.6,1.4,3.7,3,2,1.4,1.9,1.5,21.4,2.14,0.9335713982,1.997842792
"NEW,WHU",1.5,1.5,3.1,2,3.6,3.6,2,1,2,1.5,21.8,2.18,0.9283198682,2.023737313
"ARS,EVE",1.4,1,1.5,1.4,4.5,3,2,1.4,1.5,1.5,19.2,1.92,1.05493549,2.025476142
"MCI,WOL",1.8,3.4,2.9,0.8,1.8,1.3,0.8,3.5,2.5,1.8,20.6,2.06,0.9845472733,2.028167383
"EVE,MCI",3.6,1,1.5,1.5,2.9,2.3,1.8,3.7,1.5,1.5,21.3,2.13,0.9557428757,2.035732325
"AVL,FUL",3.1,1.5,1.5,3.6,2,1,1,3,1.5,3,21.2,2.12,0.9647106647,2.045186609
"SOU,TOT",1.4,3,1.4,0.9,2.5,1.9,1.4,1.4,3.5,3.6,21,2.1,0.9786612171,2.055188556
"NEW,WBA",3,1.5,3.6,2,2,2,1.5,3,3.7,1.5,23.8,2.38,0.8664102185,2.06205632
"AVL,SHU",3,1.5,1.3,3.5,0.8,1.5,2.5,3.6,1.5,1.3,20.5,2.05,1.011324764,2.073215766
"CHE,WOL",1.8,4.5,1.3,0.8,1.8,1.3,0.8,1.3,1.8,3,18.4,1.84,1.12861764,2.076656458
"BUR,WHU",1.5,3.5,2.5,1.9,1.4,3,3.6,1,0.9,1.5,20.8,2.08,1.004213346,2.08876376
"MUN,SHU",3,0.8,1.3,3,0.8,3.5,3,2.3,0.8,1.3,19.8,1.98,1.08709603,2.152450139
"CHE,WHU",1.5,3.6,1.3,0.8,2.5,4,2.3,1,1.8,1.5,20.3,2.03,1.072950242,2.178088992
"CRY,WHU",1.5,3.6,1.9,3.6,1.4,1.4,3.5,1,2,1.4,21.3,2.13,1.029616973,2.193084153
"AVL,EVE",3.6,1,1.5,1.5,3.6,1.5,2,3.6,1.5,1.5,21.3,2.13,1.041419971,2.218224538
"LIV,WOL",1.3,4,2.9,0.8,1.8,1.3,0.8,3.5,2.5,1.8,20.7,2.07,1.115596502,2.309284759
"MCI,MUN",5,0.8,1.8,1.8,1.8,2.3,1.8,2.3,0.8,1.8,20.2,2.02,1.166952346,2.357243739
"ARS,LEI",1.3,1.8,5,1.4,1.3,3,1.8,1.4,1.9,0.8,19.7,1.97,1.212023102,2.387685511
"LIV,MCI",1.3,3.4,2.9,1.8,2.3,1.3,1.8,4.5,2.9,1.8,24,2.4,1.023067284,2.455361481
"LEI,NEW",1.3,1.5,3.6,2,1.3,3.5,1.8,3,3.7,0.8,22.5,2.25,1.094684125,2.463039281
"LEI,WBA",1.3,1.8,3.7,2.5,1.3,2,1.5,3,4.2,0.8,22.1,2.21,1.117984297,2.470745297
"AVL,BUR",5,1.5,1.5,1.9,1.4,1.5,2.5,1.9,0.9,3,21.1,2.11,1.177049041,2.483573476
"BUR,LEE",5,0.8,1.8,1.9,1.4,1.8,3,1.3,0.9,2.3,20.2,2.02,1.232702541,2.490059134
"ARS,WHU",1.4,2.5,3.1,1.4,3.6,3,4.1,1,1.9,1.5,23.5,2.35,1.063798226,2.499925832
"LEE,MCI",5,0.8,1.8,1.8,2.9,1.8,1.8,1.3,3,1.8,22,2.2,1.180395414,2.596869911
"BUR,MCI",5,3.4,2.5,1.8,1.4,2.3,1.8,1.9,0.9,1.8,22.8,2.28,1.165046494,2.656306006
"AVL,MCI",5,1.5,1.5,1.8,2.9,1.5,1.8,3.6,1.5,1.8,22.9,2.29,1.185514422,2.714828026
"LEE,MUN",5,0.8,1.8,3,1.8,1.8,3,1.3,0.8,2.3,21.6,2.16,1.261568688,2.724988367
"BHA,BUR",3.6,1.9,2.5,1.9,1.4,0.9,3.5,1.9,0.9,4.5,23,2.3,1.211977264,2.787547708
"AVL,MUN",5,0.8,1.5,3,1.8,1.5,2.5,2.3,0.8,3,22.2,2.22,1.259453144,2.79598598
"BUR,MUN",5,0.8,1.8,1.9,1.4,3,3,1.9,0.8,3,22.6,2.26,1.274711296,2.88084753
"SHU,WHU",1.5,1.8,1.3,3.5,0.8,4.5,4.5,1,2,1.3,22.2,2.22,1.413270439,3.137460374
"AVL,LEE",5,0.8,1.5,4.5,3,1.5,2.5,1.3,1.5,2.3,23.9,2.39,1.404318736,3.356321778
