COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM
"AVL,LEI,LIV,MUN,SOU",4,4.1,5.7,5.2,5.4,4.7,6.2,6.7,5.2,5.6,5.2,4,5.6,4.1,3.2,74.9,1.664444444
"AVL,CHE,LEE,LEI,LIV",4.4,4.1,4.6,5.1,6.1,4.6,6.6,5.6,6.2,4.9,4.6,4.9,5.1,5.3,3.6,75.7,1.682222222
"AVL,CHE,FUL,LEI,LIV",4.4,5.3,4.3,5.1,5.6,3.8,5.1,7.3,5.3,5.6,4.6,4.9,5.3,4.8,4.3,75.7,1.682222222
"AVL,FUL,LEI,LIV,SOU",4,5.3,5.4,5.2,5.6,3.8,4.7,7.4,6.4,5.6,5.2,4,5.3,4.8,3.2,75.9,1.686666667
"AVL,BHA,LEI,LIV,SOU",4,5.2,6.8,5.1,5,3.7,6.2,6.3,6.3,5.6,5.2,4,5.2,4.2,3.2,76,1.688888889
"AVL,LEI,MUN,SOU,WOL",4.5,4.1,5.7,4.2,4.9,4.7,4.5,6.7,4.8,6.8,5.2,4,5.6,5.1,5.4,76.2,1.693333333
"AVL,BHA,CHE,LEI,LIV",4.4,5.2,5.7,5,5,3.7,6.6,6.2,5.2,5.6,4.6,4.9,5.2,4.2,4.8,76.3,1.695555556
"FUL,LEI,LIV,MUN,SOU",4,4.6,5.7,5.2,5.1,4.2,4.7,6.7,5.7,5.6,6.6,4,5.1,4.6,4.7,76.5,1.7
"AVL,CHE,LIV,MUN,SOU",4.5,5.3,4.6,3.5,6.6,4.7,6.7,5,4.1,7.8,4.7,5,6.7,4.1,3.2,76.5,1.7
"AVL,CRY,LEI,LIV,MUN",5.1,4.1,5.2,7.3,4.5,4.2,7.1,6.7,4.7,4,4.7,5.6,5.6,4.1,3.7,76.6,1.702222222
"AVL,BHA,CHE,LEI,SOU",4.5,5.2,5.2,4.1,5.2,4.3,6,4.6,5.2,6.8,4.6,5,5.2,5.4,5.4,76.7,1.704444444
"AVL,BHA,LEI,LIV,WHU",4.1,5.2,7.5,6.7,5,3.7,7.1,5.9,5.4,4.1,5.8,4.6,4.2,4.2,3.3,76.8,1.706666667
"AVL,CHE,FUL,LEI,SOU",4.5,5.3,4.3,4.2,5.8,4.4,4.7,5.7,5.3,6.8,4.6,5,5.3,6,4.9,76.8,1.706666667
"AVL,CHE,LEE,LEI,WOL",4.9,4.1,4.6,4.1,5.6,4.6,4.9,5.6,5.8,6.1,4.6,4.9,5.1,6.3,5.8,77,1.711111111
"BHA,LEI,LIV,MUN,SOU",4,4.5,7.1,5.1,4.5,4.1,6.5,5.6,5.6,5.6,6.2,4,5,4,5.2,77,1.711111111
"AVL,CHE,LEI,LIV,SOU",4,6.3,5.2,3.5,6.1,4.7,6,5.7,6.2,5.6,4.6,4,6.7,5.3,3.2,77.1,1.713333333
"CHE,FUL,LEE,LEI,LIV",4.4,4.6,4.6,5.1,5.6,4.1,5.1,5.6,6.7,4.9,6,4.9,4.6,5.8,5.1,77.1,1.713333333
"AVL,BHA,CHE,LIV,SOU",4.5,6.4,5.2,3.5,6.2,3.7,6.7,4.6,5.2,7.8,4.7,5,6.3,4.2,3.2,77.2,1.715555556
"AVL,CHE,EVE,LEI,LIV",4.4,4.3,4.3,4.1,6.1,5.8,6.1,7.9,4.8,4.1,4.6,4.9,6.7,5.3,3.8,77.2,1.715555556
"AVL,LEI,LIV,SHU,SOU",4,5.1,5.2,5.2,4.4,4.7,6.2,8,6.9,3.9,5.2,4,6.7,4.6,3.2,77.3,1.717777778
"AVL,CHE,LEI,LIV,MUN",4.4,4.1,4.6,5.1,5.4,6.3,6.6,6.6,4.1,5.6,4.6,4.9,5.6,4.1,5.3,77.3,1.717777778
"CRY,LIV,MUN,NEW,SOU",5.2,5.3,6.1,4.7,5.5,4.6,6.7,5.1,6.1,4.7,5.3,3.7,6.7,3.6,4.1,77.4,1.72
"EVE,LEI,LIV,MUN,SOU",4,3.6,5.7,4.2,5.4,6.2,5.7,6.7,5.2,4.1,6.2,4,6.5,5.7,4.2,77.4,1.72
"AVL,CHE,CRY,LEI,LIV",4.4,7.3,4.7,5.1,5,4.2,6.6,5.7,5.7,4,4.2,4.9,6.7,5.3,3.7,77.5,1.722222222
"AVL,CHE,FUL,LIV,SOU",4.5,6.5,4.3,3.5,6.8,3.8,5.2,5.7,5.3,7.8,4.7,5,6.4,4.8,3.2,77.5,1.722222222
"AVL,CRY,LEI,LIV,NEW",5.1,4.8,6.3,6.3,5,4.2,6.3,7.4,6.8,3.7,4.7,3.6,5.8,3.8,3.7,77.5,1.722222222
"BHA,EVE,LEI,LIV,SOU",4,4.7,6.8,4.2,5,4.1,5.7,6.3,6.3,4.1,6.2,4,6.1,5.8,4.2,77.5,1.722222222
"BHA,CHE,FUL,LEI,LIV",4.4,5.7,5.7,5,4.7,3.2,5.1,6.2,5.7,5.6,5.6,4.9,4.7,4.7,6.3,77.5,1.722222222
"CRY,LEI,LIV,MUN,SOU",4,5.6,6.1,5.2,4.5,4.6,6.5,5.1,6.1,4,5.1,4,6.5,6.1,4.1,77.5,1.722222222
"FUL,LEI,LIV,SHU,SOU",4,5.6,5.2,5.2,4.1,4.2,4.7,7.4,7.4,3.9,6.6,4,6.2,5.1,4,77.6,1.724444444
"BHA,CHE,LEE,LEI,LIV",4.4,4.5,6,5,5,4,6.9,4.5,6.6,4.9,5.6,4.9,4.5,5.2,5.6,77.6,1.724444444
"AVL,BHA,CRY,LEI,LIV",5.1,5.2,6.3,6.7,4.1,3.6,7.1,6.3,5.8,4,4.7,5.6,5.2,4.2,3.7,77.6,1.724444444
"AVL,CHE,FUL,LEI,WOL",4.9,5.3,4.3,4.1,5.1,3.8,3.6,7.3,5.3,6.8,4.6,4.9,5.3,5.8,6.5,77.6,1.724444444
"BHA,LEI,LIV,SHU,SOU",4,5.5,6.6,5.1,3.5,4.1,6.5,6.3,7.3,3.9,6.2,4,6.1,4.5,4,77.6,1.724444444
"LEI,LIV,MCI,MUN,SOU",4,5.6,7.1,4.5,5.4,5.5,5.5,6.7,7.1,4.4,4.5,4,4.4,5.4,3.5,77.6,1.724444444
"AVL,LEI,LIV,MUN,WOL",4.4,4.1,6.2,5.1,4.9,4.1,5.1,8.8,4.8,5.6,6.2,3.9,5.6,4.1,4.8,77.7,1.726666667
"CHE,FUL,LEI,LIV,SOU",4,6.8,5.2,3.5,5.6,4.2,4.7,5.7,6.7,5.6,5,4,6.2,5.8,4.7,77.7,1.726666667
"AVL,FUL,LEI,LIV,WHU",4.1,5.3,5.9,7.9,5.6,3.8,5.3,7,5.5,4.1,6.2,4.6,4.3,4.8,3.3,77.7,1.726666667
"AVL,CRY,LEI,NEW,WOL",5.6,4.8,6.4,5.3,4.5,4.2,4.6,7.4,6.4,3.7,4.7,3.6,5.8,4.8,5.9,77.7,1.726666667
"LEE,LEI,LIV,MUN,SOU",4,3.4,6,5.2,5.4,5,6.5,5,6.7,4.9,6.6,4,4.9,6.1,4,77.7,1.726666667
"AVL,CHE,LEE,LIV,NEW",6.1,3.8,4.6,4.6,7.8,4.6,6.8,5.6,6.2,5.6,4.8,4.6,5.3,3.8,3.6,77.8,1.728888889
"AVL,CHE,FUL,LIV,NEW",6.1,5,4.3,4.6,6.8,3.8,5.3,7.3,5.3,6.3,4.8,4.6,5.5,3.8,4.3,77.8,1.728888889
"AVL,EVE,LEI,LIV,WOL",4.4,4.3,5.9,4.1,5.4,4.1,4.6,10.1,5.5,4.1,5.8,3.9,6.7,5.1,3.8,77.8,1.728888889
"CHE,EVE,FUL,LEI,LIV",4.4,4.8,4.3,4.1,5.6,5.3,4.8,7.3,5.3,4.1,5.6,4.9,6.2,5.8,5.3,77.8,1.728888889
"EVE,FUL,LEI,LIV,SOU",4,4.8,5.4,4.2,5.6,4.2,4.7,7.4,6.4,4.1,6.2,4,6.2,6.4,4.2,77.8,1.728888889
"AVL,FUL,LEI,SOU,WOL",4.5,5.3,5.4,4.2,5.1,3.8,3.6,7.4,6,7.3,5.2,4,5.3,5.8,4.9,77.8,1.728888889
"BHA,FUL,LEI,LIV,SOU",4,5.7,6.8,5.1,4.7,3.2,4.7,6.3,6.8,6.2,6.2,4,4.7,4.7,4.7,77.8,1.728888889
"AVL,BHA,LEI,SOU,WOL",4.5,5.2,6.9,4.1,4.5,3.7,4.5,6.3,5.9,7.3,5.2,4,5.2,5.2,5.4,77.9,1.731111111
"AVL,LEE,LEI,LIV,WOL",4.4,4.1,6.2,5.1,5.4,4.1,5.1,7.8,6.9,4.9,6.2,3.9,5.1,5.1,3.6,77.9,1.731111111
"AVL,LEI,SHU,SOU,WOL",4.5,5.1,5.2,4.2,3.9,4.7,4.5,7.9,6.5,5.1,5.2,4,7.3,5.6,4.2,77.9,1.731111111
"CHE,FUL,LIV,MUN,SOU",4.5,5.8,4.6,3.5,6.1,4.2,5.2,5,4.6,7.8,6.1,5,6.2,4.6,4.7,77.9,1.731111111
"BHA,CHE,FUL,LEI,SOU",4.5,5.7,5.2,4.1,4.7,3.8,4.7,4.6,5.7,7.4,5,5,4.7,5.9,6.9,77.9,1.731111111
"AVL,LEI,LIV,MUN,WHU",4.1,4.1,6.2,7.3,5.4,6.3,7.1,6.3,4.3,4.1,6.2,4.6,4.6,4.1,3.3,78,1.733333333
"CHE,CRY,FUL,LEI,LIV",4.4,7.8,4.7,5.1,4.7,3.7,5.1,5.7,6.2,4,4.5,4.9,6.2,5.8,5.2,78,1.733333333
"AVL,CHE,LEI,LIV,SHU",4.4,5.1,4.1,5.1,4.4,6.3,6.6,7.9,5.8,3.9,4.6,4.9,6.7,4.6,3.6,78,1.733333333
"AVL,BHA,CHE,CRY,LEI",5.6,5.2,4.7,5.7,4.1,3.8,6.6,4.6,5.2,5.2,4.2,6.6,5.2,5.4,5.9,78,1.733333333
"AVL,CRY,LEI,MUN,SOU",5.2,4.1,5.2,6.4,4.5,4.8,6.2,5.1,4.7,5.2,4.7,5.7,5.6,6.3,4.3,78,1.733333333
"CRY,FUL,LIV,NEW,SOU",5.2,6.5,5.8,4.7,5.7,3.7,4.9,5.8,7.3,4.7,5.3,3.7,6.4,4.3,4.1,78.1,1.735555556
"AVL,BHA,CHE,LEI,WOL",4.9,5.2,5.8,4,4.5,3.7,4.9,6.2,5.2,6.8,4.6,4.9,5.2,5.2,7,78.1,1.735555556
"AVL,BHA,LEI,SHU,SOU",5.7,5.1,5.2,5.8,3.5,4.3,6.2,6.3,5.9,5.1,5.2,5.7,5.2,4.7,4.2,78.1,1.735555556
"AVL,CHE,LEI,LIV,WHU",4.1,6.9,5.7,5.1,6.1,6.3,6.6,5.3,5.3,4.1,4.6,4.6,4.8,5.3,3.3,78.1,1.735555556
"ARS,AVL,CRY,LEI,LIV",4,5.8,6.3,5.7,5,4.2,7.1,5.8,5.8,4,4.7,4.5,6.3,5.2,3.7,78.1,1.735555556
"AVL,BHA,CRY,LEI,SOU",5.2,5.2,5.8,5.8,4.1,3.8,6.2,4.7,5.8,5.2,4.7,5.7,5.2,6.4,4.3,78.1,1.735555556
"CHE,FUL,LEI,LIV,MCI",4.4,7.2,5.7,4.4,5.6,4.6,4.6,7.3,6.7,4.4,3.9,4.9,4.1,5.8,4.6,78.2,1.737777778
"CRY,FUL,LEI,LIV,SOU",4,6.8,5.8,5.2,4.7,3.7,4.7,5.8,7.3,4,5.1,4,6.2,6.8,4.1,78.2,1.737777778
"AVL,LEE,LEI,LIV,SOU",4,4.1,5.7,5.2,6.6,4.6,6.2,5.7,7.4,4.9,5.2,4,5.1,6.3,3.2,78.2,1.737777778
"CRY,FUL,LEI,LIV,NEW",5.1,5.3,6.3,6.3,4.7,3.7,4.8,7.4,7.3,3.7,5.2,3.6,5.3,4.3,5.2,78.2,1.737777778
"AVL,CHE,LEE,LEI,SOU",4.5,4.1,4.6,4.2,6.8,5.2,6,4,6.3,6.1,4.6,5,5.1,7.5,4.2,78.2,1.737777778
"AVL,CRY,LEI,LIV,SOU",4,6.3,5.8,5.2,5,4.2,6.2,5.8,6.8,4,4.7,4,6.7,6.3,3.2,78.2,1.737777778
"AVL,CHE,LEI,MUN,SOU",4.5,4.1,4.6,4.2,5.6,6.9,6,5,4.1,6.8,4.6,5,5.6,5.3,5.9,78.2,1.737777778
"BHA,CHE,LEI,LIV,SOU",4,6.7,6.6,3.5,5,4.1,6,4.6,6.6,5.6,5,4,6.1,5.2,5.2,78.2,1.737777778
"FUL,LIV,MUN,SOU,WHU",4.2,5.8,5.7,5.7,6.1,4.2,5.7,4.7,4.8,6.3,7.8,4.7,4.3,4.6,3.7,78.3,1.74
"AVL,BHA,CHE,LIV,WHU",4.6,7,5.7,5,6.2,3.7,7.6,4.2,5.2,6.3,5.3,5.6,4.4,4.2,3.3,78.3,1.74
"AVL,CHE,LEI,LIV,MCI",4.4,6.7,5.7,4.4,6.1,5.1,5.9,7.9,6.2,4.4,3.6,4.9,4.6,5.3,3.1,78.3,1.74
"AVL,BHA,LEI,WHU,WOL",4.6,5.2,7.6,5.7,4.5,3.7,5.1,5.9,5.4,5.3,5.8,4.6,4.2,5.2,5.5,78.3,1.74
"AVL,LIV,MUN,SOU,WOL",4.5,5.3,5.7,3.5,5.9,4.1,5.2,7.2,4.8,7.8,6.3,4,6.7,4.1,3.2,78.3,1.74
"BHA,CHE,EVE,LEI,LIV",4.4,4.7,5.7,4.1,5,5.2,6.1,6.2,5.2,4.1,5.6,4.9,6.1,5.2,5.8,78.3,1.74
"AVL,BUR,LEI,LIV,SOU",4,6.3,6.4,4.6,5,4.7,6.2,6.3,5.3,5.6,5.2,4,5.7,5.8,3.2,78.3,1.74
"AVL,CRY,FUL,LEI,LIV",5.1,5.3,4.9,7.9,4.7,3.7,5.3,7.4,5.9,4,4.7,5.6,5.3,4.8,3.7,78.3,1.74
"AVL,LEE,LEI,SOU,WOL",4.5,4.1,5.7,4.2,6.1,4.6,4.5,5.7,7,6.1,5.2,4,5.1,7.3,4.2,78.3,1.74
"CHE,FUL,LEE,LEI,SOU",4.5,4.6,4.6,4.2,5.8,4.7,4.7,4,6.8,6.1,5,5,4.6,8,5.7,78.3,1.74
"FUL,LIV,MUN,NEW,SOU",5.7,4.3,5.7,4.7,6.1,4.2,4.9,6.7,5.7,6.3,6.8,3.7,5.3,3.6,4.7,78.4,1.742222222
"AVL,CHE,CRY,LIV,NEW",5.6,7,4.7,4.6,6.2,4.2,6.8,5.7,5.7,4.7,4.2,4.6,6.9,3.8,3.7,78.4,1.742222222
"FUL,LEE,LEI,LIV,SOU",4,4.6,5.7,5.2,5.6,4.1,4.7,5.7,7.9,4.9,6.6,4,4.6,6.8,4,78.4,1.742222222
"AVL,BHA,LEI,SOU,WHU",4.2,5.2,7,5.8,6.3,4.3,6.2,4.3,5.4,5.3,5.2,4.7,4.2,6.4,3.9,78.4,1.742222222
"BHA,LEE,LEI,LIV,SOU",4,4.5,7.1,5.1,5,4,6.5,4.6,7.8,4.9,6.2,4,4.5,6.2,4,78.4,1.742222222
"BHA,LEI,LIV,MCI,SOU",4,6.7,8.2,4.5,5,4.1,5.5,6.3,8.2,4.4,4.5,4,4,5.5,3.5,78.4,1.742222222
"CRY,FUL,LEI,LIV,MUN",5.1,4.6,5.2,7.3,4.5,3.7,5.6,6.7,5.2,4,6.1,5.6,5.1,4.6,5.2,78.5,1.744444444
"AVL,CRY,LEI,MUN,WOL",5.6,4.1,5.2,6.3,4.5,4.2,5.1,6.7,4.7,5.2,4.7,5.6,5.6,5.1,5.9,78.5,1.744444444
"AVL,EVE,LEI,LIV,SOU",4,4.3,5.4,4.2,7.2,4.7,5.7,8,5.9,4.1,5.2,4,6.7,5.9,3.2,78.5,1.744444444
"AVL,CHE,CRY,LEI,SOU",4.5,6.3,4.7,4.2,5.2,4.8,6,4.1,5.7,5.2,4.2,5,6.8,7.5,4.3,78.5,1.744444444
"CRY,MUN,NEW,SOU,WOL",5.7,5.3,6.1,3.7,5,4.6,4.7,5.1,5.7,5.9,5.3,3.7,6.8,4.6,6.3,78.5,1.744444444
"LEI,LIV,MUN,SHU,SOU",4,4.4,5.5,5.2,3.9,6.7,6.5,6.7,6.2,3.9,6.6,4,6.5,4.4,4,78.5,1.744444444
"AVL,CRY,LEI,SOU,WOL",4.5,6.3,5.8,4.2,4.5,4.2,4.5,5.8,6.4,5.2,4.7,4,6.8,7.3,4.3,78.5,1.744444444
"AVL,LIV,MUN,NEW,SOU",5.7,3.8,5.7,4.7,7.7,4.7,6.4,6.7,5.2,6.3,5.4,3.7,5.8,3.6,3.2,78.6,1.746666667
"BHA,CRY,LIV,NEW,SOU",5.2,6.4,7.2,4.7,5.1,3.6,6.7,4.7,7.2,4.7,5.3,3.7,6.3,3.7,4.1,78.6,1.746666667
"AVL,FUL,LEI,LIV,WOL",4.4,5.3,5.9,5.1,5.1,3.6,3.6,9.5,6,5.6,6.2,3.9,5.3,4.8,4.3,78.6,1.746666667
"BHA,CRY,LEI,LIV,SOU",4,6.7,7.2,5.1,4.1,3.6,6.5,4.7,7.2,4,5.1,4,6.1,6.2,4.1,78.6,1.746666667
"CHE,FUL,LIV,NEW,SOU",4.5,6.5,5.2,3.5,6.8,4.2,4.9,5.7,6.7,6.3,5.2,3.7,6.4,4.3,4.7,78.6,1.746666667
"AVL,FUL,LEI,LIV,NEW",5.6,4.8,5.9,6.3,5.6,3.8,4.8,9,6.4,4.1,5.3,3.6,5.3,3.8,4.3,78.6,1.746666667
"BHA,FUL,LEI,LIV,WHU",4.1,5.7,7.5,6.7,4.7,3.2,5.6,5.9,5.9,4.1,7.2,4.6,3.9,4.7,4.8,78.6,1.746666667
"BHA,LIV,MUN,SOU,WHU",4.2,5.7,7.1,5.1,5.5,4.1,7.7,4.3,4.7,6.3,7.3,4.7,4.2,4,3.7,78.6,1.746666667
"AVL,BUR,CHE,LEI,LIV",4.4,6.8,5.3,4.5,5,5.8,6.6,6.2,4.2,5.6,4.6,4.9,5.7,5.3,3.7,78.6,1.746666667
"CHE,LEE,LEI,LIV,SOU",4,5.6,5.5,3.5,6.1,5,6,4,7.7,4.9,5,4,6,7.3,4,78.6,1.746666667
"AVL,BHA,CHE,LEE,LIV",6.7,4.2,4.6,5,6.2,3.7,7.6,4.5,5.2,7.1,5.3,6.1,4.7,4.2,3.6,78.7,1.748888889
"AVL,CHE,LEE,LIV,SOU",4.5,5.3,4.6,3.5,7.8,4.6,6.7,4,6.2,7.1,4.7,5,6.2,5.3,3.2,78.7,1.748888889
"AVL,CHE,LEI,LIV,NEW",4.4,4.8,5.7,4.6,6.1,6.3,6.1,7.3,6.2,4.1,4.6,3.6,5.8,3.8,5.3,78.7,1.748888889
"CHE,FUL,LEE,LIV,NEW",6.1,4.3,4.6,4.6,6.8,4.1,5.3,5.6,6.7,5.6,6.2,4.6,4.8,4.3,5.1,78.7,1.748888889
"BHA,CHE,LEE,LEI,WOL",4.9,4.5,6.1,4,4.5,4,4.9,4.5,6.2,6.1,5.6,4.9,4.5,6.2,7.8,78.7,1.748888889
"BHA,CHE,LIV,MUN,SOU",4.5,5.7,5.5,3.5,5.5,4.1,7,4.6,4.5,7.8,5.7,5,6.1,4,5.2,78.7,1.748888889
"BUR,LEI,LIV,MUN,SOU",4,5.6,6.7,4.6,4.5,6.2,6.5,5.6,4.6,5.6,5.6,4,5.5,5.6,4.1,78.7,1.748888889
"BHA,CHE,LEI,LIV,MCI",4.4,7.1,7.1,4.4,5,4.5,5.9,6.2,6.6,4.4,3.9,4.9,4,5.2,5.1,78.7,1.748888889
"AVL,CRY,LIV,MUN,SOU",5.2,5.3,5.2,5.7,5.5,4.2,7.2,5.1,4.7,6.2,4.8,5.7,6.7,4.1,3.2,78.8,1.751111111
"FUL,LEI,LIV,NEW,SOU",4,5.3,6.8,4.7,5.6,4.2,4.7,7.4,8.4,4.1,5.7,3.6,5.3,4.3,4.7,78.8,1.751111111
"LEE,LIV,MUN,NEW,SOU",5.7,3.1,6,4.7,7.1,5,6.7,5,6.7,5.6,6.8,3.7,5.1,3.6,4,78.8,1.751111111
"AVL,BHA,LEI,LIV,TOT",4.5,5.2,5.8,6.7,5,3.7,5.7,6.3,6.3,5.6,5.8,4,5.2,4.2,4.8,78.8,1.751111111
"AVL,CHE,MUN,SOU,WOL",5,5.3,4.6,2.5,6.1,4.7,5,5,4.1,9,4.7,5,7.3,5.1,5.4,78.8,1.751111111
"BHA,CHE,FUL,LIV,SOU",4.5,6.9,5.2,3.5,5.7,3.2,5.2,4.6,5.7,8.4,5.7,5,5.8,4.7,4.7,78.8,1.751111111
"CHE,FUL,LEI,MUN,SOU",4.5,4.6,4.6,4.2,5.1,6.4,4.7,5,4.6,6.8,5,5,5.1,5.8,7.4,78.8,1.751111111
"FUL,LEI,LIV,MCI,SOU",4,6.8,6.8,4.5,5.6,4.2,4.6,7.4,8.3,4.4,4.5,4,4.1,6.1,3.5,78.8,1.751111111
"LEE,LEI,LIV,MUN,WOL",4.4,3.4,6.5,5.1,4.9,4.4,5.4,6.6,6.2,4.9,7.7,3.9,4.9,4.9,5.6,78.8,1.751111111
"AVL,BUR,LEI,LIV,WOL",4.4,6.8,6.9,4.5,4.5,4.1,5.1,8.4,4.9,5.6,5.2,3.9,5.7,5.1,3.7,78.8,1.751111111
"LEE,LEI,MUN,SOU,WOL",4.5,3.4,6,4.2,4.9,5,4.5,5,6.3,6.1,6.7,4,4.9,7.1,6.2,78.8,1.751111111
"AVL,CRY,EVE,LEI,WOL",5.6,4.3,4.9,4.8,4.5,4.2,4.6,7.9,5.4,3.7,4.7,5.6,6.8,6.9,4.9,78.8,1.751111111
"BHA,CHE,CRY,FUL,LEI",5.6,5.7,4.7,5.7,4.1,3.3,5.1,4.6,5.7,5.2,4.5,6.6,4.7,5.9,7.4,78.8,1.751111111
"AVL,LIV,MUN,SOU,WHU",4.2,5.3,5.7,5.7,7.7,4.7,7.2,4.7,4.3,6.3,6.3,4.7,4.8,4.1,3.2,78.9,1.753333333
"AVL,LEI,LIV,NEW,SOU",4,4.8,6.8,4.7,7.2,4.7,5.7,7.4,7.9,4.1,5.2,3.6,5.8,3.8,3.2,78.9,1.753333333
"AVL,LEI,LIV,SHU,WOL",4.4,5.1,5.7,5.1,3.9,4.1,5.1,10.1,6.5,3.9,6.2,3.9,6.7,4.6,3.6,78.9,1.753333333
"AVL,MUN,SOU,WHU,WOL",4.7,5.3,5.7,4.7,7.2,4.7,5.2,4.7,4.3,7.5,6.4,4.7,4.8,5.1,3.9,78.9,1.753333333
"BUR,FUL,LEI,LIV,SOU",4,6.8,6.4,4.6,4.7,4.2,4.7,6.3,5.8,6.2,5.6,4,5.2,6.3,4.1,78.9,1.753333333
"CHE,CRY,FUL,LIV,NEW",5.6,7.5,4.7,4.6,5.7,3.7,5.3,5.7,6.2,4.7,4.7,4.6,6.4,4.3,5.2,78.9,1.753333333
"CHE,FUL,LEE,LIV,SOU",4.5,5.8,4.6,3.5,6.8,4.1,5.2,4,6.7,7.1,6.1,5,5.7,5.8,4,78.9,1.753333333
"AVL,LEI,LIV,MCI,WOL",4.4,6.7,7.3,4.4,5.4,4.1,4.4,10.1,6.9,4.4,4.1,3.9,4.6,5.1,3.1,78.9,1.753333333
"CRY,FUL,LEI,MUN,SOU",5.2,4.6,5.2,6.4,4.5,4.3,4.7,5.1,5.2,5.2,5.1,5.7,5.1,6.8,5.8,78.9,1.753333333
"AVL,BHA,LEI,LIV,WOL",4.4,5.2,7.4,5,4.5,3.5,5.1,8.4,5.9,5.6,5.8,3.9,5.2,4.2,4.8,78.9,1.753333333
"CHE,EVE,LEE,LEI,LIV",4.4,3.6,4.6,4.1,6.1,6.1,6.1,5.6,6.2,4.1,5.6,4.9,6,6.9,4.6,78.9,1.753333333
"CHE,FUL,LEI,LIV,MUN",4.4,4.6,4.6,5.1,5.1,5.8,5.1,6.6,4.6,5.6,6,4.9,5.1,4.6,6.8,78.9,1.753333333
"CHE,LEE,LIV,MUN,SOU",4.5,4.6,4.9,3.5,6.6,5,7,4,5.5,7.1,6.1,5,6,5.1,4,78.9,1.753333333
"AVL,CHE,LEI,SHU,SOU",4.5,5.1,4.1,4.2,4.6,6.9,6,5.7,5.8,5.1,4.6,5,7.3,5.8,4.2,78.9,1.753333333
"BHA,CHE,CRY,LEI,LIV",4.4,7.7,6.1,5,4.1,3.6,6.9,4.6,6.1,4,4.5,4.9,6.1,5.2,5.7,78.9,1.753333333
"BHA,CRY,LEI,LIV,MUN",5.1,4.5,6.6,6.7,4.1,3.6,7.6,5.6,5.1,4,5.7,5.6,5,4,5.7,78.9,1.753333333
"AVL,CHE,LIV,NEW,SOU",4.5,6,5.2,3.5,8.4,4.7,6.2,5.7,6.2,6.3,4.7,3.7,6.9,3.8,3.2,79,1.755555556
"AVL,BHA,CHE,LIV,NEW",6.1,4.9,5.7,4.6,6.2,3.7,6.8,6.2,5.2,6.3,4.8,4.6,5.4,3.7,4.8,79,1.755555556
"AVL,CRY,LIV,MUN,NEW",6.8,3.8,5.2,6.8,5.5,4.2,7.3,6.7,4.7,4.7,4.9,5.3,5.8,3.6,3.7,79,1.755555556
"AVL,BUR,LEI,SOU,WOL",4.5,6.3,6.4,3.6,4.5,4.7,4.5,6.3,4.9,7.3,5.2,4,5.7,6.8,4.3,79,1.755555556
"BHA,CRY,EVE,LEI,SOU",5.2,4.7,5.8,4.8,4.1,4.2,5.7,4.7,5.8,3.7,5.1,5.7,6.2,8,5.3,79,1.755555556
"CHE,CRY,FUL,LEI,SOU",4.5,6.8,4.7,4.2,4.7,4.3,4.7,4.1,6.2,5.2,4.5,5,6.3,8,5.8,79,1.755555556
"CHE,CRY,FUL,NEW,SOU",5.7,6.5,4.7,3.7,5.9,4.3,4.9,4.1,6.2,5.9,4.6,4.7,6.5,5.5,5.8,79,1.755555556
"CHE,FUL,LEI,LIV,SHU",4.4,5.6,4.1,5.1,4.1,5.8,5.1,7.3,6.3,3.9,6,4.9,6.2,5.1,5.1,79,1.755555556
"CHE,LEE,LIV,NEW,SOU",4.5,5.3,5.5,3.5,7.8,5,6.2,4,7.7,5.6,5.2,3.7,6.2,4.8,4,79,1.755555556
"CRY,FUL,MUN,NEW,SOU",6.9,4.3,5.2,5.9,5.2,4.3,4.9,5.1,5.2,5.9,5.3,5.4,5.3,4.3,5.8,79,1.755555556
"AVL,LEI,LIV,WHU,WOL",4.1,6.9,7.4,5.1,5.4,4.1,5.1,7.5,6,4.1,6.2,3.9,4.8,5.1,3.3,79,1.755555556
"BHA,FUL,LIV,SOU,WHU",4.2,6.9,6.8,5.1,5.7,3.2,5.7,4.3,5.9,6.9,7.3,4.7,3.9,4.7,3.7,79,1.755555556
"CHE,LEE,LEI,LIV,MUN",4.4,3.4,4.9,5.1,5.4,6.6,6.9,4.9,5.5,4.9,6,4.9,4.9,5.1,6.1,79,1.755555556
"CHE,LIV,MCI,MUN,SOU",4.5,7.2,5.5,3.5,6.6,5.5,6,5,5.5,6.6,4,5,5.5,5.1,3.5,79,1.755555556
"AVL,CHE,LEI,MUN,WOL",4.9,4.1,4.6,4.1,4.9,6.3,4.9,6.6,4.1,6.8,4.6,4.9,5.6,5.1,7.5,79,1.755555556
"AVL,CHE,LEI,MCI,SOU",4.5,6.3,5.2,3.5,6.7,5.7,5.5,5.7,6.7,5.6,3.6,5,4.6,6.8,3.7,79.1,1.757777778
"AVL,MUN,NEW,SOU,WOL",6.2,3.8,5.7,3.7,7.2,4.7,4.7,6.7,4.8,7.5,5.4,3.7,5.8,3.8,5.4,79.1,1.757777778
