COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM
"ARS,AVL,CHE,LEE,SOU",4.6,4.8,4.6,3.1,9.1,5.2,6.7,4,5.2,8.3,55.6,1.853333333
"ARS,BUR,EVE,LIV,TOT",4.6,6.5,5.4,4.7,6.2,6.7,6.2,4.7,4.3,6.3,55.6,1.853333333
"ARS,CHE,EVE,LEE,WHU",4.7,4.3,4.6,3.7,9.1,7.8,7.3,3.6,5.2,5.3,55.6,1.853333333
"AVL,BHA,CHE,SHU,WBA",7.9,5.2,4.1,6.2,4.2,4.4,6.3,6.3,5.2,5.8,55.6,1.853333333
"AVL,CRY,LEI,MUN,NEW",6.8,3.8,5.2,7.5,4.5,6.4,6.3,6.7,4.7,3.7,55.6,1.853333333
"BUR,CHE,CRY,EVE,WHU",5.8,8.1,4.7,4.2,5.3,7.4,7.8,3.7,4.2,4.4,55.6,1.853333333
"CRY,EVE,LIV,TOT,WHU",4.7,7.6,4.8,6.9,6.2,5.1,6.2,3.8,5.9,4.4,55.6,1.853333333
"ARS,AVL,BHA,CHE,SHU",6.2,5.2,4.1,4.6,4.7,5.4,8.3,4.6,5.2,7.3,55.6,1.853333333
"ARS,AVL,BHA,CHE,SOU",4.6,5.9,5.2,3.1,7.5,4.3,6.7,4.1,5.2,9,55.6,1.853333333
"ARS,BHA,CRY,NEW,WOL",5.7,5.9,8.5,4.2,4.6,3.6,6.3,4.7,6.2,5.9,55.6,1.853333333
"ARS,CHE,EVE,WBA,WHU",4.7,6,5.9,3.7,8.1,8,5.8,3.7,5.2,4.5,55.6,1.853333333
"ARS,EVE,FUL,MUN,SHU",7.5,3.6,4.3,5.9,4.6,7,6,6.7,4.2,5.8,55.6,1.853333333
"AVL,CHE,LEI,LIV,NEW",4.4,4.8,5.7,4.6,6.1,6.3,6.1,7.3,6.2,4.1,55.6,1.853333333
"AVL,CHE,TOT,WHU,WOL",5.1,8.1,4.2,5.2,6.8,5.2,4.5,3.7,5.3,7.5,55.6,1.853333333
"AVL,CRY,MUN,WBA,WOL",7.4,4.8,5.2,6.8,5,4.2,4.8,6.8,4.7,5.9,55.6,1.853333333
"AVL,LEI,MUN,TOT,WHU",4.7,4.1,4.7,9.1,5.6,7.4,5.7,4.7,4.3,5.3,55.6,1.853333333
"BHA,BUR,EVE,SHU,WOL",8.4,4.7,5.3,4.2,3.6,5.2,6.3,7.3,4.3,6.3,55.6,1.853333333
"BHA,FUL,LIV,SOU,TOT",4.6,6.9,5.3,5.1,5.7,3.2,4.3,4.7,6.8,9,55.6,1.853333333
"BHA,FUL,NEW,SHU,WOL",7.8,5.2,5.8,5.2,4,3.2,3.8,7.9,6.4,6.3,55.6,1.853333333
"CHE,CRY,EVE,MCI,WHU",5.8,8,4.7,4.1,6.8,6.7,6.1,3.7,5.3,4.4,55.6,1.853333333
"CHE,CRY,FUL,MCI,WHU",5.8,9,4.7,6.2,5.9,4.7,5.1,3.7,5.8,4.7,55.6,1.853333333
"CHE,FUL,TOT,WBA,WHU",5.2,7.5,4.2,7.4,6.5,5.4,3.9,3.7,5.8,6,55.6,1.853333333
"CRY,EVE,LEE,MUN,TOT",8,2.6,4.7,8.6,5.7,5.6,6.4,4.1,4.7,5.2,55.6,1.853333333
"CRY,EVE,MUN,WBA,WHU",7.1,4.3,5.2,7.5,5.2,6.4,6.5,4.7,4.3,4.4,55.6,1.853333333
"CRY,FUL,LEE,MCI,WOL",7.4,6.2,5.2,6.2,5.2,3.7,3.6,5.7,6.9,5.5,55.6,1.853333333
"FUL,LEI,LIV,MUN,WBA",5.7,4.6,6.2,7.3,5.1,4.3,4.3,8.3,5.7,4.1,55.6,1.853333333
"LEI,MUN,SHU,SOU,WBA",5.7,4.4,5.5,6.4,3.9,7.4,5.2,6.7,6.8,3.6,55.6,1.853333333
"ARS,BHA,CHE,FUL,MCI",6.3,6.4,5.7,4,5.9,4.2,5.1,4.6,5.6,7.8,55.6,1.853333333
"ARS,BHA,CRY,TOT,WOL",5.1,7.4,6.3,4.6,4.6,3.6,5.7,4.2,6.2,7.9,55.6,1.853333333
"ARS,BHA,FUL,LIV,SHU",5.7,5.7,5.7,5.6,4.2,3.2,7.3,6.3,5.8,6.1,55.6,1.853333333
"ARS,CHE,EVE,LEE,NEW",6.2,3.3,4.6,3.7,9.2,7.8,6.3,4,5.2,5.3,55.6,1.853333333
"ARS,CRY,FUL,LEE,NEW",6.9,4.3,5.2,7,6.4,4.2,6,4.1,6.3,5.2,55.6,1.853333333
"AVL,BHA,EVE,FUL,WOL",8.5,4.4,4.5,4.7,5.2,3.2,3.8,8.4,4.9,8,55.6,1.853333333
"AVL,CHE,CRY,TOT,WOL",5.5,8.6,4.2,5.7,5.7,4.2,4.5,4.1,5.7,7.4,55.6,1.853333333
"AVL,CRY,FUL,LIV,SOU",5.2,6.5,4.9,6.3,5.7,3.7,5.4,5.8,5.9,6.2,55.6,1.853333333
"AVL,CRY,LEE,LEI,LIV",5.1,4.1,5.2,8.4,5,4.2,7.1,5.7,6.8,4,55.6,1.853333333
"BHA,CHE,LIV,NEW,TOT",5,6.4,5.6,4.6,6.2,4.6,5.7,4.6,6.6,6.3,55.6,1.853333333
"BHA,CHE,LIV,TOT,WBA",5,7.4,5.6,5,5.7,4.2,5.2,4.6,6.6,6.3,55.6,1.853333333
"BHA,CRY,EVE,LIV,WBA",6.9,5.4,6.3,5.7,4.8,3.6,6.3,6.4,5.8,4.4,55.6,1.853333333
"BHA,CRY,EVE,SHU,WHU",7,4.7,4.7,7.4,3.6,5.3,9,4.3,5.4,4.2,55.6,1.853333333
"BHA,CRY,LEI,TOT,WHU",4.7,6.7,6.4,8.5,4.1,4.7,6.7,3.8,6.3,3.7,55.6,1.853333333
"BHA,CRY,LIV,SHU,TOT",5.7,6.7,4.6,7.7,3.6,3.6,7.7,4.7,6.8,4.5,55.6,1.853333333
"BHA,CRY,MCI,SOU,WOL",5.7,8.3,7.2,3.5,4.6,3.6,4.5,4.7,6.8,6.7,55.6,1.853333333
"BHA,FUL,MCI,SHU,SOU",7.5,5.7,5.2,5.1,4.2,3.8,4.7,6.3,6.4,6.7,55.6,1.853333333
"BHA,LEI,NEW,WHU,WOL",4.6,5.2,9.7,5.2,4.5,5.7,4.6,5.9,6.4,3.8,55.6,1.853333333
"BUR,CRY,MUN,NEW,SOU",6.9,5.3,6.1,4.8,4.6,6.3,6.9,4.7,4.1,5.9,55.6,1.853333333
"CHE,EVE,LIV,NEW,WOL",4.9,6.5,5.7,3.1,6.6,5.6,4.8,7.8,5.8,4.8,55.6,1.853333333
"CHE,EVE,MCI,SOU,WOL",5,7.4,5.2,2.5,7.2,5.5,4.5,6.2,5.8,6.3,55.6,1.853333333
"CHE,FUL,LEE,LIV,MCI",6.2,6.2,4.6,4.4,6.8,4.1,5.1,5.6,6.7,5.9,55.6,1.853333333
"CHE,LEE,MUN,SOU,WHU",4.7,4.6,4.9,4.7,7.3,7.2,7.2,3.6,4.6,6.8,55.6,1.853333333
"CRY,EVE,LEI,SHU,WHU",5.3,4.6,4.7,7.5,3.5,7.9,7.3,5.4,5.9,3.5,55.6,1.853333333
"CRY,MUN,NEW,SOU,TOT",5.8,5.3,5.1,5.9,5.7,5.7,5.3,4.2,6.7,5.9,55.6,1.853333333
"CRY,NEW,SHU,SOU,TOT",5.8,6.3,4.6,6.4,4.7,5.7,5.3,4.2,8.4,4.2,55.6,1.853333333
"FUL,LEE,LEI,SOU,WBA",5.8,4.6,5.7,6.4,5.3,4.7,4.3,5.7,8.5,4.6,55.6,1.853333333
"FUL,LEI,NEW,SHU,SOU",5.7,5.1,5.2,5.4,4.1,6.4,4.7,7.4,8,3.6,55.6,1.853333333
"FUL,MCI,MUN,WHU,WOL",6.4,6.2,6.2,5.6,5.6,4.6,3.6,6.3,4.8,6.3,55.6,1.853333333
"FUL,MCI,SHU,SOU,WOL",6.2,6.8,5.2,3.5,4.6,4.2,3.6,7.9,7,6.6,55.6,1.853333333
"LIV,MUN,SHU,SOU,WBA",5.7,5.1,5.5,5.7,4.6,5.2,6.2,6.8,6.2,4.6,55.6,1.853333333
"ARS,AVL,CHE,EVE,TOT",5.1,5,4.2,3.7,8.6,6.9,5.7,4.1,4.8,7.5,55.6,1.853333333
"ARS,AVL,CHE,LEI,WBA",4.5,5.8,6.5,4.7,5.8,6.5,5.6,5.7,5.2,5.3,55.6,1.853333333
"ARS,AVL,LEI,LIV,SHU",4,5.1,5.7,5.7,4.4,5.8,7.1,8,5.9,3.9,55.6,1.853333333
"ARS,BUR,CRY,LEI,MUN",5.2,5.1,6.2,5.8,4.1,7.4,8.3,4.7,3.6,5.2,55.6,1.853333333
"ARS,CHE,CRY,MCI,SHU",5.7,7.7,4.5,4,4.7,6.7,7.6,4.1,6.1,4.5,55.6,1.853333333
"ARS,CHE,FUL,MUN,WHU",4.7,5.3,4.6,5.2,6.3,7.5,6.3,3.7,4.5,7.5,55.6,1.853333333
"ARS,CHE,MCI,MUN,WOL",5,6.7,6,3,6.1,6.6,4.9,5,4.5,7.8,55.6,1.853333333
"ARS,CHE,MUN,TOT,WBA",5.1,5.8,4.5,5.2,6.3,7.4,5.2,4.1,4.5,7.5,55.6,1.853333333
"ARS,FUL,LIV,WHU,WOL",4.2,8.1,7.4,4,6.1,3.6,4.6,5.4,5.9,6.3,55.6,1.853333333
"ARS,FUL,NEW,TOT,WOL",5.1,6,5.9,4.2,6.3,4.7,3.2,5.8,6.4,8,55.6,1.853333333
"AVL,BHA,FUL,LEI,LIV",5.7,5.2,5.9,6.7,4.7,3.2,5.3,7.9,5.4,5.6,55.6,1.853333333
"AVL,BUR,LEI,SOU,TOT",4.6,6.3,5.3,5.3,5.2,5.8,5.1,4.7,5.9,7.4,55.6,1.853333333
"AVL,CHE,CRY,SHU,WBA",7.3,5.8,4.1,7.3,4.2,4.9,6.3,5.8,5.7,4.2,55.6,1.853333333
"AVL,CHE,EVE,LIV,WHU",4.6,6.1,4.3,4.1,8.4,5.8,6.8,5.9,4.8,4.8,55.6,1.853333333
"AVL,CRY,LEI,TOT,WHU",4.7,6.3,4.8,10.2,5.2,5.3,5.7,3.8,5.9,3.7,55.6,1.853333333
"AVL,CRY,LIV,SHU,SOU",5.2,6.3,4.7,6.2,4.5,4.2,7.2,6.4,6.4,4.5,55.6,1.853333333
"AVL,LEI,SOU,WBA,WOL",4.5,5.8,6.9,4.2,5.1,4.7,4.1,7.5,7.5,5.3,55.6,1.853333333
"BHA,CHE,LEE,NEW,SHU",7.8,4.1,4.4,5.2,4.7,6.3,7.3,4.5,6.2,5.1,55.6,1.853333333
"BHA,CRY,EVE,MUN,SHU",9.1,3.6,4.6,6.9,3.6,5.3,8.5,5.6,4.2,4.2,55.6,1.853333333
"BHA,CRY,FUL,NEW,TOT",7.4,5.4,4.8,8,4.8,3.3,4.4,4.7,6.3,6.5,55.6,1.853333333
"BHA,CRY,LEE,WBA,WOL",7.4,5.2,6.7,6.2,4.6,3.6,5.3,4.6,6.8,5.2,55.6,1.853333333
"BHA,EVE,MCI,SHU,WOL",8.4,4.7,5.7,4.1,4,4.5,4.6,9.1,5.9,4.6,55.6,1.853333333
"BHA,EVE,MUN,NEW,TOT",8.5,3.3,4.7,5.9,5.7,6.3,5.4,5.6,4.2,6,55.6,1.853333333
"BHA,EVE,SOU,TOT,WBA",6.4,5.4,5.3,4.8,5.9,4.8,4.8,4.7,6.9,6.6,55.6,1.853333333
"BHA,FUL,LEI,MUN,WHU",5.9,4.5,6.4,7.9,4.5,5.4,5.8,5.2,4.7,5.3,55.6,1.853333333
"BHA,LEE,MUN,NEW,WOL",8.4,3.1,6.6,5.2,5,4,5.8,5.5,5.2,6.8,55.6,1.853333333
"BHA,LEI,LIV,NEW,WOL",4.4,5.2,9.5,4.6,4.5,3.5,4.6,7.9,7.3,4.1,55.6,1.853333333
"BHA,LEI,SHU,SOU,WBA",5.7,5.5,7.3,5.8,3.5,4.8,5.2,6.3,7.9,3.6,55.6,1.853333333
"BHA,SHU,TOT,WHU,WOL",5.2,6.7,5.7,6.7,4,4.6,5.7,4.3,6.4,6.3,55.6,1.853333333
"BUR,CHE,EVE,MUN,SHU",8.4,3.6,4.1,4.2,4,9.5,7.3,5.5,3.2,5.8,55.6,1.853333333
"BUR,CHE,EVE,MUN,TOT",7.3,4.8,4.2,4.2,5.7,8.4,5.7,4.6,3.2,7.5,55.6,1.853333333
"BUR,CHE,EVE,NEW,TOT",6.7,5.5,4.2,4.2,6.4,8.4,5.4,4.6,4.2,6,55.6,1.853333333
"BUR,CHE,LEI,SOU,WHU",4.2,8.3,6.2,3.6,5.2,8.4,6,3.7,4.7,5.3,55.6,1.853333333
"BUR,CRY,NEW,SHU,SOU",6.9,6.3,5.6,4.8,3.6,6.3,7.4,4.7,5.8,4.2,55.6,1.853333333
"BUR,FUL,MUN,SHU,WOL",7.9,4.6,4.6,5.7,4,5.3,4.8,7.2,3.7,7.8,55.6,1.853333333
"BUR,LEE,SOU,WBA,WOL",6.3,6.3,6.7,3.6,5.2,5,4.2,4.6,6.4,7.3,55.6,1.853333333
"BUR,LEE,SOU,WHU,WOL",4.7,7.3,6.7,3.6,6.2,5,5.7,3.7,5.4,7.3,55.6,1.853333333
"BUR,LEI,MUN,SOU,WBA",5.8,5.1,6.7,5.3,4.5,6.9,5.2,5.6,5.2,5.3,55.6,1.853333333
"CHE,CRY,LIV,MCI,MUN",5.6,8.2,5,4.4,5.5,5,6.9,5,5,5,55.6,1.853333333
"CHE,CRY,LIV,NEW,TOT",5,8.5,4.6,4.6,6.2,5.1,5.7,4.1,7.1,4.7,55.6,1.853333333
"CHE,CRY,SHU,WHU,WOL",5.1,9.5,4.5,5.1,4,6.7,6.6,3.7,6.2,4.2,55.6,1.853333333
"CHE,EVE,LIV,WBA,WHU",4.6,7.1,5.7,4.1,6.8,6.3,5.8,5.4,5.3,4.5,55.6,1.853333333
"CHE,LEI,SHU,TOT,WHU",4.6,6.6,4,6.8,4.6,9.9,5.5,3.7,6.3,3.6,55.6,1.853333333
"CHE,LIV,MUN,SHU,WBA",6.1,5.1,4.4,5.6,4.6,6.8,6.6,6.7,5.1,4.6,55.6,1.853333333
"CRY,FUL,LIV,NEW,WOL",5.6,7.5,6.3,4.6,5.2,3.6,3.8,7.4,6.9,4.7,55.6,1.853333333
"CRY,FUL,MUN,NEW,TOT",7.4,4.3,4.7,8.6,5.2,4.8,4.4,5.1,5.2,5.9,55.6,1.853333333
"EVE,FUL,LEI,NEW,SOU",5.7,4.3,5.4,4.4,7,5.9,4.7,7.4,7,3.8,55.6,1.853333333
"EVE,LEE,LEI,MUN,WBA",8,2.6,5.1,7,5.1,6.8,5.3,6.6,5.3,3.8,55.6,1.853333333
"EVE,MCI,MUN,SHU,SOU",8,3.6,4.6,4.2,5.5,7.2,5.7,7.4,4.8,4.6,55.6,1.853333333
"FUL,LEE,MUN,NEW,SOU",7.5,3.1,5.1,5.9,6.8,4.7,4.9,5,5.8,6.8,55.6,1.853333333
"ARS,AVL,CRY,NEW,WOL",5.7,5.5,6.4,4.2,6.8,4.2,5.3,5.8,5.8,5.9,55.6,1.853333333
"ARS,AVL,CRY,WBA,WOL",5.7,6.5,6.4,5.2,5.2,4.2,4.8,5.9,5.8,5.9,55.6,1.853333333
"ARS,AVL,LIV,SHU,WOL",4.5,5.8,5.7,4,4.9,4.1,6.1,8.5,5.9,6.1,55.6,1.853333333
"ARS,BHA,CHE,LEI,MCI",4.5,6.2,7.8,4,5.2,6.2,5.9,4.6,5.6,5.6,55.6,1.853333333
"ARS,BUR,CHE,CRY,FUL",5.7,8,4.7,4.1,4.8,5.4,6.8,4.1,4.6,7.4,55.6,1.853333333
"ARS,BUR,CRY,EVE,LIV",5.2,7,5.9,4.7,5.1,5.7,8.3,4.7,4.3,4.7,55.6,1.853333333
"ARS,BUR,EVE,FUL,SHU",7.5,4.8,4.3,4.8,4.2,7,6.6,6.3,4.3,5.8,55.6,1.853333333
"ARS,BUR,LEI,LIV,MUN",4,5.1,7.2,5.1,4.5,7.3,7.6,5.6,3.6,5.6,55.6,1.853333333
"ARS,CRY,FUL,LEE,MUN",7,3.6,5.1,8,5.2,4.2,7,4.1,4.7,6.7,55.6,1.853333333
"ARS,CRY,LEE,MCI,WOL",5.7,6.7,6.6,4,6.1,4.5,5.6,4.1,6.8,5.5,55.6,1.853333333
"ARS,CRY,LIV,SHU,WOL",4.5,8.3,6.1,4,4,4,7.1,6.3,6.8,4.5,55.6,1.853333333
"ARS,LEE,NEW,TOT,WOL",5.1,4.8,6.2,4.2,7.3,5.5,4.2,4.1,7.4,6.8,55.6,1.853333333
"ARS,LIV,MUN,SHU,TOT",4.6,5.1,4.5,6.2,4.9,6.7,7.2,5.1,5.2,6.1,55.6,1.853333333
"ARS,LIV,MUN,SOU,WBA",4.1,5.8,7.1,4.1,6.1,5.2,6.2,5.1,5.6,6.3,55.6,1.853333333
"ARS,LIV,SHU,TOT,WOL",4.5,7.3,5.6,4,4.9,5,5,6.3,6.9,6.1,55.6,1.853333333
"AVL,BHA,EVE,LIV,WOL",6.7,4.4,5.9,4.1,5.5,3.5,5.3,9,4.9,6.3,55.6,1.853333333
"AVL,BHA,EVE,SOU,WHU",6.5,4.4,5.4,4.8,8.6,4.3,6.4,4.3,4.9,6,55.6,1.853333333
"AVL,BUR,CRY,EVE,LIV",7.4,6,4.9,5.2,5.1,4.2,7.3,6.9,3.9,4.7,55.6,1.853333333
"AVL,BUR,CRY,LEI,WBA",6.9,5.8,5.9,7.4,4.1,4.9,5.8,6.3,4.8,3.7,55.6,1.853333333
"AVL,BUR,LEI,NEW,WOL",6.1,4.8,7,4.7,4.5,5.8,4.6,7.9,4.9,5.3,55.6,1.853333333
"AVL,CHE,FUL,LIV,SHU",6.1,5.3,4.1,6.1,5.1,3.8,5.8,7.9,5.3,6.1,55.6,1.853333333
"AVL,CHE,SHU,WHU,WOL",5.1,6.9,4.1,5.1,5.1,6.8,5.6,5.8,5.3,5.8,55.6,1.853333333
"AVL,EVE,FUL,LEI,MUN",8,3.3,4.5,7,5.1,5.5,4.8,8.3,3.8,5.3,55.6,1.853333333
"AVL,FUL,MUN,NEW,WOL",7.9,3.8,4.8,5.8,5.6,3.8,3.8,8.3,4.3,7.5,55.6,1.853333333
"AVL,LEE,MUN,SOU,WOL",8.2,3.1,5.1,4.7,6.6,4.6,5.2,5,4.8,8.3,55.6,1.853333333
"BHA,BUR,EVE,MUN,WOL",9,3.7,5.8,4.2,4.6,5.2,5.8,6.1,3.2,8,55.6,1.853333333
"BHA,CHE,EVE,MUN,NEW",8.4,3.3,4.6,4.3,5.7,7.4,6.3,5.5,4.1,6,55.6,1.853333333
"BHA,CHE,LEE,MUN,WBA",8.5,3.5,4.9,6.2,5.2,4.7,6.8,4.5,4.5,6.8,55.6,1.853333333
"BHA,CHE,NEW,WHU,WOL",5.1,7,7.4,3.6,5.7,5.8,5.1,4.2,5.7,6,55.6,1.853333333
"BHA,EVE,FUL,NEW,TOT",8,4.4,4.4,5.9,5.9,4.3,4.4,6.3,5.4,6.6,55.6,1.853333333
"BHA,FUL,NEW,SOU,WOL",6.2,5.4,6.9,3.7,5.2,3.2,3.7,6.3,6.4,8.6,55.6,1.853333333
"BUR,CHE,CRY,FUL,MCI",7.4,8.9,4.7,4.5,4.8,4.7,5.1,4.6,4.7,6.2,55.6,1.853333333
"BUR,CHE,FUL,NEW,SOU",6.2,6.5,5.2,3.6,5.9,5.9,4.9,4.6,4.7,8.1,55.6,1.853333333
"BUR,CHE,TOT,WBA,WOL",5.5,9,5.2,3.5,5.2,5.7,3.7,4.6,5.2,8,55.6,1.853333333
"BUR,FUL,LEI,NEW,WOL",6.1,5.3,7,4.7,4.5,5.3,3.6,7.9,5.4,5.8,55.6,1.853333333
"CHE,CRY,MUN,NEW,SHU",7.3,4.1,4.4,5.8,4,8.5,7.3,5,5,4.2,55.6,1.853333333
"CHE,CRY,NEW,SHU,TOT",6.2,6.3,4,6.3,4.7,7.4,5.7,4.1,6.7,4.2,55.6,1.853333333
"CHE,EVE,FUL,LIV,MCI",6.2,6.4,4.3,4.1,6.8,4.6,4.8,8,5.3,5.1,55.6,1.853333333
"CHE,FUL,LEE,MUN,NEW",7.9,3.1,4.6,5.8,6.3,6.3,5.3,4.9,4.6,6.8,55.6,1.853333333
"CRY,EVE,LIV,NEW,SOU",5.2,5.5,5.8,4.2,7.4,4.6,5.9,5.8,6.8,4.4,55.6,1.853333333
"CRY,EVE,NEW,WHU,WOL",5.8,6.1,6.4,4.3,6.8,5.7,4.8,5.4,5.9,4.4,55.6,1.853333333
"CRY,LIV,MUN,NEW,TOT",5.7,5.3,5.1,6.8,5.5,5.1,6.2,5.1,6.1,4.7,55.6,1.853333333
"EVE,MCI,SHU,SOU,WOL",6.2,5.8,5.2,3.2,5.5,5.5,4.5,8.6,6.5,4.6,55.6,1.853333333
"EVE,NEW,TOT,WHU,WOL",5.2,5.5,5.9,4.3,7.9,6.7,4.2,5.4,6,4.5,55.6,1.853333333
"LEE,LEI,MCI,MUN,WOL",8.1,3.4,6.5,5.1,4.9,5.4,4.4,6.6,6.3,4.9,55.6,1.853333333
"LEE,LEI,NEW,SHU,WOL",6.1,4.1,6.1,5.3,3.9,6.6,4.6,7.3,8,3.6,55.6,1.853333333
"LEE,LIV,MUN,NEW,SOU",5.7,3.1,6,4.7,7.1,5,6.7,5,6.7,5.6,55.6,1.853333333
"NEW,SHU,SOU,TOT,WOL",5.1,6.3,5.1,3.7,5.1,5.6,4.1,5.8,8.5,6.3,55.6,1.853333333
"ARS,BHA,CHE,LEI,WBA",4.5,6.2,8.6,4.6,4.7,5.9,5.6,4.6,5.6,5.3,55.6,1.853333333
"ARS,BHA,CRY,LIV,MUN",5.2,5.2,6.6,5.6,4.6,3.6,9.3,4.7,4.6,6.2,55.6,1.853333333
"ARS,BUR,CHE,FUL,WBA",6.3,7,5.3,4.1,5.4,6,4.8,4.6,4.6,7.5,55.6,1.853333333
"ARS,CRY,LEI,MUN,NEW",5.2,4.1,7.3,5.9,4.5,7.9,6.8,5.1,5.1,3.7,55.6,1.853333333
"ARS,EVE,FUL,LEE,SHU",7.5,3.6,4.3,6.4,5.8,5.8,6,5.7,5.4,5.1,55.6,1.853333333
"ARS,LEE,LIV,MUN,SHU",5.7,3.4,4.9,6.2,4.9,6.1,8.8,5,5.2,5.4,55.6,1.853333333
"ARS,LEE,MUN,NEW,WOL",6.2,3.1,6.6,4.2,6.6,6.1,5.8,5,5.2,6.8,55.6,1.853333333
"ARS,LEI,SHU,WBA,WOL",4.5,6.1,8,4.7,3.9,6.3,4.1,7.5,6.9,3.6,55.6,1.853333333
"ARS,LIV,MUN,WBA,WOL",4.5,5.8,7.7,4,5.6,4.6,5.1,6.8,5.2,6.3,55.6,1.853333333
"AVL,BHA,BUR,CHE,WOL",7.2,6.9,5.3,3.5,4.6,3.7,5.6,5.1,4.2,9.5,55.6,1.853333333
"AVL,BUR,CHE,WBA,WOL",6.7,7.5,5.3,3.5,5.2,4.8,4.6,6.3,4.2,7.5,55.6,1.853333333
"AVL,CHE,LEE,LIV,SHU",6.1,4.1,4.1,6.1,5.6,4.6,7.6,6.2,5.8,5.4,55.6,1.853333333
"AVL,LEE,LIV,SOU,WOL",4.5,5.3,5.7,3.5,7.1,4.1,5.2,6.2,6.9,7.1,55.6,1.853333333
"BHA,BUR,CHE,FUL,LIV",6.2,7.4,5.3,4.5,4.8,3.2,6.1,5.1,4.6,8.4,55.6,1.853333333
"BHA,CHE,LEE,SOU,TOT",5.1,5.7,4.5,4.1,6.4,4.6,5.6,4,6.7,8.9,55.6,1.853333333
"BHA,CHE,LEI,LIV,MCI",4.4,7.1,7.1,4.4,5,4.5,5.9,6.2,6.6,4.4,55.6,1.853333333
"BHA,CRY,MUN,WBA,WOL",7.4,5.2,6.7,6.2,4.6,3.6,5.3,5.6,5.1,5.9,55.6,1.853333333
"BHA,EVE,FUL,LEE,SHU",9.7,3.6,4.3,7.4,4.2,3.7,6,6.2,5.4,5.1,55.6,1.853333333
"BHA,EVE,FUL,LEE,TOT",8.6,3.7,4.4,7.5,5.9,3.7,4.4,4.6,5.4,7.4,55.6,1.853333333
"BHA,LEE,LEI,WBA,WOL",6.2,4.5,8.4,5.7,4.5,4,4.1,6.2,7.4,4.6,55.6,1.853333333
"BHA,MUN,SHU,SOU,WBA",7.5,4.5,5.5,6.3,4,4.8,6.4,5.6,5.2,5.8,55.6,1.853333333
"BUR,CHE,EVE,LIV,MUN",6.7,5.3,4.6,4.1,5.5,7.3,7.1,5.5,3.2,6.3,55.6,1.853333333
"BUR,CHE,FUL,NEW,WOL",6.6,7,5.3,3.5,5.2,5.3,3.8,6.2,4.7,8,55.6,1.853333333
"BUR,CHE,LEE,LEI,MUN",8.1,3.4,4.9,5.2,4.5,8.3,7.1,4.5,3.5,6.1,55.6,1.853333333
"BUR,CHE,LEI,NEW,WOL",4.9,6.8,6.8,3.5,4.5,7.8,4.6,6.2,5.2,5.3,55.6,1.853333333
"BUR,EVE,LIV,SHU,WOL",6.1,6.3,5.3,4.1,4,5.6,5.6,9.1,4.9,4.6,55.6,1.853333333
"BUR,LEI,SHU,WBA,WOL",6.1,6.1,6.8,5.2,3.5,6.3,4.1,8,5.9,3.6,55.6,1.853333333
"CHE,EVE,MUN,NEW,WBA",7.9,3.3,4.6,4.3,6.3,8.5,5.5,6.6,4.1,4.5,55.6,1.853333333
"CHE,FUL,NEW,SOU,TOT",5.1,6.5,4.2,3.7,7,5.3,4.3,4.1,7.3,8.1,55.6,1.853333333
"CHE,LEI,MCI,MUN,TOT",5,5.6,4.5,5.1,5.6,8.2,5,5,6,5.6,55.6,1.853333333
"CHE,LEI,NEW,SOU,WOL",4.5,6.3,6.7,2.5,5.6,6.7,4.5,5.7,7.8,5.3,55.6,1.853333333
"CRY,EVE,LEE,LIV,SHU",6.8,3.6,4.6,6.8,4.5,4.5,7.8,6.4,6.4,4.2,55.6,1.853333333
"CRY,EVE,LEI,TOT,WBA",5.7,5.3,4.8,7,4.7,5.8,4.7,5.8,8.1,3.7,55.6,1.853333333
"CRY,LEI,MUN,TOT,WBA",5.7,5.1,5.1,8.5,4.5,5.8,4.7,5.1,7.4,3.7,55.6,1.853333333
"EVE,FUL,LIV,MCI,MUN",8,3.8,4.8,5.1,6.1,4.6,4.8,9,4.3,5.1,55.6,1.853333333
"EVE,LEI,MCI,SOU,WOL",4.5,5.8,6.8,3.2,6,5.5,4.4,7.9,7.4,4.1,55.6,1.853333333
"EVE,MCI,SHU,TOT,WOL",6.7,5.8,4.2,4.1,5.1,6,4,8.6,6.5,4.6,55.6,1.853333333
"LEE,LEI,MCI,SOU,WOL",4.5,5.6,7.1,3.5,6,5,4.4,5.7,8.9,4.9,55.6,1.853333333
"LEE,LIV,SOU,TOT,WOL",4.5,6.8,5.6,3.5,6.6,4.4,4.1,4.1,8.4,7.6,55.6,1.853333333
"ARS,CHE,LEI,LIV,SOU",4,7.3,6.6,3.1,6.1,6.2,6,4.1,6.6,5.6,55.6,1.853333333
"BHA,CHE,CRY,MCI,MUN",7.9,6.1,5,5,4.6,4.6,7.1,4.6,4.5,6.2,55.6,1.853333333
"BHA,CHE,LIV,SOU,WOL",4.5,8.9,6.6,2.5,5.5,3.5,5,4.6,6.2,8.3,55.6,1.853333333
"BUR,CHE,LEE,MUN,WOL",8.6,5.1,4.9,3.5,5,6.1,6.1,4.5,3.5,8.3,55.6,1.853333333
"BUR,LIV,MUN,TOT,WOL",5,7.3,5.7,4.5,5,5,5,5.6,4.2,8.3,55.6,1.853333333
